Table
LICENSE NAME ,STREET ,CITY ,ST ,PISTOL 22 ,PISTOL 25 ,PISTOL 32 ,PISTOL 380 ,PISTOL 9MM ,PISTOL 50 ,PISTOL TOTAL 
"STI INTERNATIONAL, INC ",114 HALMAR COVE ,GEORGETOWN ,TX ,O ,0 ,O ,O ,0 ,2056 ,2056 
STRAYER VOIGT INC ,3435 ROY ORR BLVD #200 ,GRAND PRARIE ,TX ,O ,O ,O ,O ,245 ,509 ,754 
ARMS TECHNOLOGY INC ,2779 DIRECTORS ROW ,SALT LAKE CITY ,UT ,18879 ,O ,O ,O ,O ,O ,18879 
ARMS TECHNOLOGY INC ,1115 PIONEER RD ,SALT LAKE CITY ,UT ,19266 ,O ,O ,O ,O ,O ,19266 
NORTH AMERICAN ARMS INC ,2150 S 950 E ,PROVO ,UT ,O ,O ,2104 ,3305 ,O ,O ,5409 
TRIPLE ACTION LLC ,708 W 1800 N #1A ,NORTH LOGAN ,UT ,O ,O ,O ,O ,O ,1 ,1 
CASPIAN ARMS LTD ,75 CAL FOSTER DR ,WOLCOTT ,VT ,O ,O ,O ,O ,O ,1252 ,1252 
FOSTER INDUSTRIES INC ,75 CAL FOSTER DR ,WOLCOTT ,VT ,O ,O ,O ,O ,O ,140 ,140 
SQUIRES BINGHAM INTL INC ,190 JUNCTION RD ,HARDWICK ,VT ,961 ,O ,O ,O ,O ,O ,961 
OLYMPIC ARMS INC ,624 OLD PACIFIC HWY SE ,OLYMPIA ,WA ,O ,O ,O ,O ,384 ,O ,384 
,,,,123374 ,5697 ,57823 ,41634 ,213378 ,181164 ,623070 


