Table
CITY ,ST ,SHOTGUN EXP 
,AR ,1 
,CO ,
,CT ,834 
HAVEN ,CT ,12952 
,FL ,
,IL ,20 
,KY ,
WESTFIELD ,MA ,7 
GARDNER ,MA ,5478 
ACCOKEEK ,MD ,73 
SPRING LAKE ,MI ,
,NH ,109 
ILION ,NY ,12465 
,PA ,4 
EAGLE PASS ,TX ,14230 
STERLING ,VA ,1 
,WV ,


Table
,LICENSE NAME ,STREET ,,,
57134716 ,WILSONS GUN SHOP INC ,2234 CR 719 ,BERRYVILLE ,,
58400402 ,DENVER 45 LLC ,18757 E HAMPDEN AVE #162 ,AURORA ,,
60636056 ,US REPEATING ARMS COMPANY ,344 WINCHESTER AVE ,NEW ,,HAVEN 
60600773 ,OF MOSSBERG & SONS INC ,7 GRASSO AVE ,NORTH ,,
15984505 ,"BIGGS, JOHN J ALSO SEE 59-59294 ",BLDG 6 UNIT 3 170 CELESTIAL WAY ,JUNO ,BCH ,
33635798 ,SPRINGFIELD INC ,420 W MAIN ST ,GENESEO ,,
46100880 ,L-3 COMMUNICATIONS INTEGRATED SYSTEMS LP ,5749 BRIAR HILL ROAD ,LEXINGTON ,,
60433152 ,"SAVAGE ARMS, INC ",100 SPRINGDALE RD ,,,
60400253 ,"H & R 1871, LLC ",60 INDUSTRIAL ROWE ,,,
85207699 ,BERETTA U S A CORPORATION ,17601 BERETTA DR ,,,
43801839 ,"MARCINAK, LAURENCE EDWIN ",18995 174TH AVE ,,,
60201484 ,STURM RUGER & CO INC ,411 SUNAPEE ST ,NEWPORT ,,
61635527 ,"REMINGTON ARMS CO, INC ",14 HOEFLER AVE ,,,
82333855 ,TAR HUNT CUSTOM RIFLES INC ,101 DOGTOWN RD ,,BLOOMSBURG ,
57434208 ,"MAVERICK ARMS, INC ",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK ,,,
15422338 ,HECKLER & KOCH INC ,21480 PACIFIC BLVD ,,,
45500242 ,"TAYLOR, RAY B ",230 232 COURT SQUARE ,,PARKERSBURG ,


