Table
,STREET ,CITY ,ST ,RIFLE MFG
ARMS COMPANY ,344 WINCHESTER AVE ,NEW HAVEN ,CT ,124666
CORP ,1905 16TH ST N ,SAINT PETERSBURG ,FL ,2
SYSTEMS INC ,1328 CLEMENTS WOODS LN ,JACKSONVILLE ,FL ,1
INDUSTRIES INC ,1475 COX ROAD ,COCOA ,FL ,9190
MANUFACTURING CO ,7750 9TH ST SW ,VERO BEACH ,FL ,435
,1406 CAPITAL CIR NE #D ,TALLAHASSEE ,FL ,3
WEAPONRY SERVICE INC ,25220 W NEWBERRY RD ,NEWBERRY ,FL ,2
CHARLES ,6001 JOHNS RD #638 ,TAMPA ,FL ,3
INC ,6001 JOHNS RD #144 ,TAMPA ,FL ,169
C ,719 WHITE DR ,ALFORD ,FL ,139
RANDALL ,387 DOUBLE BRIDGE RD ,MOUNT AIRY ,GA ,3
LLC ,1667 WILLOW WAY ,WOODSTOCK ,GA ,8
,250 KELLER RD ,ROSSVILLE ,GA ,9
ARMS INC ,116 KINGSBRIDGE DRIVE ,CARROLLTON ,GA ,42
INC ,24276 240TH ST ,CARROLL ,IA ,847
CO INC ,11550 N-BRUSS RD ,RATHDRUM ,ID ,204
INC ,RT 2 BOX 763-L ,GRANGEVILLE ,ID ,1
LESTER ,26884 PEARL RD ,PARMA ,ID ,33
WILLIAM ARTHUR ,751 KELSO LK RD ,ATHOL ,ID ,1
,1140 36TH ST N SUITE B ,LEWISTON ,ID ,5218
DALE ,1981 BLIZZARD MT RD ,ARCO ,ID ,4
TOOL & HARDWARE CO INC ,37052 EBERHARDT RD ,PECK ,ID ,16
,745 S HANFORD ST ,GENESEO ,IL ,11158
,27W990 INDUSTRIAL AVE ,LAKE BARRINGTON ,IL ,1537
& TOOL CO ,1305 W 11TH ST ,MILAN ,IL ,13
OGLESBY GUNMAKERS INC ,744 W ANDREW RD ,SPRINGFIELD ,IL ,1
ARMS INC ,1042 CLEVELAND RD ,COLONA ,IL ,2362
INC ,420 W MAIN ST ,GENESEO ,IL ,14627
MODERN ARMS LLC ,6243 COFFMAN RD ,INDIANAPOLIS ,IN ,1
CORP ,5600 BYBEE RD ,WINCHESTER ,KY ,316
S ,1200 ONEAL RD ,LONDON ,KY ,2
,22 RIFE TRAIL ,HICKORY ,KY ,84110
,60 INDUSTRIAL ROWE ,GARDNER ,MA ,65191


