Table
,CITY ,ST ,REVOLVERS 
AVE ,WEST HARTFORD ,CT ,120 
,HARTFORD ,CT ,61 
AVE ,MIAMI ,FL ,2741 
AVE ,SPRINGFIELD ,MA ,25810 
DR ,ACCOKEEK ,MD ,1 
,NEWPORT ,NH ,4392 
,PROVO ,UT ,1062 
,,,
,,,
,,,
,,,
,,,34187 


Table
60633345 ,COLT'S MANUFACTURING CO LLC 
60635732 ,UNITED STATES FIREARMS MANUFACTURING COMPANY 
15923596 ,TAURUS INTERNATIONAL MANUFACTURING 
60410395 ,SMITH & WESSON CORP 
85207699 ,BERETTA U S A CORPORATION 
60201484 ,STURM RUGER & CO INC 
98734026 ,NORTH AMERICAN ARMS INC 


