RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,PISTOL 22 ,PISTOL 25 ,PISTOL 32 ,PISTOL 380 ,PISTOL 9MM ,PISTOL 50 ,PISTOL TOTAL 
57134716 ,WILSONS GUN SHOP INC ,2234 CR 719 ,BERRYVILLE ,AR ,0 ,0 ,0 ,0 ,1 ,2254 ,2255 
57100518 ,"ZIMMERMANN, ALEX W ",171 MADISON 1510 ,HUNTSVILLE ,AR ,0 ,0 ,0 ,0 ,0 ,7 ,7 
98600975 ,BUSHMASTER FIREARMS INC ,1070 METRIC DRIVE ,LAKE HAVASU CITY ,AZ ,0 ,894 ,0 ,0 ,0 ,0 ,894 
98638393 ,GUNSITE ACADEMY INC ,2900 W GUNSITE RD ,PAULDEN ,AZ ,0 ,0 ,0 ,0 ,0 ,12 ,12 
98633332 ,R & R SPORTING ARMS INC ,15481 N TWIN LAKES DR ,TUCSON ,AZ ,1 ,0 ,1 ,0 ,0 ,0 ,2 
98636542 ,"ROBAR COMPANIES, INC ",21438 N 7TH AVE SUITE B ,PHOENIX ,AZ ,0 ,0 ,0 ,0 ,0 ,1 ,1 
98614472 ,"STURM, RUGER & CO INC ",200 RUGER RD ,PRESCOTT ,AZ ,62401 ,0 ,0 ,0 ,21888 ,14133 ,98422 
93334014 ,BRYCO ARMS ,380 CLINTON ST ,COSTA MESA ,CA ,7684 ,5100 ,0 ,20685 ,26372 ,0 ,59841 
93340727 ,EXCEL INDUSTRIES INC ,4510 CARTER CT ,CHINO ,CA ,0 ,0 ,0 ,43 ,0 ,0 ,43 
93340235 ,INTERNATIONAL ANTIQUE REPRODUCTIONS INC ,33171 CAMINO CAPISTRANO ,SAN JUAN CAPISTRANO ,CA ,89 ,0 ,0 ,19 ,0 ,0 ,108 
99434360 ,"KRAUSE, MICHAEL A ",83 21ST AVE ,SAN MATEO ,CA ,0 ,0 ,0 ,0 ,0 ,3 ,3 
93319318 ,"LA FRANCE, TIMOTHY FRANK ",3417 HANCOCK ST ,SAN DIEGO ,CA ,0 ,0 ,0 ,0 ,0 ,1 ,1 
93340544 ,MICRODYNE PLASTICS INC ,4651 E AIRPORT DR ,0NTARIO ,CA ,0 ,0 ,0 ,0 ,0 ,1000 ,1000 
93336988 ,PHOENIX ARMS ,4231 BRICKELL STREET ,0NTARIO ,CA ,7815 ,1300 ,0 ,0 ,0 ,0 ,9115 
60633345 ,COLT'S MANUFACTURING CO LLC ,545 NEWPARK AVE ,WEST HARTFORD ,CT ,0 ,0 ,0 ,1688 ,2 ,11985 ,13675 
60604862 ,L W SEECAMP CO INC ,301 BREWSTER RD INDUSTRIAL BLDG ,MILFORD ,CT ,0 ,0 ,1463 ,4 ,0 ,0 ,1467 
15940806 ,KEL TEC CNC INDUSTRIES INC ,1475 COX ROAD ,COCOA ,FL ,0 ,0 ,21545 ,16269 ,9206 ,0 ,47020 
15839850 ,CENTRAL TOOLING INC ,827 PRATHER BRIDGE RD ,TOCCOA ,GA ,0 ,0 ,0 ,0 ,0 ,2 ,2 
15840177 ,MASTERPIECE ARMS INC ,116 KINGSBRIDGE DRIVE ,CARROLLTON ,GA ,0 ,0 ,0 ,0 ,666 ,574 ,1240 
54235453 ,DOUBLE DEUCE INC ,24276 240TH ST ,CARROLL ,IA ,112 ,0 ,0 ,0 ,0 ,0 ,112 
98200317 ,TACTICAL SOLUTIONS LLC ,800 E CITATION CT STE C ,BOISE ,ID ,708 ,0 ,0 ,0 ,0 ,0 ,708 
33635343 ,LES BAER CUSTOM INC ,29601 34TH AVE N ,HILLSDALE ,IL ,0 ,0 ,0 ,0 ,78 ,1818 ,1896 
33637004 ,ROCK RIVER ARMS INC ,1042 CLEVELAND RD ,COLONA ,IL ,0 ,0 ,0 ,0 ,0 ,188 ,188 
33635798 ,SPRINGFIELD INC ,420 W MAIN ST ,GENESEO ,IL ,0 ,0 ,0 ,0 ,18212 ,60042 ,78254 
46137442 ,GEMINI CUSTOMS LLC ,2262 LOUISVILLE RD ,FRANKFORT ,KY ,0 ,0 ,0 ,0 ,0 ,1 ,1 
57233690 ,CLARK CUSTOM GUNS INC ,336 SHOOTOUT LN ,PRINCETON ,LA ,22 ,0 ,0 ,0 ,0 ,22 ,44 
60435456 ,"SAEILO, INC ",130 GODDARD MEMORIAL DR ,WORCESTER ,MA ,0 ,0 ,0 ,0 ,11187 ,4227 ,15414 
60410395 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,0 ,0 ,0 ,0 ,26020 ,40956 ,66976 
85207699 ,BERETTA U S A CORPORATION ,17601 BERETTA DR ,ACCOKEEK ,MD ,34764 ,3010 ,14449 ,0 ,28568 ,11242 ,92033 
60106460 ,SMITH & WESSON CORP ,19 AVIATION DR ,HOULTON ,ME ,11260 ,0 ,0 ,0 ,0 ,0 ,11260 
34137259 ,E ARTHUR BROWN CO INC ,4353 STATE HWY 27 E ,ALEX ,MN ,9 ,0 ,12 ,0 ,1 ,0 ,22 
