Table
NAME ,STREET ,CITY ,ST ,PISTOLS 
,RD ,PRESCOTT ,AZ ,1257 
MANUFACTURING CO LLC ,545 NEWPARK AVE ,WEST HARTFORD ,CT ,655 
,JAMES AVE ,DELTONA ,FL ,
CUSTOM INC ,29601 34TH AVE N ,HILLSDALE ,IL ,252 
,ST ,GENESEO ,IL ,891 
,ROOSEVELT AVE ,SPRINGFIELD ,MA ,4844 
,130 GODDARD MEMORIAL DR ,WORCESTER ,MA ,143 
,BERETTA DR ,ACCOKEEK ,MD ,985 
,DR ,HOULTON ,ME ,794 
STEVEN G ,169 PLANTERS GROVE ,RIDGELAND ,MS ,
,DR ,EXETER ,NH ,4426 
CENTER ARMS CO INC ,FARMINGTON RD ,ROCHESTER ,NH ,409 
,12 SOUTH ,NORWICH ,NY ,18 
MEG INC ,1 LAWTON ST ,YONKERS ,NY ,279 
,DR ,RAPID CITY ,SD ,2 
PRECISION INC ,3300 CR 233 ,FLORENCE ,TX ,
,COVE ,GEORGETOWN ,TX ,1071 
"VALLEY ARMS CO, LLC ",2710 SOUTH 1900 WEST ,OGDEN ,UT ,
AMERICAN ARMS INC ,2150 S 950 E ,PROVO ,UT ,314 


Table
98614472 ,"STURM, RUGER & CO INC ",200 RUGER ,
60633345 ,COLT'S ,,
15939580 ,"BETANCOURT, JOSE A JR ",3300 SAINT ,
33635343 ,LES BAER ,,
33635798 ,SPRINGFIELD INC ,420 W MAIN ,
60410395 ,SMITH & WESSON CORP ,2100 ,
60435456 ,"SAEILO, INC ",,
85207699 ,BERETTA U S A CORPORATION ,17601 ,
60106460 ,SMITH & WESSON CORP ,19 AVIATION ,
16400400 ,"CUNNINGHAM, ",,
60200153 ,SIG ARMS INC ,18 INDUSTRIAL ,
60233754 ,THOMPSON ,,
61636016 ,DAN WESSON CORP ,5169 ROUTE ,
61334276 ,KIMBER ,,
34633475 ,H S PRECISION INC ,1301 TURBINE ,
57401590 ,DAWSON ,,
57434417 ,"STI INTERNATIONAL, INC ",114 HALMAR ,
98734761 ,SHADOW ,,
98734026 ,NORTH ,,


