Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,,,
98614472 ,"STURM, RUGER & CO INC ",200 RUGER RD ,,,,
60633345 ,COLT'S MANUFACTURING CO LLC ,545 NEWPARK AVE ,,,,
60635829 ,WILDEY F A INC ,45 ANGEVINE RD ,WARREN ,,,
15923596 ,TAURUS INTERNATIONAL MANUFACTURING INC ,16175 NW 49TH AVE ,MIAMI ,,,
15904089 ,"MCCULLOUGH, JONATHAN ALAN ",2619 HWY 29 SOUTH ,,CANTONMENT ,,
15840168 ,FATS INC ,7340 MCGINNIS FERRY RD ,SUWANEE ,,,
33635433 ,"REESE, DAVID ",911 W MAIN ST ,GENESEO ,,,
33637004 ,ROCK RIVER ARMS INC ,1042 CLEVELAND RD ,COLONA ,,,
60435456 ,"SAEILO, INC ",130 GODDARD MEMORIAL DR ,,WORCESTER ,,
60410395 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,,SPRINGFIELD ,,
85207699 ,BERETTA U S A CORPORATION ,17601 BERETTA DR ,ACCOKEEK ,,,
60106460 ,SMITH & WESSON CORP ,19 AVIATION DR ,HOULTON ,,,
34137259 ,E ARTHUR BROWN CO INC ,4353 STATE HWY 27 E ,ALEX ,,,
98100442 ,"TVARVSEK, DARREL D ",437 1ST ,,,,
60233754 ,THOMPSON CENTER ARMS CO INC ,FARMINGTON RD ,,,,
60200598 ,SIGARMS INC ,18 INDUSTRIAL DR ,,,,
61334276 ,KIMBER MFG INC ,1 LAWTON ST ,YONKERS ,,,
61636016 ,DAN WESSON CORP ,5169 ROUTE 12 SOUTH ,NORWICH ,,,
82300212 ,CLASSIC PISTOL INC ,1310 INDUSTRIAL BLVD ,,SOUTHAMPTON ,,
57434417 ,"STI INTERNATIONAL, INC ",114 HALMAR COVE ,,GEORGETOWN ,,
98734026 ,NORTH AMERICAN ARMS INC ,2150 S 950 E ,,,,
99114520 ,OLYMPIC ARMS INC ,624 OLD PACIFIC HWY SE ,OLYMPIA ,,,


Table
,,,,,,,,,,ST ,PISTOLS 
,,,,,,,,,PRESCOTT ,AZ ,1172 
,,,,,,,,,WEST HARTFORD ,CT ,111 
,,,,,,,,,,CT ,16 
,,,,,,,,,,FL ,1494 
,,,,,,,,,,FL ,
,,,,,,,,,,GA ,144 
,,,,,,,,,,IL ,191 
,,,,,,,,,,IL ,5 
,,,,,,,,,,MA ,20 
,,,,,,,,,,MA ,6115 
,,,,,,,,,,MD ,1760 
,,,,,,,,,,ME ,781 
,,,,,,,,,,MN ,1 
,,,,,,,,,HAUPE ,MT ,
,,,,,,,,,ROCHESTER ,NH ,95 
,,,,,,,,,EXETER ,NH ,625 
,,,,,,,,,,NY ,861 
,,,,,,,,,,NY ,27 
,,,,,,,,,,PA ,1 
,,,,,,,,,,TX ,1504 
,,,,,,,,,PROVO ,UT ,35 
,,,,,,,,,,WA ,1 
,,,,,,,,,,,14959 


