Table
CITY ,ST ,SHOTGUN EXP
BERRYVILLE ,AR ,16
PASO ROBLES ,CA ,2
NORTH HAVEN ,CT ,137
NEW HAVEN ,CT ,641
NORTH HAVEN ,CT ,6221
CANTONMENT ,FL ,
GARDNER ,MA ,1856
WESTFIELD ,MA ,62
ACCOKEEK ,MD ,304
HAUPE ,MT ,
NEWPORT ,NH ,105
ILION ,NY ,13772
BLOOMSBURG ,PA ,6
HOUSTON ,TX ,1
EAGLE PASS ,TX ,7902
,,


Table
RDS KEY ,LICENSE NAME
57134716 ,WILSONS GUN SHOP INC
97738092 ,ROGUE RIV RIFLEWORKS INC/JOHN RIBGY & CO
60600252 ,"MARLIN FIREARMS COMPANY, THE "
60636056 ,US REPEATING ARMS COMPANY
60600773 ,0 OF F MOSSBERG & SONS INC
15904089 ,"MCCULLOUGH, JONATHAN ALAN "
60400253 ,"H & R 1871, LLC "
60433152 ,"SAVAGE ARMS, INC "
85207699 ,BERETTA U S A CORPORATION
98100442 ,"TVARVSEK, DARREL D "
60201484 ,"STURM, RUGER & CO INC "
61635527 ,"REMINGTON ARMS CO, INC "
82333855 ,TAR HUNT CUSTOM RIFLES INC
57634159 ,BRILEY MANUFACTURING INC
57434208 ,"MAVERICK ARMS, INC "


