Table
RDS KEY ,LICENSE NAME ,STREET ,City ,ST ,RIFLE EXP
98637328 ,,1415 S CHERRY ,TUCSON ,AZ ,1
98635726 ,,1638 W KNUDSON SUITE B ,PHOENIX ,AZ ,4
98636542 ,,21438 N 7TH AVE SUITE B ,PHOENIX ,AZ ,13
98614472 ,,200 RUGER RD ,PRESCOTT ,AZ ,51
93340727 ,EXCEL INDUSTRIES INC ,4510 CARTER CT ,CHINO ,CA ,25
97738092 ,ROGUE RIV RIFLEWORKS INC/JOHN RIBGY & CO ,500 LINNE RD STE D ,PASO ROBLES ,CA ,1
97737552 ,WEATHERBY INC ,1605 COMMERCE WAY ,PASO ROBLES ,CA ,6529
60600252 ,,100 KENNA DR ,NORTH HAVEN ,CT ,15878
60636056 ,US REPEATING ARMS COMPANY ,344 WINCHESTER AVE ,NEW HAVEN ,CT ,4115
60600729 ,STAG ARMS LLC ,515 JOHN DOWNEY DR ,NEW BRITAIN ,CT ,11
15900881 ,,719 WHITE DR ,ALFORD ,FL ,27
15923596 ,TAURUS INTERNATIONAL MANUFACTURING INC ,16175 NW 49TH AVE ,MIAMI ,FL ,17
15801213 ,,387 DOUBLE BRIDGE RD ,MOUNT AIRY ,GA ,1
15840168 ,FATS INC ,7340 MCGINNIS FERRY RD ,SUWANEE ,GA ,10
98200639 ,CHEYTAC LLC ,363 SUNSET DR ,ARCO ,ID ,5
98233354 ,S D MEACHAM TOOL & HARDWARE CO INC ,37052 EBERHARDT RD ,PECK ,ID ,2
98200154 ,,1140 36TH ST N SUITE B ,LEWISTON ,ID ,146
33635798 ,SPRINGFIELD INC ,420 W MAIN ST ,GENESEO ,IL ,241
33636039 ,ARMALITE INC ,745 S HANFORD ST ,GENESEO ,IL ,245
33637004 ,ROCK RIVER ARMS INC ,1042 CLEVELAND RD ,COLONA ,IL ,1
46101973 ,REMINGTON ARMS CO INC ,22 RIFLE TRAIL ,HICKORY ,KY ,10122
60401684 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,15
60400253 ,,60 INDUSTRIAL ROWE ,GARDNER ,MA ,1470
60433152 ,,100 SPRINGDALE RD ,WESTFIELD ,MA ,9672
85207699 ,BERETTA U S A CORPORATION ,17601 BERETTA DR ,ACCOKEEK ,MD ,10
60134465 ,BUSHMASTER FIREARMS BFI/QUALITY PARTS CO ,999 ROOSEVELT TRAIL BLDG 3 ,WINDHAM ,ME ,931
34135232 ,DEFENSE PROCUREMENT MEG SERVICES INC ,3312 12TH ST SE ,ST CLOUD ,MN ,21
34136974 ,JP ENTERPRISES INC ,7605 128TH ST N BUILDING ,WHITE BEAR LAKE ,MN ,1
54340562 ,,43825 MULDROW TRAIL ,PERRY ,MO ,1
54300160 ,ALLIANT LAKE CITY SMALL CALIBER AMMUNITION CO LLC ,RR 7 & HWY 78 ,INDEPENDENCE ,MO ,5
98133799 ,POWDER RIVER RIFLE CO INC ,201 CENTENNIAL DR ,BIG TIMBER ,MT ,17
98135432 ,COOPER FIREARMS OF MONTANA INC ,4004 HWY 93 N ,STEVENSVILLE ,MT ,20
98100033 ,MONTANA RIFLE CO ,3172 HIGHWAY 35 ,KALISPELL ,MT ,75


