Table
City ,ST ,RIFLE EXP 
NEWPORT ,NH ,16234 
EXETER ,NH ,346 
BERNARDSVILLE ,NJ ,4 
BROOKLYN ,NY ,4111 
ILION ,NY ,20557 
YONKERS ,NY ,469 
NORTH LAWRENCE ,OH ,11 
MADISON ,OH ,1 
SPRINGVILLE ,PA ,4 
WILLIAMSPORT ,PA ,1 
HARRISBURG ,PA ,72 
RAPID CITY ,SD ,121 
STURGIS ,SD ,88 
MURFREESBORO ,TN ,239 
CORINTH ,TX ,56 
OGDEN ,UT ,18 
GRANVILLE ,WV ,5 
,,


Table
60201484 ,"STURM, RUGER & COMPANY, INC "
60200598 ,SIGARMS INC 
82200281 ,GRIFFIN & HOWE INC 
61134915 ,ARGUS PUBLICATIONS INC 
61600727 ,REMINGTON ARMS CO INC 
61334276 ,KIMBER MEG INC 
43437065 ,KELBLY'S RIFLE RANGE INC 
43401358 ,"HOLLAND, DENNIS N "
82338992 ,"BORDEN, JAMES F "
82301763 ,"LOWE, FRANKLIN DEAN "
82300331 ,K B IINC 
34633475 ,H S PRECISION INC 
34600307 ,"DAKOTA ARMS, INC "
16236907 ,BARRETT FIREARMS MEG INC 
57502447 ,RHINELAND ARMS INC 
98734761 ,"SHADOW VALLEY ARMS CO, LLC "
45500132 ,MELVIN FORBES ENTERPRISES LLC 


