RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,PISTOL 22 ,PISTOL 25 ,PISTOL 32 ,PISTOL 380 ,PISTOL 9MM ,PISTOL 50 ,PISTOL TOTAL
98835584 ,,1422-A INDUSTRIAL WAY ,GARDNERVILLE ,NV ,0 ,0 ,52 ,0 ,0 ,0 ,52
98800873 ,JIMENEZ ARMS INC ,5550 REFERENCE STREET ,LAS VEGAS ,NV ,0 ,484 ,0 ,2830 ,3515 ,0 ,6829
98801039 ,,18 GRANDVIEW LN ,WELLINGTON ,NV ,0 ,0 ,0 ,6 ,0 ,0 ,6
61100248 ,A.P.I ,71-73 EAST JEFRYN BLVD ,DEER PARK ,NY ,0 ,0 ,0 ,0 ,699 ,0 ,699
61601079 ,CZ-USA INC ,5169 RT 12 S ,NORWICH ,NY ,0 ,0 ,0 ,0 ,0 ,1383 ,1383
61334276 ,KIMBER MEG INC ,1 LAWTON ST ,YONKERS ,NY ,911 ,0 ,0 ,0 ,1856 ,57851 ,60618
43437450 ,BALOGH JAMES ,13566 INDIAN HOLLOW RD ,GRAFTON ,0H ,0 ,0 ,2 ,0 ,0 ,0 ,2
43435702 ,BEEMILLER INC ,1015 SPRINGMILL RD ,MANSFIELD ,0H ,0 ,0 ,0 ,16300 ,56970 ,0 ,73270
43419291 ,HASKELL MANUFACTURING INC ,585 EAST BLUE LICK RD ,LIMA ,0H ,0 ,0 ,0 ,0 ,0 ,19500 ,19500
43401358 ,,5595 FORD RD ,MADISON ,0H ,0 ,0 ,0 ,0 ,0 ,1 ,1
43434316 ,IBERIA FIREARMS INC ,3929 STATE RT 309 ,GALION ,0H ,0 ,0 ,0 ,0 ,0 ,18850 ,18850
43436235 ,,590 WOODVUE LANE ,WINTERSVILLE ,0H ,4 ,0 ,7 ,1 ,0 ,1 ,13
43401071 ,,480 WALNUT STREET ,NILES ,0H ,0 ,0 ,0 ,10 ,0 ,0 ,10
57336993 ,,69400 E HWY 60 ,WYANDOTTE ,0K ,0 ,0 ,4 ,0 ,0 ,0 ,4
57300426 ,TULSA FIREARMS TRAINING ACADEMY INC ,5949 S GARNETT RD ,TULSA ,0K ,0 ,0 ,0 ,0 ,2 ,1 ,3
57301887 ,UNITED STATES SHOOTING ACADEMY INC ,1632 S DENVER AVE ,TULSA ,0K ,0 ,0 ,0 ,0 ,0 ,16 ,16
99301499 ,,3093 27TH AVE SE ,ALBANY ,0R ,0 ,0 ,1 ,0 ,0 ,0 ,1
99301162 ,,55948 COLUMBIA RIVER HWY ,SCAPPOOSE ,0R ,0 ,0 ,8 ,0 ,0 ,0 ,8
99301526 ,CALICO LIGHT WEAPON SYSTEMS ,,HILLSBORO ,0R ,0 ,0 ,0 ,0 ,83 ,0 ,83
99300861 ,HALO MANUFACTURING LLC ,3980 SHENSTONE DRIVE STE A ,EUGENE ,0R ,0 ,0 ,0 ,0 ,0 ,5 ,5
99301523 ,,32930 E. COLUMBIA LANE ,HERMISTON ,0R ,0 ,0 ,3 ,0 ,0 ,0 ,3
82302461 ,,1 LILAC DR ,MECHANICSBUR G ,PA ,0 ,0 ,0 ,0 ,0 ,4 ,4
82501855 ,,205 OAK AVE ,SEMINOLE ,PA ,0 ,0 ,1 ,0 ,0 ,0 ,1
15736183 ,,5552 CREON ST ,MYRTLE BEACH ,SC ,0 ,0 ,0 ,0 ,1 ,7 ,8
15701193 ,,797 OLD CLEMSON RD ,COLUMBIA ,SC ,0 ,0 ,0 ,0 ,6186 ,5442 ,11628
34600331 ,,315 PICOTTE ,YANKTON ,SD ,0 ,0 ,2 ,0 ,0 ,0 ,2
34633475 ,H S PRECISION INC ,1301 TURBINE DR ,RAPID CITY ,SD ,3 ,5 ,13 ,0 ,0 ,0 ,21
16238654 ,LEINAD INC ,221 HWY 68 N ,DUCKTOWN ,TN ,0 ,0 ,0 ,0 ,400 ,2150 ,2550
