Table
RDS KEY ,LICENSE NAME ,STREEI ,CITY ,ST ,MISC FA MFG
60100956 ,BUSHMASTER FIREARMS INTERNATIONAL LLC ,999 ROOSEVELT TRL ,WINDHAM ,ME ,631
43800250 ,PIERCE ENGINEERING LTD ,5122 N GRAND RIVER ,LANSING ,MI ,34
34101847 ,BAE SYSTEMS LAND & ARMAMENTS LP ,4800 E RIVER RD ,MINNEAPOLIS ,MN ,3
34101931 ,,2090 64TH ST E ,LINO LAKES ,MN ,2
34102023 ,,4080 W BROADWAY AVE STE 1 ,ROBBINSDALE ,MN ,2
34136369 ,,3500 BEARD AVE N ,ROBBINSDALE ,MN ,1
54304879 ,,400 SUNSET DR ,APPLETON CITY ,MO ,4
54301680 ,,RT 1 BOX 1600 ,NAYLOR ,MO ,1
54339375 ,,554 N HWY 65 ,LINCOLN ,MO ,19
16401275 ,BAE SYSTEMS RO DEFENSE INC ,48 RAWL SPRINGS LOOP RD ,HATTIESBURG ,MS ,152
98100219 ,,1345 THUNDERS TR BLDG D ,BONNER ,MT ,124
15603066 ,APPALACHIAN GUNSMITHING INC ,8 SNAPFINGER DR ,WEAVERVILLE ,NC ,3
15603179 ,STW SYSTEMS INC ,1765 PEOPLES CREEK RD ,ADVANCE ,NC ,19
60234248 ,COMPETITOR CORP INC ,,JAFFREY ,NH ,3
60200939 ,HIGHLANDER SECURITY CONSULTING LLC ,1041 A ROUTE 63 ,SPOFFORD ,NH ,2
58500357 ,,11520 SAN BERNARDINO AVE NE ,ALBUQUERQUE ,NM ,13
61134902 ,APPLIED TACTICAL TECHNOLOGIES LLC ,171D EADS ST ,W BABYLON ,NY ,1
43111952 ,,4325 NEW MARKET-BANTA RD ,LEWISBURG ,0H ,4
43436235 ,,590 WOODVUE LANE ,WINTERSVILLE ,0H ,55
43401968 ,,556 CALDWELL AVE ,MANSFIELD ,0H ,39
43401651 ,0HIO ORDNANCE WORKS INC ,310 PARK DR ,CHARDON ,0H ,1
43436989 ,,1455 LOWELL STREET (REAR) ,ELYRIA ,0H ,9
57355986 ,S & H ARMS OF OK INC ,18680 E 108TH STREET N ,0WASSO ,0K ,46
99301728 ,HALO MANUFACTURING LLC ,3980 SHENSTONE DR STE A ,EUGENE ,0R ,23
99301599 ,,2594 ADAMS LN SE ,JEFFERSON ,0R ,8
82338992 ,,1325 SHELDON HILL ROAD ,SPRINGVILLE ,PA ,157
82313090 ,NAVAL CO INC ,4747 COLD SPRING CREAMERY RD ,DOYLESTOWN ,PA ,8
15701419 ,FIREARM SOLUTIONS LLC ,2506-C GREENHILL RD ,ELGIN ,SC ,23
34600307 ,,1310 INDUSTRY RD ,STURGIS ,SD ,261
34600598 ,,1310 INDUSTRY RD ,STURGIS ,SD ,10
16200243 ,BARRETT FIREARMS MFG INC ,5926 MILLER LN ,CHRISTIANA ,TN ,28
57401107 ,9999 HOLDINGS INC ,5526 LEOPARD STR ,CORPUS CHRISTI ,TX ,86
57601597 ,,6306 LODGE ST ,HOUSTON ,TX ,2
57536062 ,,183 AUTUMN WOOD TRL ,GUN BARREL CITY ,TX ,1
57541153 ,BOND ARMS INC ,204 ALPHA LN ,GRANBURY ,TX ,37


