Table
CITY ,ST ,SHOTGUN EXP 
BERRYVILLE ,AR ,8 
PASO ROBLES ,CA ,195 
NORTH HAVEN ,CT ,18678 
MIAMI ,FL ,1328 
ORLANDO ,FL ,2 
GARDNER ,MA ,4348 
WESTFIELD ,MA ,30 
ACCOKEEK ,MD ,38 
HUGO ,MN ,3 
JACKSON ,MS ,1 
MOYOCK ,NC ,10 
ILION ,NY ,694 
CANTON ,OH ,49 
MCMINNVILLE ,OR ,1 
BLOOMSBURG ,PA ,12 
EAGLE PASS ,TX ,1532 
GEORGIA ,VT ,20 


Table
57134716 ,WILSONS GUN SHOP INC 
97737552 ,WEATHERBY INC 
60600773 ,OF F MOSSBERG & SONS INC 
15947645 ,BRAZTECH INTERNATIONAL LC 
15904068 ,CUBIC SIMULATION SYSTEMS INC 
60400253 ,"H&R 1871, LLC "
60433152 ,"SAVAGE ARMS, INC "
85207699 ,BERETTA U S A CORPORATION 
34136974 ,JP ENTERPRISES INC 
16400417 ,DISCOUNT PAWN & JEWELRY CORP 
15603121 ,"US TRAINING CENTER, INC "
61600727 ,REMINGTON ARMS CO INC 
43401927 ,DEVAULT INDUSTRIES LLC 
99335096 ,COLE ARMS INC 
82333855 ,TAR HUNT CUSTOM RIFLES INC 
57434208 ,"MAVERICK ARMS, INC "
60300370 ,CENTURY INTERNATIONAL ARMS INC 


