Table
RDS KEY ,LICENSE NAME ,STREET ,City ,ST ,RIFLE EXP 
98602487 ,"MCMILLAN, FIREARMS MANUFACTURING, LLC ",1638 W KNUDSEN DR ,PHOENIX ,AZ ,30 
98614472 ,"STURM, RUGER & COMPANY, INC ",200 RUGER RD ,PRESCOTT ,AZ ,2 
97737552 ,WEATHERBY INC ,1605 COMMERCE WAY ,PASO ROBLES ,CA ,8937 
99537023 ,ENTREPRISE ARMS INC ,15509 ARROW HWY ,IRWINDALE ,CA ,603 
58437579 ,AWI LLC ,600 OAK AVE ,EATON ,CO ,127 
60600773 ,O F MOSSBERG & SONS INC ,7 GRASSO AVE ,NORTH HAVEN ,CT ,1252 
60600252 ,"MARLIN FIREARMS COMPANY, THE ",100 KENNA DR ,NORTH HAVEN ,CT ,18417 
60600729 ,STAG ARMS LLC ,515 JOHN DOWNEY DR ,NEW BRITAIN ,CT ,288 
60600520 ,COLT DEFENSE LLC ,547 NEW PARK AVE ,WEST HARTFORD ,CT ,378 
15952429 ,R/M EQUIPMENT INC ,6975-79 NW 43RD ST ,MIAMI ,FL ,2 
15947645 ,BRAZTECH INTERNATIONAL LC ,16175 NW 49TH AVE ,MIAMI ,FL ,11 
15917454 ,"KNIGHT, CHARLES REED JR ",701 COLUMBIA BLVD ,TITUSVILLE ,FL ,24 
15923596 ,TAURUS INTERNATIONAL MANUFACTURING INC ,16175 NW 49TH AVE ,MIAMI ,FL ,13 
15801355 ,PATRIOT ARMS INC ,55 LYLE FIELD RD ,JEFFERSON ,GA ,26 
33637390 ,DS ARMS INC ,27W990 INDUSTRIAL AVE ,LAKE BARRINGTON ,IL ,3 
33635798 ,SPRINGFIELD INC ,420 W MAIN ST ,GENESEO ,IL ,98 
33637004 ,ROCK RIVER ARMS INC ,1042 CLEVELAND RD ,COLONA ,IL ,150 
33636039 ,ARMALITE INC ,745 S HANFORD ST ,GENESEO ,IL ,178 
43500047 ,ANTIQUE & MODERN ARMS LLC ,6309 NORTH HENRY COUNTY LINE ROAD ,HAGERSTOWN ,IN ,1 
54801593 ,KAW VALLEY GUN WORKS LLC ,1000 N KANSAS AVE ,TOPEKA ,KS ,1 
54800618 ,"VAN DYKE, JOHN WILLIAM ",2324 17 ROAD ,PLAINVILLE ,KS ,24 
60435456 ,"SAEILO, INC ",130 GODDARD MEMORIAL DR ,WORCESTER ,MA ,10 
60401684 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,1347 
60433152 ,"SAVAGE ARMS, INC ",100 SPRINGDALE RD ,WESTFIELD ,MA ,22461 
85207699 ,BERETTA U S A CORPORATION ,17601 BERETTA DR ,ACCOKEEK ,MD ,24 
60100956 ,BUSHMASTER FIREARMS INTERNATIONAL LLC ,999 ROOSEVELT TRL ,WINDHAM ,ME ,449 
43800250 ,PIERCE ENGINEERING LTD ,5122 N GRAND RIVER ,LANSING ,MI ,2 
34134781 ,MAGNUM RESEARCH INC ,7110 UNIVERSITY AVE NE ,MINNEAPOLIS ,MN ,78 
98155388 ,C SHARPS ARMS CO INC ,100 CENTENNIAL DR ,BIG TIMBER ,MT ,17 
60200897 ,THOMPSON CENTER ARMS CO INC ,400 NORTH MAIN STREET ,ROCHESTER ,NH ,2524 
60200844 ,SIG SAUER INC ,18 INDUSTRIAL DR ,EXETER ,NH ,37 
60200735 ,"STURM, RUGER & COMPANY, INC ",529 SUNAPEE ST ,NEWPORT ,NH ,26151 
98835517 ,"DEBORD, CURTIS LEE ",5301 LONGLEY LN BLDG C SUITE 87-88 ,RENO ,NV ,3 


