RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,RIFLE MFG
15405971 ,,5003 ADMIRAL WRIGHT ROAD ,VIRGINIA BEACH ,VA ,2
60300433 ,AREOTEK INDUSTRIES LLC ,153 STAFFORD AVE ,MORRISVILLE ,VT ,13485
60333217 ,CENTURY ARMS INC ,236 BRYCE BLVD ,GEORGIA ,VT ,15480
60300537 ,,86 WEST STREET ROAD ,FAIRFAX ,VT ,1
60300380 ,,854 GOULD HILL RD ,JOHNSON ,VT ,2
60300518 ,MACHINING SOLUTIONS INC ,573 BALLARD RD ,MILTON ,VT ,121
99101098 ,AERO PRECISION INC ,2338 HOLGATE ST ,TACOMA ,WA ,19939
99101775 ,BLACKWELL INDUSTRIES INC ,16552 121 AVE SE ,RENTON ,WA ,5
99102839 ,,212 BLACK CROW WAY ,WASHOUGAL ,WA ,3
99102907 ,HIGH MOUNTAIN HUNTING SUPPLY LLC ,223 N MISSION ,WENATCHEE ,WA ,10
99103482 ,MEGA ARMS LLC ,5323 JOPPA SW ,TUMWATER ,WA ,290
99100750 ,MEGA MACHINE SHOP INC ,5323 JOPPA STREET SW ,TUMWATER ,WA ,1167
99114520 ,0LYMPIC ARMS INC ,624 OLD PACIFIC HWY SE ,0LYMPIA ,WA ,2892
99103153 ,PHANTOM FIREARMS TECHNOLOGY LLC ,114 WILD BLACKBERRY LANE ,PORT ANGELES ,WA ,2
99103294 ,R BROS RIFLES LLC ,136 MOX CHEHALIS RD ,ELMA ,WA ,6
99102474 ,RATTLESNAKE ORDNANCE COMPANY LLC ,42105 E RIDGECREST DR NE ,BENTON CITY ,WA ,2
99102834 ,SURPLUS AMMO & ARMS LLC ,12729 PACIFIC HWY SW ,LAKEWOOD ,WA ,38
99101448 ,,4631 76TH ST SW ,MUKILTEO ,WA ,8
99103269 ,,108 SOUTH FORK GOLD CREEK RD ,CARLTON ,WA ,5
33904002 ,ALL WEAPONS ONE LLC ,5744 S LAKE ST FRONTAGE ,BRULE ,WI ,14
33903743 ,BRAVO COMPANY MFG INC ,635 CARDINAL LN ,HARTLAND ,WI ,5380
33903985 ,CENTER SHOT RIFLES LLC ,5331 SECOND AVE ,PITTSVILLE ,WI ,7
33904626 ,CUSTOM SERVICES LLC ,259 SOUTH PINE STREET ,FALL CREEK ,WI ,4
33900732 ,EAST RIDGE GUN CO INC ,6319 5TH AVE ,BANCROFT ,WI ,24
33901266 ,,8540 HWY 153 ,ELAND ,WI ,16
33904438 ,,1408 E MILWAUKEE ST ,JANESVILLE ,WI ,5
33903006 ,,N1976 RIVER OAKS RD ,REESEVILLE ,WI ,3
33903378 ,L H PRECISION LLC ,9020 OLSON DR ,EAU CLAIRE ,WI ,48
33900697 ,,3601 129TH ST ,CHIPPEWA FALLS ,WI ,467
33903873 ,LONG RANGE RIFLES LLC ,5331 SECOND AVE ,PITTSVILLE ,WI ,8
33903655 ,,N 2851 ANTONY RD ,BANGOR ,WI ,1
33904240 ,NORTHERN COMPETITION LLC ,8332 196TH AVE ,BRISTOL ,WI ,6
33903205 ,JOSEPH P ,715 S LAKE AVE ,PHILLIPS ,WI ,17


