Table
LICENSE NAME ,STREEI ,CITY ,ST ,MISC FA MFG
TACTICAL DEFENSE SURVIVAL LLC ,2264B SIERRA MEADOWS DR ,ROCKLIN ,CA ,10
ACCURACY SYSTEMS INC ,1661 BEHRENS ROAD ,BYERS ,CO ,5
GODDARD ENTERPRISES LLC ,8495 WELD COUNTY ROAD 2 ,BRIGHTON ,CO ,89
INNOVATIVE TACTICAL SYSTEMS LLC ,67 N SILICON DR STE 150 ,PUEBLO WEST ,CO ,50
COLT DEFENSE LLC ,547 NEW PARK AVE ,WEST HARTFORD ,CT ,37
GOOD TIME OUTDOORS INC ,4600 W HIGHWAY 326 ,0CALA ,FL ,3341
GUN SMOKE ENTERPRISES INC ,506 NE 3RD ST ,0KEECHOBEE ,FL ,808
"HOFFMAN, RICHARD C ",145 SHERIDAN AVE ,LONGWOOD ,FL ,5
"KNIGHT, CHARLES REED JR ",701 COLUMBIA BLVD ,TITUSVILLE ,FL ,3334
"QUINNELL, DONALD LEE ",3112-3 PALM AVE ,FORT MYERS ,FL ,4
"TACTICAL MACHINING, LLC ",1270 BISCAYNE BLVD STE #5 ,DELAND ,FL ,1215
"THOMPSON, RICHARD N ",172 CENTER ST ,PANACEA ,FL ,1478
WADCO INDUSTRIES LLC ,700 S JOHN RODES BLVD UNIT A-6 ,MELBOURNE ,FL ,4
HISTORIC ARMS LLC ,1486 CHERRY RD ,FRANKLIN ,GA ,1
"INTEGRITY ARMS & SURVIVAL, LLC ",6591 GREENSBORO HWY ,WATKINSVILLE ,GA ,6
CONTROLLED CHAOS ARMS LLC ,8401 HWY S52 N ,BAXTER ,IA ,26
JARD INC ,3149 NEST AVE ,SHELDON ,IA ,21
"CDQ SOLUTIONS, LLC ",2772 S VICTORY VIEW WAY ,BOISE ,ID ,1119
PIRANHA CORP ,1151 ADDISON AVE W ,TWIN FALLS ,ID ,58
"SEEKINS, GLEN DALE ",1708 6TH AVE. N. SUITE D ,LEWISTON ,ID ,343
TACTICAL INNOVATIONS INC ,345 SUNRISE RD ,BONNERS FERRY ,ID ,2289
DS ARMS INC ,27W990 INDUSTRIAL AVE ,LAKE BARRINGTON ,IL ,8
"HAMRA, SAMUEL T AND STEFANO, FRANK JR ",2408 S 6TH ,SPRINGFIELD ,IL ,1
LEWIS MACHINE & TOOL CO ,1305 W 11TH ST ,MILAN ,IL ,1780
MANDUS GROUP LTD ,2408 4TH AVE ,ROCK ISLAND ,IL ,1
ALLIANCE MACHINE LLC ,1077 MT GILEAD RD ,BOONVILLE ,IN ,290
ANTIQUE & MODERN ARMS LLC ,6309 NORTH HENRY COUNTY LINE ROAD ,HAGERSTOWN ,IN ,2
"HAVERKAMP, THOMAS J ",4850 N 13TH ST ,TERRE HAUTE ,IN ,23
REO ENGINEERING INC ,1252 N UNION ST ,KOKOMO ,IN ,76
SUPPRESSED ARMAMENT SYSTEMS LLC ,1531 N HEIDELBACH AVE ,EVANSVILLE ,IN ,337
EXTRA SENSORY PROTECTION INC ,5700 WEST 84TH ST ,0VERLAND PARK ,KS ,5
DOUBLE STAR CORP ,5600 BYBEE RD ,WINCHESTER ,KY ,2061
IDEAL PRODUCTS INC ,126 CAPITAL CT ,NICHOLASVILLE ,KY ,393
LOUISVILLE PATRIOT GROUP LLC ,730 W MARKET ST SUITE 100 ,LOUISVILLE ,KY ,19
T CUSTOMS LLC ,15725 CHANOVE AVE ,GREENWELL SPRINGS ,LA ,4


