Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,MISC FA MFG
98602171 ,MILKOR USA INC ,3735 N ROMERO RD SUITE 2M ,TUCSON ,AZ ,18
97702726 ,NORMAN HANSON FIREARMS LLC ,20810 SOUTH ST UNIT 5 ,TEHACHAP ,CA ,215
15909552 ,GOOD TIME OUTDOORS INC ,4600 W HIGHWAY 326 ,0CALA ,FL ,6
15840056 ,PALMER CAP CHUR EQUIPMENT INC ,421 TIDWELL RD ,POWDER SPRINGS ,GA ,33
33636039 ,ARMALITE INC ,745 S HANFORD ST ,GENESEO ,IL ,5
46102771 ,IDEAL PRODUCTS INC ,126 CAPITAL CT ,NICHOLASVILLE ,KY ,12
46102247 ,BAE SYSTEMS LAND & ARMAMENTS LP ,163 ROCHESTER DR ,LOUISVILLE ,KY ,1
60401684 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,88
54301691 ,ARNOLD DEFENSE AND ELECTRONICS LLC ,3000 ARNOLD TENBROOK RD ,ARNOLD ,MO ,138
98101187 ,DEFIANCE MACHINE INC ,3881 MT HWY 40 W ,COLUMBIA FALLS ,MT ,78
43437065 ,KELBLY'S RIFLE RANGE INC ,7222 DALTON FOX LAKE RD ,NORTH LAWRENCE ,0H ,101
43134110 ,AMERICAN APEX CORPORATION ,8515 RAUSCH DRIVE ,PLAIN CITY ,0H ,12
82338992 ,"BORDEN, JAMES F ",1325 SHELDON HILL ROAD ,SPRINGVILLE ,PA ,73
82313090 ,NAVAL CO INC ,4747 COLD SPRING CREAMERY RD ,DOYLESTOWN ,PA ,1
57404875 ,STI INTERNATIONAL INC ,114 HALMAR COVE ,GEORGETOWN ,TX ,425
57503419 ,SHILEN RIFLES INC ,205 METRO PARK BLVD ,ENNIS ,TX ,3
57434208 ,"MAVERICK ARMS, INC ",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK ,EAGLE PASS ,TX ,13867
98734724 ,"ZDF IMPORT/EXPORT, LLC ",925 W 100 N SUITE A ,NORTH SALT LAKE ,UT ,2
15403090 ,"CAMPBELL, ALLEN WAYNE ",264 BENCHREST LN ,CONCORD ,VA ,19
15406854 ,RAYTHEON ,8350 ALBAN RD SUITE 700 ,SPRINGFIELD ,VA ,21
15437411 ,WEGMANN USA INC ,30 MILL RACE DR ,LYNCHBURG ,VA ,267


