Table
RDS KEY ,LICENSE NAME ,,STREEI ,CITY ,ST ,MISC FA MFG 
60401684 ,SMITH & WESSON CORP ,,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,4668 
60404099 ,TROY INDUSTRIES INC ,,151D CAPITAL DR ,WEST SPRINGFIELD ,MA ,128 
85233969 ,"BURNS, ROBERT LEE ",,108 HOLSUM WAY UNIT A-3 ,GLEN BURNIE ,MD ,294 
85202227 ,JAMES RIVER MANUFACTURING INC ,,3601 COMMERCE DR STE 110/109 ,HALETHORPE ,MD ,132 
85202711 ,"LITTLE, MICHAEL HAMILTON ",,7558 AMERICAN CORNER RD ,PRESTON ,MD ,126 
85202358 ,LWRC INTERNATIONAL LLC ,,815 CHESAPEAKE DRIVE ,CAMBRIDGE ,MD ,1849 
85211500 ,"MC KEE, INC ",,8725 BOLLMAN PLACE #1 ,SAVAGE ,MD ,768 
60101652 ,"GENTILE, DAMON FRANCIS ",,398 PLAINS RD ,HOLLIS CENTER ,ME ,172 
60101661 ,WINDHAM WEAPONRY INC ,,999 ROOSEVELT TRAIL BUILDING #3 ,WINDHAM ,ME ,1 
43805902 ,"A & O MOLD & ENG, INC ",,301 NORTH 4TH ST ,VICKSBURG ,MI ,49 
43804997 ,CENTRAL SCREW PRODUCTS CO INC ,,1070 MAPLELAWN ,TROY ,MI ,1158 
43805485 ,CHEELY CUSTOM GUNWORKS LLC ,,3300 WARNER RD ,HOWELL ,MI ,214 
43806571 ,COHARIE ARMS INC ,,"17354 TEUNIS DRIVE, SUITE A ",SPRING LAKE ,MI ,78 
43802539 ,COHARIE ARMS INC ,,17127 HICKORY STREET ,SPRING LAKE ,MI ,334 
43805439 ,"RIFENBARK, SCOTT HOWARD ",,745 E NEWBERG RD ,PINCONNING ,MI ,128 
43806122 ,SAGE CONTROL ORDNANCE INC ,,3445 KINGS CORNER RD ,GREENBUSH ,MI ,227 
43805981 ,SPECIAL WEAPONS INC ,,17354 TEUNIS DR ,SPRING LAKE ,MI ,178 
34104185 ,ALEXANDRIA PRO FAB CO INC ,,8210 STATE HWY 29 NORTH ,ALEXANDRIA ,MN ,118 
34102861 ,COONAN INC ,,4501 103RD CT NE # 120 ,BLAINE ,MN ,1043 
34101144 ,"FLITSCH, RONALD EUGENE ",,12156 COUNTY RD 31 NW ,PINE ISLAND ,MN ,1 
34104167 ,ISLAND TOOL & DIE INC ,,292 3RD STREET NE ,PINE ISLAND ,MN ,201 
34103846 ,JAKL MACHINE LLC ,,212 3RD ST W ,JASPER ,MN ,133 
34104102 ,KIES MANUFACTURING LLC ,,1150 HOLSTEIN DR NE ,PINE CITY ,MN ,24 
34101861 ,NODAK SPUD LLC ,,7683 WASHINGTON AVE S ,EDINA ,MN ,8216 
34103305 ,NORDIC COMPONENTS INC ,,1156 HWY 7 EAST ,HUTCHINSON ,MN ,160 
34104145 ,PA ENTERPRISES ,,3152 COUNTRY DR ,LITTLE CANADA ,MN ,9 
34103883 ,"SCHREYER, JORDAN WILLIAM CARL ",,245 E MARIE AVE #357 ,WEST SAINT PAUL ,MN ,205 
34103228 ,SUB ZERO CRYOGENICS INC ,,11265 375TH ST ,NORTH BRANCH ,MN ,4 
34103595 ,THE RANGE TOOL COMPANY LLC ,,310 NORTH BROADWAY ,GILBERT ,MN ,217 
34103286 ,WSI INDUSTRIES INC ,,213 CHELSEA RD ,MONTICELLO ,MN ,25 
54306384 ,ANCEL PRODUCTS INC ,,3805 BATES STREET ,SAINT LOUIS ,MO ,72 
54306466 ,BLACK DAWN INDUSTRIES LLC ,,1511 N OHIO ,SEDALIA ,MO ,486 
54306127 ,BLACK RAIN ORDNANCE INC ,,11685 GATEWAY DR ,NEOSHO ,MO ,19203 
54301610 ,CMMG INC ,,620 COUNTY ROAD 118 ,FAYETTE ,MO ,11219 
54306585 ,"DELASHMUTT, RAYMOND ",,916 CR 281 ,AUXVASSE ,MO ,1 


