Table
LICENSE NAME ,,STREET ,CITY ,ST ,PISTOLS 
,,71229 INTERSTATE 20 ,GORDON ,TX ,177 
TAZEWELL ENTERPRISES INC ,,730 SARTARTIA RD ,SUGAR LAND ,TX ,4 
"REPUBLIC FORGE, LLC ",,820 S INDUSTRIAL ,PERRYTON ,TX ,2 
,,925 W 100 N SUITE A ,NORTH SALT LAKE ,UT ,3 
INC ,,"550 NORTH CEMETERY ROAD, BUILDING #1 ",GUNNISON ,UT ,38 
,,2150 S 950 E ,PROVO ,UT ,35 
,,"2697 INTERNATIONAL PKWY STE 4-180, ",VIRGINIA BEACH ,VA ,5335 
"JOHNSON, VALERIE ANNE ",,4-140 & 3-136 75B ABBOTT RD ,ELMA ,WA ,


Table
RDS KEY ,
57540601 ,STRAYER VOIGT INC 
57602197 ,
57508775 ,
98734724 ,"ZDF IMPORT/EXPORT, LLC "
98734710 ,TDJ 
98734026 ,NORTH AMERICAN ARMS INC 
15402925 ,"KRISS USA, INC "
99137453 ,


