Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,SHOTGUN MFG
60201484 ,"STURM, RUGER & COMPANY, INC ",411 SUNAPEE ST ,NEWPORT ,NH ,137
60200735 ,"STURM, RUGER & COMPANY, INC ",529 SUNAPEE ST ,NEWPORT ,NH ,4306
58502024 ,3 GUN USA LLC ,662 HIDDEN VALLEY RD ,JEMEZ SPRINGS ,NM ,23
61602475 ,REMINGTON ARMS COMPANY LLC ,14 HOEFLER AVE ,ILION ,NY ,413534
43104533 ,"GOOD, WILLIAM J ",12580 ST RT 93 N ,LOGAN ,0H ,483
43402108 ,ITHACA GUN COMPANY ,420 N WARPOLE ST ,UPPER SANDUSKY ,0H ,1495
43402507 ,"MILLIGAN, DENNIS ",2640 HOLTZ RD ,SHELBY ,0H ,1
43104040 ,"MORRIS, ROBERT E AS SUCCESSOR TO MORRIS, ANDREW ",7319 FAIRGROUND RD ,BLANCHESTER ,0H ,3
99304160 ,PIONEER GUN WORKS INC ,2460 HARVEST LANE ,SPRINGFIELD ,0R ,2
99302709 ,R & R RACING INC ,42670 RODGERS MOUNTAIN LOOP ,SCIO ,0R ,19
82305046 ,R W C GROUP LLC ,911 WILLIAM LEIGH DR ,TULLYTOWN ,PA ,833
82333855 ,TAR HUNT CUSTOM RIFLES INC ,101 DOGTOWN RD ,BLOOMSBURG ,PA ,17
15704502 ,AMERICAN TACTICAL IMPORTS INC ,231 DEMING WAY ,SUMMERVILLE ,SC ,2
34600878 ,REMINGTON ARMS COMPANY LLC ,1310 INDUSTRY RD ,STURGIS ,SD ,1
16200523 ,LEINAD INC ,1801 HWY 68 ,DUCKTOWN ,TN ,100
57604153 ,BOOMER PRECISION LLC ,1430 CAMERON PARK LANE ,SPRING ,TX ,1
57407314 ,CACTUS WEAPONS SYSTEMS INC ,109 PIERCE ST ,DEL RIO ,TX ,2
57507749 ,"HUBNIK, JEREMY T ",5101 E UNIVERSITY STE 614 ,DENTON ,TX ,1
57434208 ,"MAVERICK ARMS, INC ",1001 INDUSTRIAL BLVD ,EAGLE PASS ,TX ,371367
57509350 ,QUALITY CUSTOM FIREARMS LLC ,906 9TH ST ,PADUCAH ,TX ,6
57601795 ,"WHITE, MELTON RAY ",7412 JOHN RALSTON RD ,HOUSTON ,TX ,2
98701324 ,ADVANCE MANUFACTURING TECHNOLOGY INC ,839 S 3600 W ,SALT LAKE CITY ,UT ,1
98701005 ,BROWNING ARMS COMPANY ,0NE BROWNING PLACE ,MORGAN ,UT ,2
98701391 ,LENNYS GUNS & AMMO INC ,46 WEST MAIN ,AMERICAN FORK ,UT ,5
98702216 ,NO QUARTER GUNSMITHING LLC ,3518 W BARN FIELD WAY ,WEST VALLEY CITY ,UT ,1
15411555 ,"ASHLAND GUN INNOVATIONS, INC ",12233 WASHINGTON HWY ,ASHLAND ,VA ,37
60300577 ,"LIPPINCOTT, JOHN ",2 THE SQUARE #14/15 ,BELLOWS FALLS ,VT ,1
99105684 ,"AERO PRECISION, LLC ",2338 HOLGATE ST ,TACOMA ,WA ,52
99104284 ,LJUTIC LLC ,2401 W J STREET STE A ,YAKIMA ,WA ,28
99104372 ,NORTH SOUND ARMORY LLC ,8715 271ST STREET NW SUITE 2 ,STANWOOD ,WA ,5
33906480 ,"BACON, FRANK LOUIS JR ",10241 CR FF ,MERRILL ,WI ,1
33906714 ,THE GUN SHOP LLC ,1452 SHERIDAN RD ,KENOSHA ,WI ,1
33906931 ,U S COMPETITION ARMS INC ,1925 ROOSEVELT AVE ,RACINE ,WI ,579


