Table
KEY ,LICENSE NAME ,STREET ,CITY ,ST ,PISTOLS 
,WILSONS GUN SHOP INC ,2452 CR 719 ,BERRYVILLE ,AR ,32 
,NIGHTHAWK CUSTOM LLC ,1306 WEST TRIMBLE AVE ,BERRYVILLE ,AR ,162 
,PATRIOT ORDNANCE FACTORY INC ,23011 N 16TH LANE ,PHOENIX ,AZ ,2 
,"STURM, RUGER & COMPANY, INC ",200 RUGER RD ,PRESCOTT ,AZ ,10937 
,JD MACHINE TECH INC ,4170 MORENA BLVD #C ,SAN DIEGO ,CA ,711 
,FMK FIREARMS INCORPORATED ,1025 A ORTEGA WAY / 1005 ORTEGA WAY ,PLACENTIA ,CA ,91 
,"LIPPARD, KARL ",3259 ELECTRA DR SO ,COLORADO SPRINGS ,CO ,10 
,M+M INC ,10909 IRMA DRIVE ,NORTHGLENN ,CO ,9 
,COLT'S MANUFACTURING CO LLC ,545 NEW PARK AVE ,WEST HARTFORD ,CT ,97 
,JKB DAIRA INC ,22 SOUTH SMITH STREET ,NORWALK ,CT ,123 
,TACTICAL SUPERIORITY INC ,2825 BUSINESS CENTER BLVD SUITE C-6 ,MELBOURNE ,FL ,2 
,AKAl CUSTOM GUNS LLC ,5405 NW 102ND AVE BAY 216 ,SUNRISE ,FL ,8 
,GOOD TIME OUTDOORS INC ,4600 W HIGHWAY 326 ,OCALA ,FL ,1 
,TAURUS INTERNATIONAL MANUFACTURING INC ,16175 NW 49TH AVE ,MIAMI ,FL ,1600 
,"SPARKMAN, JOHN B, III ",26001 S DIXIE HWY ,NARANJA ,FL ,
,KEL TEC CNC INDUSTRIES INC ,1475 COX ROAD ,COCOA ,FL ,431 
,HEAD DOWN PRODUCTS LLC ,333 BUTLER INDUSTRIAL DRIVE ,DALLAS ,GA ,171 
,MEGGITT TRAINING SYSTEMS INC ,296 BROGDON RD ,SUWANEE ,GA ,180 
,GLOCK INC ,6000 HIGHLANDS PKWY ,SMYRNA ,GA ,31934 
,LES BAER CUSTOM INC ,1804 IOWA DR ,LE CLAIRE ,IA ,404 
,PRIMARY WEAPONS SYSTEMS INC ,255 N. STEELHEAD WAY ,BOISE ,ID ,11 
,ROCK RIVER ARMS INC ,1042 CLEVELAND RD ,COLONA ,IL ,2 
,DS ARMS INC ,27W990 INDUSTRIAL AVE ,LAKE BARRINGTON ,IL ,180 
,"LINDSEY, MI YONG & JAMES ",3527 WEST US 40 ,GREENFIELD ,IN ,4 
,"SAEILO, INC ",130 GODDARD MEMORIAL DR ,WORCESTER ,MA ,186 
,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,14277 
,BERETTA U S A CORPORATION ,17601 BERETTA DR ,ACCOKEEK ,MD ,5185 
,MAGNUM RESEARCH INC ,12602 33RD AVE SW ,PILLAGER ,MN ,707 
,BOBERG ARMS CORPORATION ,1755 COMMERCE CT ,WHITE BEAR LAKE ,MN ,36 
,"ED BROWN PRODUCTS, INC ",43825 MULDROW TRAIL ,PERRY ,MO ,99 
,SIG SAUER INC ,72 PEASE BLVD ,NEWINGTON ,NH ,31275 
,NORTH AMERICAN TRAINING AND LOGISTICS INC ,41 INDUSTRIAL DR STE #5 ,EXETER ,NH ,2 
,"AMCHAR WHOLESALE, INC ",100 AIRPARK DR ,ROCHESTER ,NY ,17 
,KIMBER MFG INC ,1 LAWTON ST ,YONKERS ,NY ,1857 
,KIMBER MFG INC ,1120 SAW MILL RIVER RD ,YONKERS ,NY ,416 
,FN MANUFACTURING LLC ,797 OLD CLEMSON RD ,COLUMBIA ,SC ,11 
,STEAM MACHINES INC ,538 HIWASSEE RD ,LEBANON ,TN ,5 


