Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,Revolvers
58402309 ,M+M INC ,10909 IRMA DRIVE ,NORTHGLENN ,CO ,1
60633345 ,COLT'S MANUFACTURING CO LLC ,545 NEW PARK AVE ,WEST HARTFORD ,CT ,32
15912014 ,"SPARKMAN, JOHN B, III ",26001 S DIXIE HWY ,NARANJA ,FL ,
46104678 ,BALLISTIC ARMS LLC ,833 FOUNTAIN AVE ,LOUISVILLE ,KY ,1
60401684 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,16966
34103314 ,MAGNUM RESEARCH INC ,12602 33RD AVE SW ,PILLAGER ,MN ,93
54310039 ,"BIXLER, CHRISTOPHER A ",213 MORGAN ST ,AUXVASSE ,MO ,1
60200735 ,"STURM, RUGER & COMPANY, INC ",529 SUNAPEE ST ,NEWPORT ,NH ,8028
98734026 ,NORTH AMERICAN ARMS INC ,2150 S 950 E ,PROVO ,UT ,399


