Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,PISTOL 22 ,PISTOL 25 ,PISTOL 32 ,PISTOL 380 ,PISTOL 9MM ,PISTOL 50 ,PISTOL TOTAL 
15920832 ,AZIMUTH TECHNOLOGY LLC ,10130 MARKET STREET STE 7 ,NAPLES ,FL ,O ,0 ,O ,697 ,2138 ,3397 ,6232 
15920558 ,B HUEY SERVICES LLC ,1601 HERITAGE ESTATES TRACE ,JACKSONVILLE ,FL ,0 ,2 ,0 ,3 ,0 ,0 ,5 
15916829 ,BLACKHAWK CUSTOM LLC ,5762 NW CONE ST ,PORT SAINT LUCIE ,FL ,O ,O ,O ,0 ,0 ,1 ,1 
15916061 ,"BRIGGS, WILLIAM HARRY SR ",9415 OLD ST AUGUSTINE RD ,TALLAHASSEE ,FL ,O ,O ,O ,O ,O ,1 ,1 
15931741 ,"BUNKER, BRANDAN ",1108 24TH AVE E UNIT #114 ,ELLENTON ,FL ,O ,O ,O ,O ,2 ,2 ,4 
15907948 ,CHARLES W JENKINS LLC ,977 18TH AVE SW ,VERO BEACH ,FL ,O ,O ,O ,O ,1 ,23 ,24 
15931261 ,CPR TRAINING CENTER TAMPA LLC ,2550 LAND O LAKES BLVD UNIT 194 ,LAND O LAKES ,FL ,O ,O ,3 ,0 ,0 ,0 ,3 
15915069 ,CSC ARMS LLC ,4111 SW 47TH AVE STE 313 ,DAVIE ,FL ,O ,O ,O ,O ,O ,5 ,5 
15910123 ,DIAMONDBACK FIREARMS LLC ,3400 GRISSOM PKWY ,COCOA ,FL ,O ,O ,O ,4678 ,5638 ,5 ,10321 
15932299 ,FUSION PRECISION ENGINEERING LLC ,"795 COMMERCE DR STE 8, 9, 10, 11 ",VENICE ,FL ,0 ,0 ,0 ,0 ,7 ,31 ,38 
15931364 ,GHOST FIREARMS LLC ,828 S NOVA ROAD ,DAYTONA BEACH ,FL ,O ,2 ,O ,O ,O ,O ,2 
15909552 ,GOOD TIME OUTDOORS INC ,4600 W HIGHWAY 326 ,OCALA ,FL ,355 ,0 ,0 ,O ,0 ,0 ,355 
15920961 ,GRAY MATTER ARMS LLC ,7934 RIDGEGLEN CIRCLE W ,LAKELAND ,FL ,O ,1 ,O ,O ,O ,0 ,1 
15932142 ,H&M FIREARMS LLC ,15519 US HWY 441 SUITE 102A ,EUSTIS ,FL ,O ,O ,O ,O ,1 ,0 ,1 
15931975 ,HARDLINE CUSTOM LLC ,6950 PHILIPS HWY STE #2 ,JACKSONVILLE ,FL ,0 ,0 ,0 ,O ,1 ,0 ,1 
15930351 ,IN GUNS WE TRUST LLC ,5645 YOUNGQUIST RD UNIT 11 ,FORT MYERS ,FL ,14 ,O ,6 ,0 ,0 ,0 ,20 
15921330 ,"KARVASALE, MARK AUGUSTUS ",2523 PALMETTO RD ,MOUNT DORA ,FL ,O ,O ,O ,0 ,3 ,0 ,3 
15940806 ,KEL TEC CNC INDUSTRIES INC ,1475 COX ROAD ,COCOA ,FL ,41968 ,O ,3309 ,4057 ,13666 ,O ,63000 
15931689 ,"LACOMB, ROBERT EARL ",14520 NW 188TH ST ,ALACHUA ,FL ,3 ,O ,2 ,1 ,6 ,0 ,12 
15909528 ,LIBERTY GUN WORKS INC ,2446 MANATEE AVE E ,BRADENTON ,FL ,17 ,O ,O ,O ,0 ,0 ,17 
15931056 ,MILLENNIUM CUSTOM LLC ,501 INDUSTRIAL ST ,LAKE WORTH ,FL ,O ,O ,O ,0 ,12 ,0 ,12 
15906911 ,MVB INDUSTRIES INC ,510 GOOLSBY BLVD BAY #5 ,DEERFIELD BEACH ,FL ,O ,O ,O ,O ,3 ,O ,3 
15931562 ,PARADISE WEAPON WORX MFG INC ,16 S ANDROS RD ,KEY LARGO ,FL ,O ,1 ,O ,O ,O ,5 ,6 
15914376 ,PERFORMANCE ARMAMENT CORP ,3130 SW 19 ST #461 ,PEMBROKE PARK ,FL ,1 ,O ,O ,O ,O ,0 ,1 
15932101 ,PISTOL PETE THE GUNSMITH LLC ,8279 NW 64TH ST ,MIAMI ,FL ,O ,0 ,0 ,0 ,1 ,1 ,2 
15932516 ,PLANTATION ARMORY LLC ,4851 NW 103RD AVE #55C ,SUNRISE ,FL ,0 ,O ,O ,O ,0 ,1 ,1 
15947048 ,"QUINNELL, DONALD LEE ",3112-3 PALM AVE ,FORT MYERS ,FL ,1 ,0 ,O ,0 ,O ,O ,1 


