Table
,STREET ,CITY ,ST ,RIFLE MFG 
ARCHERY INC ,32981 COUNTY RD 24 ,STARBUCK ,MN ,221 
BROWN CO INC ,4088 COUNTY ROAD 40 NW ,GARFIELD ,MN ,52 
EVERETT ,10522 BRIAR RD ,BLOOMINGTON ,MN ,1 
INC ,15125 FRANCESCA AVENUE ,HUGO ,MN ,1120 
GUNSMITHING LLC ,816 8TH AVE ,MADISON ,MN ,17 
RESEARCH INC ,12602 33RD AVE SW ,PILLAGER ,MN ,2488 
ENTERPRISES LLC ,2535 PILOT KNOB ROAD SUITE 117 ,MENDOTA HEIGHTS ,MN ,75 
INC ,9304 BRYANT AVE SO ,BLOOMINGTON ,MN ,5 
,3152 COUNTRY DR ,LITTLE CANADA ,MN ,7 
ARMS COMPANY LLC ,3312 12TH ST SE ,SAINT CLOUD ,MN ,50475 
"JUSTIN; HEINTZEMAN, GREGORY ",3041 US HWY 59 ,MARSHALL ,MN ,25 
LLC ,9911 FARMING ROAD ,BRAHAM ,MN ,2 
INC ,1319 RICE CREEK RD ,FRIDLEY ,MN ,7 
TOOL COMPANY LLC ,202 NORTH BROADWAY ,GILBERT ,MN ,11 
JEROME MARK & AARON JACOB ,229 W MAIN ST ,ST CLAIR ,MN ,5 
,6315 RICE LAKE ROAD ,DULUTH ,MN ,957 
ACCURACY LLC ,812 N KURZWEIL RD ,RAYMORE ,MO ,4 
ADDICTION LLC ,20 WESTGATES LN ,TROY ,MO ,4 
INDUSTRIES LLC ,6606 NE ANTIOCH RD ,GLADSTONE ,MO ,7 
LIBERTY LLC ,4 NW 8TH ST ,CONCORDIA ,MO ,7 
MANUFACTURING & COATING ,LLC 1511 N OHIO AVE ,SEDALIA ,MO ,70 
ORDNANCE INC ,11685 GATEWAY DR ,NEOSHO ,MO ,1036 
ENTERPRISES LLC ,330 EVERGREEN DR ,SULLIVAN ,MO ,1 
,#1 BROWNING PLACE ,ARNOLD ,MO ,14815 
,10816 EWING ,KANSAS CITY ,MO ,2 
BATEMAN LLC ,2103 PRAIRIE CREEK DR ,KEARNEY ,MO ,8 
FIREARMS LLC ,1544 N NATIONAL ,SPRINGFIELD ,MO ,73 
,2301 BOONSLICK DR ,BOONVILLE ,MO ,4839 
SHOP LLC ,6947 EAST 20TH STREET ,JOPLIN ,MO ,1 
CUSTOMS LLC ,405 EAST 13TH AVE ,NORTH KANSAS CITY ,MO ,20 
,152 ENTERPRISE DR #108 ,WENTZVILLE ,MO ,26 
LLC ,12005 NE 172ND ST ,KEARNEY ,MO ,1 
INC ,2301 BOONSLICK DR ,BOONVILLE ,MO ,132 


