Table
,,,STREET ,CITY ,ST ,RIFLE MFG
ENTERPRISES LLC ,,,3023 LINDALE MT HOLLY RD ,AMELIA ,0H ,36
RANGE INC ,,,7222 DALTON FOX LAKE RD ,NORTH LAWRENCE ,0H ,25
CUSTOM GUNS LLC ,,,09153 MONROE RD ,WAPAKONETA ,0H ,1
,,,7556 ST RT 45 UNIT C ,LISBON ,0H ,4
SYSTEMS INC ,,,38254 AIRPORT PARKWAY UNIT C ,WILLOUGHBY ,0H ,25
LLC ,,,559 BECKERS LN ,LOWELL ,0H ,13
WILLIAM ,,,310 JUDSON RD ,KENT ,0H ,6
GROUP LLC ,,,9230 CR 2 ,WEST MANSFIELD ,0H ,19
E ,,,110 S TUSCARAWAS AVE ,DOVER ,0H ,3
LLC ,,,222 HOMAN WAY ,MOUNT ORAB ,0H ,763
RICHARD B ,,,726 ERIE ST ,WOODVILLE ,0H ,38
RIFLES LLC ,,,13600 RIVER RD RT 24 ,GRAND RAPIDS ,0H ,2
ROBERT DANIEL ,,,9501 E CENTER ST ,WINDHAM ,0H ,1
,,,2640 HOLTZ RD ,SHELBY ,0H ,2
A ,,,825 S WASHINGTON ST ,MILLERSBURG ,0H ,1
CUSTOM LLC ,,,218 FOREST ST ,LAGRANGE ,0H ,1
WORKS INC ,,,305 AND 310 PARK DR ,CHARDON ,0H ,241
JOHN ,,,4056 GRANGER RD ,MEDINA ,0H ,20
GLENN ,,,12276 CLIFTON RD ,MOUNT STERLING ,0H ,1
JEREMY M ,,,6738 CENTER RD STE 200 ,VALLEY CITY ,0H ,2
REFLEX INC ,,,710 STREINE DR ,NEW BREMEN ,0H ,34
ARMS LLC ,,,320 SYCAMORE ST ,NEW RICHMOND ,0H ,4
GUN WORKS LLC ,,,8935 VANSICKLE DR ,NASHPORT ,0H ,1
ENTERPRISES LLC ,,,9842 BROWER RD ,NORTH BEND ,0H ,7
,,,26933 KINGSTON CIR ,NORTH OLMSTED ,0H ,1
"SHOP & REPAIR, LLC ",,,5452 CR 26 ,BELLEFONTAINE ,0H ,24
MACHINE INC ,,,1015 SPRINGMILL ST ,MANSFIELD ,0H ,54000
HARRY C ,,,8310 STOKER RD ,SIDNEY ,0H ,5
ARMS LLC ,,,6970 GRATE PARK DR ,NEW ALBANY ,0H ,3
,,,5965 SPRINGFIELD XENIA RD ,SPRINGFIELD ,0H ,1
LLC ,,,9990 CAMP RD ,CONGRESS ,0H ,1
PRECISION LLC ,,,15786 TR 118 ,KIMBOLTON ,0H ,17
,,,,,,


