Table
,,STREET ,CITY ,ST ,RIFLE MFG 
SALES INC ,,9881 OCEAN HWY ,PAWLEYS ISLAND ,SC ,15 
INC ,,133 KIOWA LN ,PIEDMONT ,SC ,5 
ARMORY INC ,,18 SOUTH BROADWAY STREET ,COLUMBIA ,SD ,21 
INC ,,1301 TURBINE DR ,RAPID CITY ,SD ,578 
AARON ,,3409 W MAIN ST SUITE 1 ,RAPID CITY ,SD ,1 
,,422 N MAIN ,ISABEL ,SD ,1 
ARMS COMPANY LLC ,,1310 INDUSTRY RD ,STURGIS ,SD ,516 
LLC ,,21593 PAHKAMAA RD ,DEADWOOD ,SD ,13 
GROUP LLC ,,2549 BOYDS CREEK HWY ,SEVIERVILLE ,TN ,1 
MFG INC ,,5926 MILLER LANE ,MURFREESBORO ,TN ,3413 
DEFENSE LLC ,,2484 OLD TIMBER CT ,CLARKSVILLE ,TN ,8 
LLC ,,3081 HORSESHOE BEND LANE ,KNOXVILLE ,TN ,49 
,,2404 WALNUT GROVE RD ,CHRISTIANA ,TN ,1 
HARDWOODS INC ,,107 E 2ND ST ,SOUTH PITTSBURG ,TN ,12 
LLC ,,3271 HWY 41 A SOUTH SUITE B ,CLARKSVILLE ,TN ,31 
ENTERPRISES LLC ,,5520 STARKS RD ,CROSS PLAINS ,TN ,2 
ROSS ,,10177 CARLY DR ,LAKELAND ,TN ,2 
TOOL CO INC ,,312 LAW COMMUNITY RD ,LEXINGTON ,TN ,11 
LLC ,,308 SOUTH WATER AVE ,GALLATIN ,TN ,32 
INC ,,5005 CHAPMAN HWY SUITE B ,KNOXVILLE ,TN ,148 
THRIFTS & MORE LLC ,,2126 FORT CAMPBELL BLVD ,CLARKSVILLE ,TN ,46 
ARMORY LLC (FRA) ,,645 OLD HUNSTVILLE RD ,FAYETTEVILLE ,TN ,1 
ARNOLD ,,2400 SLAYDEN MARION RD ,SLAYDEN ,TN ,39 
EUGENE ,,1224 LYNNWOOD DR ,GREENBACK ,TN ,1 
GUNSMITHING INC ,,1792 AUSTIN RD ,LAFAYETTE ,TN ,2 
FIREARMS LLC ,,1117 RATTLESNAKE RD ,MC MINNVILLE ,TN ,6 
,,1048 EAGLE VIEW DR ,KODAK ,TN ,14 
MFG LLC ,,1812 NORTH BROAD ST STE 2 ,TAZEWELL ,TN ,5 
ALAN ,,2004 ROBINSON RD ,KNOXVILLE ,TN ,1 
MATTHEW ,,2374 RAY BLUFF RD ,MILLINGTON ,TN ,1 
,,1184 DISCO LOOP RD ,FRIENDSVILLE ,TN ,14 
GUN SALES LLC ,,11870 LEBNON RD ,MOUNT JULIET ,TN ,75 
B ,,206 PARKVIEW DR ,MC MINNVILLE ,TN ,27 


