Table
NAME ,STREET ,CITY ,ST ,RIFLE MFG 
"COMBAT TECHNOLOGIES, INC. ",37 TOWER BLVD ,ELMA ,WA ,22 
"PRECISION, LLC ",2338 HOLGATE ST ,TACOMA ,WA ,1118 
"ARMORY, LLC ",14969 W BOW HILL RD STE #2 ,BOW ,WA ,3 
"RESEARCH & DEVELOPMENT, LLC ",1407 E CHATTAROY RD ,COLBERT ,WA ,5 
"BARRELS, LLC ",1105 PIONEER HWY EAST ,ARLINGTON ,WA ,9 
INDUSTRIES LLC ,2335 S HOOD STREET ,TACOMA ,WA ,50 
INDUSTRIES INC ,16552 121 AVE SE ,RENTON ,WA ,1 
OUTDOORS LLC ,1017 300TH STREET NW ,STANWOOD ,WA ,1 
JONATHAN GLENN ,507 7TH STREET ,DAVENPORT ,WA ,4 
CONSULTING GROUP LLC ,210 N WASHINGTON AVE ,ARLINGTON ,WA ,1 
DISCOVERY INC ,3501 OLD GARDINER RD ,SEQUIM ,WA ,14 
"PRECISION, LLC ",2916 107TH ST S ,LAKEWOOD ,WA ,95 
KENNETH ROBERT ,410 WARWICK ST ,ENUMCLAW ,WA ,20 
ARMS LLC ,515 TUCKER AVE ,FRIDAY HARBOR ,WA ,108 
LLC ,83 STRAITLAND RD ,PORT ANGELES ,WA ,6 
"JAMES, LLC ",12631 123RD AVE SE ,RAINIER ,WA ,19 
"GUNS, LLC ",1116 E ERMINA ,SPOKANE ,WA ,10 
INVESTMENTS LLC ,13216 SE 32ND ST ,BELLEVUE ,WA ,2 
"MANUFACTURING, LLC ",1425 E WALNUT ST ,KENT ,WA ,1 
LLC ,3507 NORTHPARK DRIVE ,CENTRALIA ,WA ,4914 
JASON LOREN ,20607 FILBERT DR ,BOTHELL ,WA ,2 
ARMS INC ,624 OLD PACIFIC HWY SE ,OLYMPIA ,WA ,1560 
ORDNANCE LLC ,14911 NW HOLLY RD ,SEABECK ,WA ,1 
LLC ,323 MICHAEL PL ,WENATCHEE ,WA ,8 
ARMS LLC ,12607 54TH AVE SE ,SNOHOMISH ,WA ,3 
RIFLES LLC ,136 MOX CHEHALIS RD ,ELMA ,WA ,48 
LLC ,2504 AUBURN WAY N ,AUBURN ,WA ,365 
FIREARMS LLC ,3824 HOLLYWOOD DR NE ,OLYMPIA ,WA ,3 
ARMS LLC ,26224 173RD AVE SE ,COVINGTON ,WA ,3 
AMMO & ARMS LLC ,102 PUYALLUP AVENUE ,TACOMA ,WA ,50 
"SUPPLY ALPHA, LLC ",1701 GARRETSON LANE ,YAKIMA ,WA ,67 
FIREARMS COMPANY ,656 NW NORWOOD STREET ,CAMAS ,WA ,1 
MUSIC COMPANY LLC ,W223N797 SARATOGA DRIVE ,WAUKESHA ,WI ,2 


