Table
KEY ,LICENSE NAME ,STREET ,CITY ,ST ,SHOTGUN MFG
,REMINGTON ARMS COMPANY LLC ,1816 REMINGTON CIRCLE SW ,HUNTSVILLE ,AL ,14449
,SUPERIOR TASKING ADVANTAGE CONTRACTING INC ,5530 HWY 280 STE 104A ,BIRMINGHAM ,AL ,1
,FEDERAL ARMAMENT LLC ,5701 S 73RD PLACE ,FORT SMITH ,AR ,822
,NIGHTHAWK CUSTOM LLC ,1306 WEST TRIMBLE AVE ,BERRYVILLE ,AR ,66
,WILSONS GUN SHOP INC ,2452 CR 719 ,BERRYVILLE ,AR ,139
,ASGARD DEFENSE SYSTEMS LLC ,7810 N US HIGHWAY 89 SUITE 320 ,FLAGSTAFF ,AZ ,1
,"STURM, RUGER & COMPANY, INC ",200 RUGER RD ,PRESCOTT ,AZ ,3
,"KAUFMANN TACTICAL FIREARMS, INC ",5816 E SHIELDS #102 ,FRESNO ,CA ,4
,"LIPPARD, KARL ",3259 ELECTRA DR SO ,COLORADO SPRINGS ,CO ,5
,CONNECTICUT SHOTGUN MANUFACTURING CO ,100 BURRITT STREET ,NEW BRITAIN ,CT ,413
,PAUWAY CORP ,63 NORTH CHERRY STREET ,WALLINGFORD ,CT ,696
,STANDARD MANUFACTURING CO LLC ,100 BURRITT STREET ,NEW BRITAIN ,CT ,6618
,"STURM, RUGER & COMPANY, INC ",1 LACEY PL ,SOUTHPORT ,CT ,9
,ANATOLIA MANUFACTURING COMPANY LLC ,4980 PATCH RD SUITE D ,0RLANDO ,FL ,200
,GUNSMITHS GALLERY LLC ,4333 SOUTH TAMIAMI TRAIL UNIT E ,SARASOTA ,FL ,1
,IRON SITE GUN SHOP INC ,8380 ULMERTON RD SUITE 308/310 ,LARGO ,FL ,3
,KEL TEC CNC INDUSTRIES INC ,1475 COX ROAD ,COCOA ,FL ,38163
,"LACOMB, ROBERT EARL ",14520 NW 188TH ST ,ALACHUA ,FL ,1
,MEGGITT TRAINING SYSTEMS INC ,296 BROGDON RD ,SUWANEE ,GA ,4
,FARRO'S LEAD FARM LLC ,417 3RD ST ,LOW MOOR ,IA ,23
,CLASSIC CASE COLORS LLC ,7039 FUNKHOUSER RD ,BONNERS FERRY ,ID ,5
,GENESIS ARMS LLC ,4259 W SELTICE WAY STE B ,COEUR D ALENE ,ID ,1
,SEAMANS SUPREME SHOOTERS AND SURPLUS LLC ,3413 16TH ST ,LEWISTON ,ID ,
,"SRM ARMS, INC ",4375-A WEST MCMILLAN ,MERIDIAN ,ID ,444
,0GLESBY & OGLESBY GUNMAKERS INC ,744 W ANDREW RD ,SPRINGFIELD ,IL ,2
,UTAS-USA LTD ,"1247 RAND RD STE 1245, 1247, 1249 ",DES PLAINES ,IL ,2137
,FOSTECH MFG LLC ,8620 N US HWY 31 ,SEYMOUR ,IN ,203
,"THOMAS, LESLIE L ",2228 WATERMAN RD ,INDIANAPOLIS ,IN ,1
,REMINGTON ARMS COMPANY LLC ,315 WEST RING ROAD ,ELIZABETHTOWN ,KY ,3
,"TRAVERS, JACK DON ",347 NED WOODHAM RD ,LEESVILLE ,LA ,1
,"SAVAGE ARMS, INC ",100 SPRINGDALE RD ,WESTFIELD ,MA ,13161
,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,183
,AIM INC ,19200 MIDDLETOWN RD ,PARKTON ,MD ,30
,BERETTA U S A CORPORATION ,17601 BERETTA DR ,ACCOKEEK ,MD ,28362
,BK GUNS N STUFF LLC ,6255 POTTERS RD ,SARANAC ,MI ,10


