Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,SHOTGUN MFG 
43805626 ,PHOENIX COMPOSITE SOLUTIONS LLC ,5911 MISSION ST ,OSCODA ,MI ,2 
54338023 ,ALFERMANN USA INC ,1482 POTTERY RD ,WASHINGTON ,MO ,2 
54305666 ,BROWNING ,#1 BROWNING PLACE ,ARNOLD ,MO ,1477 
15609063 ,STURM RUGER & COMPANY INC ,271 CARDWELL RD ,MAYODAN ,NC ,2 
54702022 ,MEAD INDUSTRIES INC ,411 WALNUT ST ,WOOD RIVER ,NE ,1 
60201484 ,"STURM, RUGER & COMPANY INC ",411 SUNAPEE ST ,NEWPORT ,NH ,153 
60200735 ,"STURM, RUGER & COMPANY, INC ",529 SUNAPEE ST ,NEWPORT ,NH ,660 
58502074 ,"FIREBIRD PRECISION FIREARMS, LLC ",#28 COUNTY RD B027 ,MOUNTAINAIR ,NM ,47 
98802773 ,FIME GROUP LLC ,4395 WEST POST RD UNIT 200 ,LAS VEGAS ,NV ,100 
61401200 ,"BARDEN, J JASON ",7940 RT 30 ,BLUE MOUNTAIN LAKE ,NY ,2 
61602475 ,REMINGTON ARMS COMPANY LLC ,14 HOEFLER AVE ,ILION ,NY ,318990 
43403855 ,DELTA GROUP TECHNOLOGY LLC ,19240 TOWNSHIP RD 47 ,BELLE CENTER ,OH ,1 
43104533 ,"GOOD, WILLIAM J ",12580 ST RT 93 N ,LOGAN ,OH ,670 
43402108 ,ITHACA GUN COMPANY ,420 N WARPOLE ST ,UPPER SANDUSKY ,OH ,948 
43104858 ,KMR FIREARMS LLC ,559 BECKERS LN ,LOWELL ,OH ,1 
43104822 ,NMWC LLC ,4284 GLENMAWR AVE ,COLUMBUS ,OH ,1 
43403766 ,PARKER BROS MAKERS INC ,12520 TRISKETT ROAD ,CLEVELAND ,OH ,1 
43104195 ,"SWEIGART, HARRY C ",8310 STOKER RD ,SIDNEY ,OH ,5 
99304160 ,PIONEER GUN WORKS INC ,2460 HARVEST LANE ,SPRINGFIELD ,OR ,1 
99302709 ,R & R RACING INC ,42670 RODGERS MOUNTAIN LOOP ,SCIO ,OR ,31 
82506775 ,ASYLUM WEAPONRY LLC ,245 BATTERY ST ,SAINT MARYS ,PA ,10 
82505397 ,"DOWNS, MATTHEW H ",2457 ST CHARLES RD ,NEW BETHLEHEM ,PA ,1 
82333855 ,TAR HUNT CUSTOM RIFLES INC ,101 DOGTOWN RD ,BLOOMSBURG ,PA ,4 
15704502 ,AMERICAN TACTICAL IMPORTS INC ,231 DEMING WAY ,SUMMERVILLE ,SC ,1 
15703731 ,"HARDEE, CHRISTOPHER E ",1188 TAW CAW 2 DR ,SUMMERTON ,SC ,1 
57434208 ,"MAVERICK ARMS, INC ",1001 INDUSTRIAL BLVD ,EAGLE PASS ,TX ,347658 
57406599 ,"STEVENS, BRYAN DAVID JR ",86 PRIVATE RD 650 ,BAY CITY ,TX ,
57601795 ,"WHITE, MELTON RAY ",7412 JOHN RALSTON RD ,HOUSTON ,TX ,3 
15414041 ,HIGHER POWER FIREARMS LLC ,109 WAVERLY DR ,RUTHER GLEN ,VA ,3 
60300830 ,"STRAFFIN, SHAWN ",1241 GASKELL HILL RD ,WEST BURKE ,VT ,47 
99104284 ,LJUTIC LLC ,2401 W J STREET STE A ,YAKIMA ,WA ,21 
33906891 ,GREEN BAY ANODIZING INC ,2074 S ASHLAND AVE ,GREEN BAY ,WI ,6 
33906931 ,U S COMPETITION ARMS INC ,1925 ROOSEVELT AVE ,RACINE ,WI ,258 
58300887 ,D SCHIMMEL LLC ,5 GREASEWOOD CT ,ROZET ,WY ,1 


