Table
RDS KEY ,LICENSE NAME ,,STREET ,CITY ,ST ,PISTOLS
61601132 ,"AMCHAR WHOLESALE, INC ",,100 AIRPARK DR ,ROCHESTER ,NY ,14
61602560 ,REX AGENCY LLC ,,2363 STATE ROUTE 69 BLDG B ,PARISH ,NY ,5
61603245 ,"LETTS, CRAIG A ",,3692 US HIGHWAY 11 ,LISLE ,NY ,7
61300458 ,KIMBER MFG INC ,,1120 SAW MILL RIVER RD ,YONKERS ,NY ,1562
43401651 ,0HIO ORDNANCE WORKS INC ,,305 AND 310 PARK DR ,CHARDON ,0H ,8
43105058 ,ROGUE ENTERPRISES LLC ,,5265 NATORP BLVD UNIT 412 ,MASON ,0H ,1
57305519 ,BDC GUN ROOM INC ,,40960 HARDESTY RD ,SHAWNEE ,0K ,1
99303633 ,BHA INC ,,452 W. 2ND ST ,HALSEY ,0R ,1
82502681 ,EVANS MACHINING SERVICE INC ,,314 STATE STREET ,CLAIRTON ,PA ,41
15702581 ,"FN AMERICA, LLC ",,797 OLD CLEMSON ROAD ,COLUMBIA ,SC ,152
57404875 ,STI INTERNATIONAL LLC ,,114 HALMAR COVE ,GEORGETOWN ,TX ,2101
57406599 ,"STEVENS, BRYAN DAVID JR ",,86 PRIVATE RD 650 ,BAY CITY ,TX ,
57404444 ,HILL COUNTRY BLACK RIFLES LLC ,,3965 THOUSAND OAKS DR STE 4 ,SAN ANTONIO ,TX ,1
57601795 ,"WHITE, MELTON RAY ",,7412 JOHN RALSTON RD ,HOUSTON ,TX ,1
98734724 ,"ZDF IMPORT/EXPORT, LLC ",,925 W 100 N SUITE A ,NORTH SALT LAKE ,UT ,2
98700995 ,"COBRA ENTERPRISES OF UTAH, INC ",,"1960 S MILESTONE DR, SUITE F ",SALT LAKE CITY ,UT ,39515
15402925 ,"KRISS USA, INC ",,912 CORPORATE LANE ,CHESAPEAKE ,VA ,9405


