Table
NAME ,SIREET ,CITY ,ST ,MISC FA MFG
GUNWORKS LLC ,3000 N MAIN #3B ,BAYTOWN ,TX ,54
FIREARMS LLC ,5045 FM 2920 RD ,SPRING ,TX ,2480
ARMS LLC ,2418 N FRAZIER ST STE 107B ,CONROE ,TX ,1
PRECISION LLC ,22075 ADAMS ST ,PORTER ,TX ,150
ARMS LLC ,118 REGENCY DR STE 200 ,WYLIE ,TX ,99
BRILEY MANUFACTURING COMPANY ,1230 LUMPKIN RD ,HOUSTON ,TX ,2
ARMS LLC ,610 DE LA GARZA ,WILLIS ,TX ,
BRIAN J & RACHEL L ,5130 SHAW RD ,TEMPLE ,TX ,7
JEFFREY DAVID ,3401 W PIONEER DRIVE #2 ,IRVING ,TX ,206
METALS INC ,14375 LUTHE RD ,HOUSTON ,TX ,87
MANUFACTURING LLC ,7131 JACK RABBIT RD ,HOUSTON ,TX ,4
FIREARMS INC ,2901 S CRAVENS RD ,FORT WORTH ,TX ,5
MFR LLC ,9814 MISTY PLAIN DR ,SAN ANTONIO ,TX ,20
SMITH CUSTOM WORKS INC ,1839 HWY 144 SOUTH ,GLEN ROSE ,TX ,5
WRATH ARMS LLC ,8701 CANYON CREST RD ,FORT WORTH ,TX ,1
RIFLES INC ,2501 N. INTERSTATE HIGHWAY 45 ,ENNIS ,TX ,69
SOUTHWESTERN FIREARMS INC ,5840 E US HWY 287 ,MIDLOTHIAN ,TX ,1
FIREARMS LLC ,114 HALMAR COVE ,GEORGETOWN ,TX ,345
INTERNATIONAL LLC ,114 HALMAR COVE ,GEORGETOWN ,TX ,216
PRECISION FIREARMS LLC ,543 N 5TH ST ,GARLAND ,TX ,2060
PROFESSIONALS INC ,35100 N STATE HWY 108 ,MINGUS ,TX ,99
GUN BUILDERS LLC ,1321 E BELTLINE RD ,WILMER ,TX ,9
INVESTMENTS INC ,4340 HOLMES RD STE 101 ,HOUSTON ,TX ,72
ALEXSANDER ,308 FM 590 N ,ZEPHYR ,TX ,278
MACHINE INC ,1435 NORTH 200 W ,LOGAN ,UT ,18316
FIREARM SERVICES LLC ,845 WEST 2875 SOUTH ,PERRY ,UT ,7
AND BURNOUTS LLC ,5621 WEST WELLS PARK RD ,WEST JORDAN ,UT ,7
PEAK ARMS LLC ,85 E 4000 N ,HYDE PARK ,UT ,512
MONTGOMERY WARD & CO INC ,2345 WASHINGTON BLVD ,0GDEN ,UT ,
MARTY AARON ,352 NORTH 400 EAST ,LEHI ,UT ,6
ENTERPRISES LLC ,49 W MAIN ST ,MT PLEASANT ,UT ,23
LLC ,5511 SOUTH 6055 WEST ,WEST VALLEY CITY ,UT ,68
LLC ,5408 WEST 10180 NORTH ,HIGHLAND ,UT ,7
,"550 NORTH CEMETERY ROAD, BUILDING #1 ",GUNNISON ,UT ,121
ARMS INC ,523 S COMMERCE RD ,0REM ,UT ,542


