Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,MISC FA MFG 
57404875 ,STI INTERNATIONAL LLC ,114 HALMAR COVE ,GEORGETOWN ,TX ,17 
57404880 ,"ANTUNEZ, CARLOS ",12940 FALLEN HERO LN ,EL PASO ,TX ,
98734710 ,TDJ INC ,"550 NORTH CEMETERY ROAD, BUILDING ",GUNNISON ,UT ,4 
98701260 ,MONTGOMERY WARD & CO INC ,#1 2345 WASHINGTON BLVD ,OGDEN ,UT ,
15437411 ,WEGMANN USA INC ,30 MILL RACE DR ,LYNCHBURG ,VA ,802 
15402925 ,"KRISS USA, INC ",912 CORPORATE LANE ,CHESAPEAKE ,VA ,18 
15415457 ,WAYNE'S PRECISION LLC ,264 BENCHREST LN ,CONCORD ,VA ,26 
99105684 ,"AERO PRECISION, LLC ",2338 HOLGATE ST ,TACOMA ,WA ,521 
33907081 ,"BELLING, DAVID A ",RT 1 ,IRMA ,WI ,
33907080 ,COAST TO COAST ,260 MAIN STREET ,REEDSBURG ,WI ,


