Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,PISTOL 22 ,PISTOL 25 ,PISTOL 32 ,PISTOL 380 ,PISTOL 9MM ,PISTOL 50 ,PISTOL TOTAL
57407395 ,TOMLINSON GUN WORKS LLC ,204 COUNTY ROAD 375 ,JARRELL ,TX ,0 ,0 ,0 ,0 ,3 ,1 ,4
57512976 ,TRIARC SYSTEMS LLC ,2500 US HWY 287 N ,MANSFIELD ,TX ,14 ,0 ,7 ,0 ,61 ,11 ,93
57405069 ,TRIPP RESEARCH INC ,529 KELLEY RD ,BASTROP ,TX ,0 ,0 ,0 ,0 ,1 ,5 ,6
57507248 ,WE THE PEOPLE FIREARMS LLC ,4110 S EDEN RD ,KENNEDALE ,TX ,0 ,0 ,0 ,1 ,4 ,0 ,5
57505688 ,"WEBSTER, EDWARD MARSHALL ",625 BRIARWOOD TRAIL ,JOSHUA ,TX ,1 ,0 ,0 ,0 ,3 ,1 ,5
57511613 ,WOLFPACK WEAPONRY LLC ,9584 W 42ND ST ,0DESSA ,TX ,1 ,0 ,1 ,0 ,0 ,3 ,5
57408451 ,WRIGHT METAL FINISHING LLC ,106 WILDWOOD RANCH ROAD ,ADKINS ,TX ,0 ,0 ,0 ,0 ,1 ,0 ,1
57603665 ,WTFIREARMS LLC ,3 CHANDLERS WAY ,MAGNOLIA ,TX ,0 ,0 ,0 ,1 ,0 ,0 ,1
98702208 ,BRETHREN ARMAMENT LLC ,2156 W PRINTERS ROW ,WEST VALLEY CITY ,UT ,2 ,0 ,0 ,0 ,42 ,9 ,53
98701005 ,BROWNING ARMS COMPANY ,0NE BROWNING PLACE ,MORGAN ,UT ,30859 ,0 ,0 ,19472 ,0 ,0 ,50331
98702803 ,CENTER IMPORTS LLC ,2346 E 2050 N ,LAYTON ,UT ,0 ,0 ,0 ,4 ,0 ,0 ,4
98701806 ,CITIZENS ACADEMY LLC ,9470 SOUTH 560 WEST ,SANDY ,UT ,0 ,0 ,1 ,0 ,0 ,0 ,1
98700995 ,"COBRA ENTERPRISES OF UTAH, INC ","1960 S MILESTONE DR, SUITE F ",SALT LAKE CITY ,UT ,3485 ,11 ,2 ,11475 ,12852 ,80 ,27905
98703526 ,DAVIDSON DEFENSE INC ,333 N STATE STREET ,0REM ,UT ,0 ,1 ,0 ,0 ,0 ,0 ,1
98703069 ,"NESS, HAROLD ",1201 E 1525 N ,LAYTON ,UT ,0 ,0 ,0 ,0 ,0 ,1 ,1
98734026 ,NORTH AMERICAN ARMS INC ,2150 S 950 E ,PROVO ,UT ,0 ,50 ,440 ,319 ,0 ,0 ,809
98701000 ,"PAWELEC, RICHARD S ",512 NORTH MAIN ST ,KANARRAVILLE ,UT ,0 ,0 ,0 ,0 ,1 ,0 ,1
98703191 ,RIOT LLC ,353 WEST 200 SOUTH SUITE 101 ,SALT LAKE CITY ,UT ,0 ,0 ,0 ,0 ,0 ,1 ,1
98701056 ,"SILENCERCO, LLC ",5511 SOUTH 6055 WEST ,WEST VALLEY CITY ,UT ,0 ,0 ,0 ,0 ,4850 ,0 ,4850
98734710 ,TDJ INC ,"550 NORTH CEMETERY ROAD, BUILDING #1 ",GUNNISON ,UT ,0 ,0 ,0 ,0 ,207 ,0 ,207
98701861 ,WASATCH ARMS LLC ,286 EAST EAGLERIDGE DR ,NORTH SALT LAKE ,UT ,1 ,0 ,0 ,0 ,1 ,0 ,2
98702489 ,WILSON PRECISION ARMS INC ,204 PLAYA DELLA ROSITA STE #6 ,WASHINGTON ,UT ,56 ,0 ,0 ,0 ,0 ,0 ,56
15415883 ,3CR ASSOCIATES LLC ,25 PATRIOT WAY ,STAFFORD ,VA ,0 ,0 ,0 ,0 ,0 ,4 ,4
15410684 ,"ACCURACY X, INC ",733 MIDDLE VALLEY RD ,HARDY ,VA ,0 ,0 ,0 ,0 ,8 ,32 ,40
15412412 ,APPALACHIAN GUN WORKS LLC ,4568 BLUE RIDGE BLVD ,BLUE RIDGE ,VA ,0 ,0 ,0 ,0 ,0 ,1 ,1
15418157 ,BBC OUTDOORS INC ,320 OLD FRANKLIN TURNPIKE ,ROCKY MOUNT ,VA ,3 ,0 ,0 ,0 ,0 ,0 ,3
15416108 ,E GIUFFRE INC ,400 GREYSTONE DR ,WIRTZ ,VA ,0 ,0 ,0 ,1 ,0 ,0 ,1
15424072 ,ECHO 3 WHISKEY ARMS LLC ,1108 COOLBROOK RD ,BEDFORD ,VA ,8 ,0 ,3 ,0 ,0 ,0 ,11
15416746 ,EDC TACTICAL LLC ,1100 ATHENS AVE STE D ,RICHMOND ,VA ,0 ,7 ,4 ,0 ,3 ,0 ,14
15415639 ,HIGHFLYER ARMS LLC ,17 S 5TH ST SUITE O ,WARRENTON ,VA ,0 ,1 ,0 ,0 ,0 ,0 ,1


