Table
STREET ,CITY ,ST ,RIFLE MFG 
132 W BROAD ST ,GROVELAND ,FL ,2 
4695 W MEADOW STREET STE 1 ,HOMOSASSA ,FL ,1 
13317 W HILLSBOROUGH AVE ,TAMPA ,FL ,25 
5934 W 20TH AVE ,HIALEAH ,FL ,20 
316 MARIANNE ST ,BROOKSVILLE ,FL ,11 
6690 COLUMBIA PARK DR STE 2 ,JACKSONVILLE ,FL ,23 
828 S NOVA ROAD ,DAYTONA BEACH ,FL ,148 
4600 W HIGHWAY 326 ,OCALA ,FL ,1575 
503-A HARBOR BLVD ,DESTIN ,FL ,6 
5570 FLORIDA MINING BLVD S STE 106 ,JACKSONVILLE ,FL ,10 
121 TRIPLE DIAMOND BLVD #14 ,NORTH VENICE ,FL ,10 
5548 S RIDGEWOOD AVE ,PORT ORANGE ,FL ,1 
2749 EDGEWATER DRIVE ,NICEVILLE ,FL ,32 
2150 34TH WAY N ,LARGO ,FL ,3 
2144 FRANKLIN DRIVE NE ,PALM BAY ,FL ,7460 
5625 YOUNGQUIST RD UNIT 1 ,FORT MYERS ,FL ,198 
8380 ULMERTON RD SUITE 308/310 ,LARGO ,FL ,4 
24896 77TH ROAD ,O BRIEN ,FL ,2 
2509 TURKEY CREEK RD STE #1 ,PLANT CITY ,FL ,5 
2523 PALMETTO RD ,MOUNT DORA ,FL ,9 
1475 COX ROAD ,COCOA ,FL ,66235 
701 COLUMBIA BLVD ,TITUSVILLE ,FL ,1 
701 COLUMBIA BLVD ,TITUSVILLE ,FL ,802 
4331 126TH DR N ,WEST PALM BEACH ,FL ,6 
14225 GRANDEUR WAY ,DADE CITY ,FL ,8 
2005-B MURCOTT DR ,SAINT CLOUD ,FL ,4 
6020 NW 99TH AVE SUITE 305 ,MIAMI ,FL ,11 
2701 SUCCESS DR ,ODESSA ,FL ,6 
510 GOOLSBY BLVD BAY #5 ,DEERFIELD BEACH ,FL ,214 
119 BLUEBERRY ROAD ,FREEPORT ,FL ,5 
48 COMMERCE LN BLDG 1 STE 7 ,FREEPORT ,FL ,51 
259 GUS HIPP BLVD ,ROCKLEDGE ,FL ,17 


