Table
,STREET ,CITY ,ST ,RIFLE MFG
,,HOGANSVILLE ,GA ,6
,1255 E CHERRY STREET ,JESUP ,GA ,23
,,COMER ,GA ,991
,,DOERUN ,GA ,39
,7535 HWY 92 ,WOODSTOCK ,GA ,100
SYSTEMS INC ,296 BROGDON RD ,SUWANEE ,GA ,31
,,CHATSWORTH ,GA ,3
,,HARTWELL ,GA ,3
,,CARLTON ,GA ,1
,,CONYERS ,GA ,60
INC ,115 OAK STREET SUITE B ,ROSWELL ,GA ,2
,,CLAYTON ,GA ,1
,,MCDONOUGH ,GA ,1
,56 KELLY FARM RD ,NEWNAN ,GA ,8
,,CUMMING ,GA ,9
,,MARIETTA ,GA ,1
,,TALKING ROCK ,GA ,17
"RESEARCH, LLC ",140 INDIGO DR ,BRUNSWICK ,GA ,2
JACKSON TATE ,4740 HWY 115 W ,CLEVELAND ,GA ,9
,,GLENNVILLE ,GA ,60
,,LOGANVILLE ,GA ,2
,,LAVONIA ,GA ,1
& ARMS INC ,4643 HWY 280 ,CLAXTON ,GA ,11
,,CARTERSVILLE ,GA ,25
,A ,DALLAS ,GA ,1
GUNS LLC ,1229 JOHNSON FERRY ROAD SUITE 201 ,MARIETTA ,GA ,1
MICHELLE ,1051 HAYES INDUSTRIAL DR ROOM 5 ,MARIETTA ,GA ,25
,,SHADY DALE ,GA ,1
,,WOODBINE ,GA ,29
,MOANA BLVD STE 400 ,HONOLULU ,HI ,3
,,CEDAR RAPIDS ,IA ,18
ENTERPRISES LLC ,2880 HWY 44 ,PANORA ,IA ,2


Table
RDS KEY ,LICENSE NAME ,
15812982 ,JRK CUSTOM PRECISION RIFLES LLC ,7364 CHARLIE B JOHNSTON ROAD
15805501 ,MA CUSTOMS LLC ,
15804952 ,MASTERPIECE ARMS HOLDING COMPANY ,4904 HIGHWAY 98
15810571 ,MCWHORTER CUSTOM RIFLES INC ,1549 HOWELL RD
15808591 ,MEAN LLC ,
15840168 ,MEGGITT TRAINING ,
15810862 ,MILITANT EDGE LLC ,39 NICHOLS LANE
15808476 ,NORTHEAST GEORGIA SUPPLY LLC ,210 WILL BAILEY RD
15812359 ,0N TARGET DEFENSE LLC ,390 NEW HOPE VESTA RD
15810024 ,P & C MACHINE CO INC ,1601 LESTER RD STE 200
15812051 ,PIEDMONT CARTRIDGE ,
15808244 ,"PROVANCE, SCOTT MARTIN ",222 DEERFIELD DR
15809465 ,QUIET RIOT FIREARMS LLC ,40 HARKINS ST
15811608 ,R&R ARMORY LLC ,
15811632 ,REYNOLDS HOLDINGS INC ,304 E MAPLE ST
15810408 ,SLITHER MISSION LLC ,1875 CUNNINGHAM RD SW
15810669 ,SMITH TACTICAL & DEFENSE LLC ,10535 HWY 53 W
15804956 ,SOUTHERN BALLISTIC ,
15811877 ,"STRAYHORN, ",
15811120 ,TACTICAL RESOLVE LLC ,5756 GA HWY 169
15808331 ,THE OUTPOST ARMORY LLC ,2002 EMA DELL PL
15804870 ,TITLE 2 INVESTMENTS LLC ,961 ROSS PLACE SUITE A
15811140 ,TRINITY PRECISION ,
15811810 ,TYR DEFENSE INDUSTRIES LLC ,"645 HENDERSON DRIVE, SUITE 1 "
15807655 ,U K PRECISION INC ,2029 MARSHALL HUFF RD SUITE
15812793 ,VALOR RIDGE ,
15810294 ,"WAGNER, MEGAN ",
15804927 ,"WALKER TOOL & MFG, INC ",1300 ROSS RD
15811478 ,"WILSON, CLYDE AUGUSTUS JR III ",855 MISTY HARBOR BLVD
99900289 ,KILIMANJARO HAWAII LLC ,7 WATERFRONT PLAZA 500 ALA
54202999 ,"2ND AMENDMENT CO., LLC ",1950 DODGE RD STE 108
54203899 ,ARMSTRONG ,
54204213 ,ARROWHEAD SPORTING GOODS LLC ,2459 WESTWIND LANE


