Table
,,,STREET ,CITY ,ST ,RIFLE MFG
MITCHELL ROBBIE ,,,74 WEST 100 NORTH ,CENTERFIELD ,UT ,1
,,,2698 SOUTH REDWOOD RD STE K ,WEST VALLEY CITY ,UT ,1
PRECISION LLC ,,,3021 E 5000 S ,VERNAL ,UT ,23
ARMAMENT LLC ,,,2156 W PRINTERS ROW ,WEST VALLEY CITY ,UT ,10
COMPANY ,,,0NE BROWNING PLACE ,MORGAN ,UT ,668
BURNOUTS LLC ,,,5621 WEST WELLS PARK RD ,WEST JORDAN ,UT ,1
VERL ,,,4175 SOUTH 4300 WEST ,WEST HAVEN ,UT ,2
LLC ,,,9470 SOUTH 560 WEST ,SANDY ,UT ,5
ARMS LLC ,,,1010 W KERSHAW ,0GDEN ,UT ,23
& COMPANY ,,,98 WEST 300 SOUTH - UNIT #25 ,MILLVILLE ,UT ,2
GROUP LLC ,,,9468 SOUTH 560 WEST ,SANDY ,UT ,3
INC ,,,333 N STATE STREET ,0REM ,UT ,2
,,,1995 WEST ALEXANDER STREET ,WEST VALLEY CITY ,UT ,630
,,,1135 W SUNSET BLVD ,ST GEORGE ,UT ,8
MACHINE LLC ,,,2500 S DECKER LAKE BLVD STE 6 ,WEST VALLEY ,UT ,6
LLC ,,,125 SOUTH MAIN ST ,BRIGHAM CITY ,UT ,1
LLC ,,,321 S MAIN ,GUNNISON ,UT ,1486
FIREARMS LLC ,,,627 COPPER COURT ,SANTAQUIN ,UT ,9
FINANCE LLC ,,,971 S STATE ST ,0REM ,UT ,2
,,,491 E 2650 N ,NORTH LOGAN ,UT ,13
D ,,,304 WEST 400 SOUTH ,MANTI ,UT ,1
LLC ,,,4256 S 950 E BUILDING B ,SAINT GEORGE ,UT ,10
BROTHERS ARMS LLC ,,,6206 NORTH 4600 WEST SUITE A ,BEAR RIVER CITY ,UT ,4
ARMS LLC ,,,150 S 100 W ,WILLARD ,UT ,13
COLE ,,,5408 W 10180 N ,HIGHLAND ,UT ,2
AMMO INC ,,,316 STATE ST ,PLEASANT GROVE ,UT ,15
,,,976 NORTH INDUSTRIAL PARK DR ,0REM ,UT ,8
ARMORY LLC ,,,545 W 9460 S ,SANDY ,UT ,2
C ,,,3805 SOUTH 4220 WEST ,GRANGER ,UT ,
,,,2466 W STONEHAVEN LOOP ,LEHI ,UT ,30
LLC ,,,2323 E ROLLING OAKS LN ,LAYTON ,UT ,4
ARMS LLC ,,,2485 SOUTH 1350 WEST ,LOGAN ,UT ,36


