Table
,LICENSE NAME ,STREEI ,CITY ,ST ,MISC FA MFG
,GHOST HAMMER ARMS LLC ,2983 EAST BAARS CT ,GILBERT ,AZ ,10
,HOLLAND INVESTMENTS LLC ,5834 E SANDRA TE ,SCOTTSDALE ,AZ ,17
,IRUNGUNS LLC ,2600 N KIOWA BLVD #102 ,LAKE HAVASU CITY ,AZ ,10
,KE ARMS LLC ,4343 E MAGNOLIA ST ,PHOENIX ,AZ ,2282
,LAYKE TACTICAL LLC ,3330 W OSBORN RD ,PHOENIX ,AZ ,138
,MAXIM FIREARMS CORPORATION ,2021 HOLLY AVE ,LAKE HAVASU CITY ,AZ ,4
,"MCALISTER, KENNETH ",291 E OCOTILLO RD UNIT 27 ,CHANDLER ,AZ ,73
,MLS ARMS LLC ,15610 N 35TH AVE STE 6 ,PHOENIX ,AZ ,64
,0LIVER WEAPON WORKS LLC ,2452 E IRONSIDE DR ,GILBERT ,AZ ,6
,PATRIOT ORDNANCE FACTORY INC ,1492 W VICTORY LANE ,PHOENIX ,AZ ,522
,PATRIOT PRECISION LLC ,1887 BULL HOLLOW RD ,SHOW LOW ,AZ ,5
,PRECISION WORKS LLC ,3533 E CONTESSA CIRCLE ,MESA ,AZ ,10
,QUARTER CIRCLE 10 LLC ,1101 W GRANT RD SUITE 202 ,TUCSON ,AZ ,1474
,QUENTIN LASER LLC ,1025 N MCQUEEN RD STE 153/154 ,GILBERT ,AZ ,457
,RIM COUNTRY MANUFACTURING INC ,1408 W BRAVO TAXIWAY ,PAYSON ,AZ ,9
,S & S ARMS LLC ,1930 E THIRD ST STE 2 ,TEMPE ,AZ ,1
,SAN TAN TACTICAL LLC ,2223 WEST PECOS RD STE 6 ,CHANDLER ,AZ ,560
,SISKU GUN WORKS LLC ,3836 E 40TH ST ,TUCSON ,AZ ,23
,SOURCE MANUFACTURING LLC ,2920 EAST MOHAWK LN STE 112 ,PHOENIX ,AZ ,21
,STRATEGIC ARMORY CORPS LLC ,525 E PINNACLE PEAK RD STE 100 ,PHOENIX ,AZ ,182
,SUAREZ INTERNATIONAL USA INC ,1616 WEST IRON SPRINGS RD #3 ,PRESCOTT ,AZ ,53
,TANGODOWN INC ,4720 N LACHOLLA BLVD SUITE 180 ,TUCSON ,AZ ,3
,TRITON ARMS LLC ,2947 KISH AVE STE A ,YUMA ,AZ ,23
,ULTRA PRECISION FIREARMS & AMMUNITION LLC ,4004 N ROMERO RD ,TUCSON ,AZ ,29
,YOUNG MANUFACTURING INC ,5528 N 51ST AVE ,GLENDALE ,AZ ,51
,BLACK BULLET INC ,14410 W KEARNEY BLVD ,KERMAN ,CA ,2
,"BLUM, ISAAC JOHN ",210 BUCKLEIN WAY ,FELTON ,CA ,4
,"CHRISTENSEN, CRAIG ALLEN ",710 3RD STREET ,MARYSVILLE ,CA ,37
,CINEMA WEAPONRY L L C ,431 MAGNOLIA AVENUE ,GLENDALE ,CA ,2
,COBRA TACTICAL INC ,28910 AVENUE PENN UNIT 210 ,VALENCIA ,CA ,120
,CREC INVESTMENTS INC ,6734 DOOLITTLE AVENUE UNIT H ,RIVERSIDE ,CA ,5
,FIREARM SALES UNLIMITED LLC ,15224 AQUEDUCT LANE ,CHINO HILLS ,CA ,
,"FLYNN, ROGER GERALD ",10844 E AVE SUITE B1 ,HESPERIA ,CA ,12
,GOLD COUNTRY SPORTS INC ,1160 LOZANOS RD ,NEWCASTLE ,CA ,95
,JL BILLET LLC ,4740 RUFFNER ST ,SAN DIEGO ,CA ,81


