Table
RDS KEY ,LICENSE NAME ,,SIREET ,CITY ,ST ,MISC FA MFG
15948882 ,BUIS INC ,,1201 HAMLET AVE ,CLEARWATER ,FL ,3
15930984 ,GFT ARMS LLC ,,6690 COLUMBIA PARK DR STE 2 ,JACKSONVILLE ,FL ,6
15931364 ,GHOST FIREARMS LLC ,,828 S NOVA ROAD ,DAYTONA BEACH ,FL ,2132
15914892 ,GREY TACTICAL OUTFITTERS LLC ,,503-A HARBOR BLVD ,DESTIN ,FL ,18
15914742 ,GUN FIRE INC ,,5548 S RIDGEWOOD AVE ,PORT ORANGE ,FL ,5
15904057 ,"HOFFMAN, RICHARD C ",,145 SHERIDAN AVE ,LONGWOOD ,FL ,2
15923284 ,JERICHO SERVICES LLC ,,6354 49TH STREET NORTH ,PINELLAS PARK ,FL ,150
15940998 ,KNIGHTS MANUFACTURING CO ,,701 COLUMBIA BLVD ,TITUSVILLE ,FL ,1030
15950544 ,"KOVACS, DEREK ",,29 BASS LAKE DR ,DEBARY ,FL ,3
15918600 ,"LEMOINE, ERIC ",,1355 BENNETT DR SUITE 129 ,LONGWOOD ,FL ,248
15911510 ,"LEMON, LARRY ",,373 SW KESTOR DR ,PORT SAINT LUCIE ,FL ,3
15932379 ,LIGAMEC CORPORATION ,,11419 CHALLENGER AVE ,0DESSA ,FL ,1
15949790 ,MCCUTCHEN FIREARMS LLC ,,5418 W CRENSHAW ST ,TAMPA ,FL ,16
15932010 ,MORIARTI ARMAMENTS LLC ,,6020 NW 99TH AVE SUITE 305 ,MIAMI ,FL ,64
15950121 ,MUTINY ARMS LLC ,,2701 SUCCESS DR ,0DESSA ,FL ,115
15949330 ,0N THE MARK GROUP INC ,,6694 COLUMBIA PARK DRIVE SOUTH ,JACKSONVILLE ,FL ,52
15932810 ,PATRIOT TACTICAL USA LLC ,,3905 ABBY LN ,JACKSONVILLE ,FL ,33
15911388 ,PCP TACTICAL LLC ,,3895 39TH SQUARE ,VERO BEACH ,FL ,2
15932806 ,RAFAL DEFENSE INC ,,6427 MILNER BLVD #5 ,0RLANDO ,FL ,143
15903855 ,SAFETY HARBOR FIREARMS INC ,,985 HARBOR LAKE DR UNIT 14 ,SAFETY HARBOR ,FL ,119
15946787 ,SERBU FIREARMS INC ,,6019 W CHELSEA STREET ,TAMPA ,FL ,10
15931718 ,SHADOW SOLUTIONS LLC ,,1711 DALE MABRY HWY ,LUTZ ,FL ,34
15913173 ,SPECIAL OPS TACTICAL LLC ,,515 COOPER COMMERCE DR STE 180 ,APOPKA ,FL ,201
15940466 ,"SPOONER, BRENT COOPER ",,65 CASCADE CT ,HAVANA ,FL ,1
15948923 ,SUNCOAST WEAPONS AND TACTICAL LLC ,,787 COMMERCE DR UNIT 11 ,VENICE ,FL ,19
15911971 ,TACTICAL SUPERIORITY INC ,,305 NORTH DRIVE SUITE D-H ,MELBOURNE ,FL ,758
15931318 ,"THOMPSON, DWAIN U ",,3200 CAVERNS ROAD ,MARIANNA ,FL ,72
15930349 ,THORSEN MACHINING INC ,,6533 SOUTHERN BLVD BAY 1 ,WEST PALM BEACH ,FL ,1
15936207 ,TRADECRAFT BLACK LLC ,,663 96TH AVE N ,NAPLES ,FL ,3
15912135 ,WADCO INDUSTRIES LLC ,,700 S JOHN RODES BLVD UNIT A-6 ,MELBOURNE ,FL ,16
15808613 ,CAMP CREEK GUNWORKS LLC ,,3467 COLLEGE ST ,COLLEGE PARK ,GA ,2
15808273 ,COUNTRY BOY ENTERPRISES INC ,,783 CAUDELL RD ,HOMER ,GA ,348
15806454 ,DEFENSE RESEARCH & DEVELOPMENT LLC ,,268 CADILLAC PKWY STE 104 ,DALLAS ,GA ,201
15805425 ,GT VIRTUAL CONCEPTS LLC ,,535 PINE RD STE 205 ,NEWNAN ,GA ,11
15811218 ,JE FIREARMS LLC ,,92 WALNUT LN ,CHATSWORTH ,GA ,3


