Table
,STREET ,City ,ST ,RIFLE EXP
SHOP INC ,2452 CR 719 ,BERRYVILLE ,AR ,20
DEFENSE GROUP INC ,1206 KNESEK LANE ,VAN BUREN ,AR ,13
ORDNANCE FACTORY INC ,1492 W VICTORY LANE ,PHOENIX ,AZ ,331
ARMORY CORPS LLC ,525 E PINNACLE PEAK RD STE 100 ,PHOENIX ,AZ ,13
JOSEPH DEWITT ,9332 SLAYTON RANCH RD ,FLAGSTAFF ,AZ ,1
KENNETH ,291 E OCOTILLO RD UNIT 27 ,CHANDLER ,AZ ,15
"AIRBORNE MFG, INC ",3735 N ROMERO RD ,TUCSON ,AZ ,3
JOSEPH ,8475 S EMERALD DR STE 108 ,TEMPE ,AZ ,12
INC ,1605 COMMERCE WAY ,PASO ROBLES ,CA ,568
LLC ,1540 COMMERCE ST UNIT H ,CORONA ,CA ,2
PHILIP JOHN ,5553 W BARSTOW AVE ,FRESNO ,CA ,2
UNLIMITED LLC ,15224 AQUEDUCT LANE ,CHINO HILLS ,CA ,
AEROS CORP ,1734 AEROS WAY ,MONTEBELLO ,CA ,10
"& COMPANY, INC ",1 LACEY PL ,SOUTHPORT ,CT ,1
MANUFACTURING COMPANY LLC ,545 NEW PARK AVE ,WEST HARTFORD ,CT ,2097
LLC ,515 JOHN DOWNEY DR ,NEW BRITAIN ,CT ,324
INC ,1 PUCCI PARK ,NEW BRITAIN ,CT ,11
FIREARMS INC ,985 HARBOR LAKE DR UNIT 14 ,SAFETY HARBOR ,FL ,2
SYSTEMS INC ,295 NORTH DRIVE SUITE H ,MELBOURNE ,FL ,10
REED JR ,701 COLUMBIA BLVD ,TITUSVILLE ,FL ,4
MANUFACTURING CO ,701 COLUMBIA BLVD ,TITUSVILLE ,FL ,14
INC ,6019 W CHELSEA STREET ,TAMPA ,FL ,21
SUPERIORITY INC ,305 NORTH DRIVE SUITE D-H ,MELBOURNE ,FL ,2
INDUSTRIES INC ,1475 COX ROAD ,COCOA ,FL ,2659
INC ,2643 SW 64TH AVE ,MIAMI ,FL ,3
RESEARCH & DEVELOPMENT LLC ,268 CADILLAC PKWY STE 104 ,DALLAS ,GA ,47
TRAINING SYSTEMS INC ,296 BROGDON RD ,SUWANEE ,GA ,56
INC ,1334 ORACAL PARKWAY ,BLACK CREEK ,GA ,241
,24276 240TH ST ,CARROLL ,IA ,118
CUSTOM INC ,1804 IOWA DR ,LE CLAIRE ,IA ,1
,6040 N GOVERNMENT #101 ,DALTON GARDENS ,ID ,101
WEAPONS SYSTEMS INC ,255 N. STEELHEAD WAY ,BOISE ,ID ,37
ARMORY CORPS LLC ,745 HANFORD ST ,GENESEO ,IL ,344
INC ,420 W MAIN ST ,GENESEO ,IL ,243
& TOOL CO ,1305 W 11TH ST ,MILAN ,IL ,102
ARMS INC ,101 S PERRY ST ,CARLOCK ,IL ,1


