Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,RVLR 22 ,RVLR 32 ,RVLR 357 ,RVLR 38 ,RVLR 44 ,RVLR 50 ,RVLR TOTL
99202873 ,HAWK SHOP LLC ,2117 S CUSHMAN ST ,FAIRBANKS ,AK ,0 ,0 ,3 ,1 ,4 ,0 ,8
99200798 ,"WILD WEST GUNS, LLC ",7100 HOMER DRIVE ,ANCHORAGE ,AK ,0 ,0 ,0 ,0 ,0 ,3 ,3
57105201 ,DSKTB GROUP LLC ,103 SW WINSTED LN STE 29 ,BENTONVILLE ,AR ,0 ,0 ,4 ,3 ,0 ,2 ,9
57105269 ,PATRIOT ARMS ONE GUNS & AMMO LLC ,3416 N THOMPSON ,SPRINGDALE ,AR ,2 ,0 ,3 ,0 ,3 ,1 ,9
98611238 ,ARROWHEAD SPORTING GOODS LLC ,39417 N 2ND PL ,PHOENIX ,AZ ,0 ,0 ,0 ,0 ,0 ,19 ,19
98605315 ,AZ MARKSMANSHIP ENTERPRISES LLC ,4657 S RANGER CT ,GILBERT ,AZ ,0 ,0 ,0 ,0 ,0 ,1 ,1
98606420 ,LANCASTER ARMORY LLC ,2001 W LONE CACTUS STE C ,PHOENIX ,AZ ,0 ,0 ,2 ,0 ,0 ,0 ,2
98610545 ,PRECISION WORKS LLC ,3533 E CONTESSA CIRCLE ,MESA ,AZ ,1 ,0 ,0 ,0 ,0 ,0 ,1
98609491 ,RAZR DEFENSE LLC ,20216 E SUNSET CT ,QUEEN CREEK ,AZ ,2 ,0 ,0 ,0 ,1 ,0 ,3
98603442 ,RDTS MANUFACTURING INC ,BIG SYCAMORE BLDG A 1ST FL ,CAVE CREEK ,AZ ,0 ,0 ,0 ,0 ,1 ,0 ,1
98638426 ,"REEDER, GARY NELSON ",2599 7TH AVE ,FLAGSTAFF ,AZ ,0 ,0 ,2 ,0 ,8 ,5 ,15
98609503 ,SOUTHWEST TACTICAL ARMS LLC ,13006 N POPPY ST ,EL MIRAGE ,AZ ,0 ,0 ,0 ,0 ,3 ,0 ,3
98614472 ,"STURM, RUGER & COMPANY, INC ",200 RUGER RD ,PRESCOTT ,AZ ,0 ,0 ,0 ,1 ,0 ,0 ,1
98610120 ,"THOMPSON, WILLIAM JOHN ",896 CANYON BREEZE CT ,PRESCOTT ,AZ ,0 ,0 ,0 ,1 ,0 ,0 ,1
58404006 ,C&M SHOOTING SUPPLIES LLC ,6985 ROARING SPRINGS LN ,FOUNTAIN ,CO ,0 ,0 ,1 ,0 ,2 ,0 ,3
58405648 ,PROCESS LIMITED ,8760 ROSEBUD PL ,PARKER ,CO ,0 ,0 ,0 ,0 ,0 ,1 ,1
58404501 ,"RICHARD, GLENN PATRICK II ",2035 BUCOLO AVE ,COLORADO SPRINGS ,CO ,0 ,0 ,0 ,0 ,0 ,1 ,1
60635936 ,CHARCO 2000 INC ,18 BREWSTER LANE ,SHELTON ,CT ,4183 ,395 ,2565 ,11224 ,2655 ,739 ,21761
60603306 ,COLT'S MANUFACTURING COMPANY LLC ,545 NEW PARK AVE ,WEST HARTFORD ,CT ,0 ,0 ,48 ,16009 ,18 ,622 ,16697
60603772 ,FRANK ROTH CO INC ,1795 STRATFORD AVE ,STRATFORD ,CT ,812 ,0 ,0 ,678 ,0 ,0 ,1490
60602196 ,STANDARD MANUFACTURING CO LLC ,100 BURRITT STREET ,NEW BRITAIN ,CT ,0 ,0 ,0 ,0 ,0 ,222 ,222
60600763 ,"STURM, RUGER & COMPANY, INC ",1 LACEY PL ,SOUTHPORT ,CT ,6 ,2 ,21 ,3 ,5 ,1 ,38
15932857 ,BALLISTIC ADVANTAGE LLC ,2516 JMT INDUSTRIAL DR UNITS 106-110 ,APOPKA ,FL ,0 ,0 ,1 ,0 ,0 ,0 ,1
15950667 ,DS & G VENTURES LLC ,12681 METRO PKWY ,FORT MYERS ,FL ,0 ,0 ,0 ,0 ,1 ,0 ,1
15950494 ,GUARDIAN ARMAMENT LLC ,102 PABLO POINT DRIVE ,JACKSONVILLE ,FL ,0 ,0 ,0 ,0 ,0 ,1 ,1
15917604 ,HERITAGE MANUFACTURING INC ,16175 NW 49TH AVE ,MIAMI ,FL ,186509 ,0 ,376 ,0 ,0 ,219 ,187104
15922110 ,SOUTHERN STAR SUPPLIERS LLC ,2885 ELECTRONICS DR UNIT D-6 ,MELBOURNE ,FL ,0 ,0 ,0 ,0 ,1 ,0 ,1
15915928 ,VENICE AUTO MARINE INC ,331 CAMION ST ,VENICE ,FL ,0 ,1 ,1 ,0 ,1 ,0 ,3


