Table
,,,,STREET ,CITY ,ST ,RIFLE MFG 
,,,,812 W CAMINO DESIERTO ,TUCSON ,AZ ,6 
,,,,10962 NORTH LOCUST ST ,FLORENCE ,AZ ,5 
MFG LLC ,,,,2 SOUTH MILTON RD ,FLAGSTAFF ,AZ ,11 
,,,,1701 W 10TH ST 14 ,TEMPE ,AZ ,2 
,,,,3622 W GLEESON RD ,ELFRIDA ,AZ ,3 
,,,,663 W 2ND AVE # 16 ,MESA ,AZ ,1 
,,,,740 WEST KNOX RD ,TEMPE ,AZ ,645 
LLC ,,,,1929 VENTNOR CIR ,PRESCOTT ,AZ ,6 
CHARLES ,,,,682 NORRAINE LANE ,HUACHUCA CITY ,AZ ,1 
,,,,3250 W BRYANT AVE ,SNOWFLAKE ,AZ ,3 
CORPS LLC ,,,,525 E PINNACLE PEAK RD STE 100 ,PHOENIX ,AZ ,6668 
INC ,,,,200 RUGER RD ,PRESCOTT ,AZ ,32 
,,,,9851 E VOLTAIRE DR ,SCOTTSDALE ,AZ ,10 
,,,,2947 KISH AVE STE A ,YUMA ,AZ ,19 
,,,,14607 N SHERWOOD DR ,FOUNTAIN HILLS ,AZ ,1 
,,,,2915 N CHEROKEE DR ,CHINO VALLEY ,AZ ,1 
WORKS LLC ,,,,10009 W JOMAX RD ,PEORIA ,AZ ,3 
,,,,4845 N SPRUCE ,CHINO VALLEY ,AZ ,9 
,,,,2500 S WOODLANDS VILLAGE DR STE 25 ,FLAGSTAFF ,AZ ,1 
LLC ,,,,4254 EAST REINS RD ,GILBERT ,AZ ,1 
,,,,250 S MULBERRY #102 ,MESA ,AZ ,4 
INC ,,,,5528 N 51ST AVE ,GLENDALE ,AZ ,7 
LLC ,,,,3001 N STOCKTON HILL RD #1 ,KINGMAN ,AZ ,7 
,,,,416 HUMMINGBIRD LANE ,LIVERMORE ,CA ,3 
,,,,1338 W 6TH STREET ,CORONA ,CA ,3 
CORP ,,,,704 NORTH VALLEY ST STE V ,ANAHEIM ,CA ,9 
,,,,5047 ROBERT J MATHEWS PKWY STE 700 ,EL DORADO HILLS ,CA ,4 
CO ,,,,1399 W COLTON AVE STE 6 ,REDLANDS ,CA ,11 
MANUFACTURING ,LLC ,,,3221 ELKHORN AVE #27 ,NORTH HIGHLANDS ,CA ,15 
,,,,6734 DOOLITTLE AVENUE UNIT H ,RIVERSIDE ,CA ,16 
,,,,15335 DITTMAR DR ,WHITTIER ,CA ,10 
,,,,3037 GOLF COURSE DR #6 ,VENTURA ,CA ,3 
,,,,1601 FREMONT CT ,ONTARIO ,CA ,42 


