Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,SHOTGUN MFG
85234687 ,AIM INC ,19200 MIDDLETOWN RD ,PARKTON ,MD ,43
85213126 ,"COOKE, RICHARD STARK ",3228 ATLEE RIDGE RD ,NEW WINDSOR ,MD ,2
85207007 ,NRM POWER PRODUCTS LLC ,14212 BRANDYWINE RD ,BRANDYWINE ,MD ,7
43810292 ,ACHING BACK RANCH TACTICAL LLC ,10437 FOLLETT HWY ,BELLEVUE ,MI ,1
43806137 ,Al & P TACTICAL LLC ,72 E CHAUVEZ RD ,SCOTTVILLE ,MI ,7
34102462 ,PINE TECHNICAL COLLEGE ,900 4TH ST SE ,PINE CITY ,MN ,1
54338023 ,ALFERMANN USA INC ,1482 POTTERY RD ,WASHINGTON ,MO ,3
16404225 ,BLACK RIVER PRECISION LLC ,208 MEADOWS LN ,BENTONIA ,MS ,12
16405033 ,C & B CUSTOM PRECISION LLC ,32630 HWY 25 N ,STURGIS ,MS ,1
16404167 ,"OWENS, ELIZABETH SUCCESSOR TO OWENS, TERRY A ",423 FORREST CT ,COLUMBUS ,MS ,17
16404549 ,REMINGTON ARMS COMPANY LLC ,366 STATELINE RD ,SOUTHAVEN ,MS ,154522
98101871 ,"YATES, WAYNE EDWARD ",538 FESCUE SLOPE ROAD ,FLORENCE ,MT ,1
15611271 ,"BULLINS, ODELL WILLIAM & DENNIS, RAY ",RT 3 HWY 89 & 311 ,WALNUT COVER ,NC ,
15612365 ,INNOVATIVE ENDEAVORS INC ,111 DEALWOOD DR ,STATESVILLE ,NC ,1
15603314 ,0UTDOOR COLORS LLC ,286 INDUSTRIAL PARK ,RUTHERFORDTON ,NC ,17853
34501190 ,BUTCHKASSIDY'S AR15S & AMMO LLC ,14064 SOUTHVIEW STREET ,WILLISTON ,ND ,2
60204276 ,2A TACTICAL LLC ,99 TOLEND RD ,BARRINGTON ,NH ,2
60200735 ,"STURM, RUGER & COMPANY, INC ",529 SUNAPEE ST ,NEWPORT ,NH ,7
82200698 ,HENRY RAC HOLDING CORP ,59 E 1ST ST ,BAYONNE ,NJ ,3914
58502074 ,"FIREBIRD PRECISION FIREARMS, LLC ",16 HIDDEN VALLEY ROAD ,JEMEZ SPRINGS ,NM ,11
58501585 ,"ROY, ROBERT ",5940-A MIDWAY PARK BLVD ,ALBUQUERQUE ,NM ,2
98802773 ,FIME GROUP LLC ,4395 WEST POST RD UNIT 200 ,LAS VEGAS ,NV ,401
98804130 ,WESTSIDE ARMORY LTD ,"950 W WARM SPRINGS RD, UNIT 105 ",HENDERSON ,NV ,18
61604271 ,BIG ORDNANCE FIREARMS LLC ,4592 CALEDONIA RD ,LEICESTER ,NY ,1
61604090 ,FORGE METAL FINISHING INC ,383 BUELL RD ,ROCHESTER ,NY ,3958
61602475 ,REMINGTON ARMS COMPANY LLC ,14 HOEFLER AVE ,ILION ,NY ,725
43405649 ,CLASS 3 TOYS LLC ,6880 CORINTH COURT RD ,FARMDALE ,0H ,1
43104533 ,"GOOD, WILLIAM J ",153 DENNIS DR ,LOGAN ,0H ,341
43104803 ,INLAND MANUFACTURING LLC ,6785 W THIRD ST ,DAYTON ,0H ,89
43402589 ,ITHACA DISTRIBUTION INC ,420 N WARPOLE ST ,UPPER SANDUSKY ,0H ,584
43405654 ,"JOHNSON, TONY DALE ",2648 BLACK OAK DR ,NILES ,0H ,4
43405676 ,KCIN ARMS LLC ,2151 ATKINS AVENUE ,LAKEWOOD ,0H ,1
43402507 ,"MILLIGAN, DENNIS ",2640 HOLTZ RD ,SHELBY ,0H ,2
43405358 ,SHULTZ MACHINE INC ,2438 SR 83 ,MILLERSBURG ,0H ,2
43405673 ,TRIPLE F FIREARMS CORPORATION ,1200 CLEVELAND ST SW ,MASSILLON ,0H ,3


