Table
KEY ,LICENSE NAME ,STREEI ,CITY ,ST ,MISC FA MFG
98606455 ,LAYKE TACTICAL LLC ,3330 W OSBORN RD ,PHOENIX ,AZ ,48
98612192 ,LONGHAIR CUSTOMS LLC ,21625 N 14TH AVE #2 ,PHOENIX ,AZ ,1
98604793 ,MARSH INDUSTRIES LLC ,7040 E LONE MOUNTAIN RD N ,CAVE CREEK ,AZ ,22
98606209 ,"MCALISTER, KENNETH ",291 E OCOTILLO RD UNIT 27 ,CHANDLER ,AZ ,50
98604419 ,MLS ARMS LLC ,15610 N 35TH AVE STE 6 ,PHOENIX ,AZ ,60
98610925 ,NOMAD DEFENSE COMPANY INC ,1080 AVIATION DR UNIT B-108 ,LAKE HAVASU CITY ,AZ ,486
98610613 ,PATRIOT GUNSMITHING LLC ,3440 W CHARTER OAK RD ,PHOENIX ,AZ ,1
98600788 ,PATRIOT ORDNANCE FACTORY INC ,1492 W VICTORY LANE ,PHOENIX ,AZ ,411
98609307 ,PATRIOT PRECISION LLC ,1887 BULL HOLLOW RD ,SHOW LOW ,AZ ,3
98609304 ,"POOLE, WILLIAM JAMES ",910 WEST WICKENBURG WAY ,WICKENBURG ,AZ ,3
98605671 ,PRAETORIAN FIREARMS AND COATINGS LLC ,15781 W BONITOS DR ,GOODYEAR ,AZ ,1
98607294 ,PREDATOR TECHNOLOGY GROUP LLC ,7942 WEST DEVONSHIRE AVENUE ,PHOENIX ,AZ ,1
98604742 ,QUARTER CIRCLE 10 LLC ,1101 W GRANT RD SUITE 202 ,TUCSON ,AZ ,1564
98603707 ,QUENTIN LASER LLC ,1025 N MCQUEEN RD STE 153/154 ,GILBERT ,AZ ,737
98602441 ,SISKU GUN WORKS LLC ,3836 E 40TH ST ,TUCSON ,AZ ,3
98601115 ,SOURCE MANUFACTURING LLC ,2920 EAST MOHAWK LN STE 112 ,PHOENIX ,AZ ,12
98609953 ,"STANSBURY, DOUGLAS CHARLES ",682 NORRAINE LANE ,HUACHUCA CITY ,AZ ,10
98607665 ,STRATEGIC ARMORY CORPS LLC ,525 E PINNACLE PEAK RD STE 100 ,PHOENIX ,AZ ,281
98614472 ,"STURM, RUGER & COMPANY, INC ",200 RUGER RD ,PRESCOTT ,AZ ,6
98608267 ,SUAREZ INTERNATIONAL USA INC ,1616 WEST IRON SPRINGS RD #3 ,PRESCOTT ,AZ ,20
98603274 ,TANGODOWN INC ,4720 N LACHOLLA BLVD SUITE 180 ,TUCSON ,AZ ,1
98605430 ,TCB MANUFACTURING LLC ,19 S 40TH PL ,PHOENIX ,AZ ,1
98606279 ,TRITON ARMS LLC ,2947 KISH AVE STE A ,YUMA ,AZ ,23
98608638 ,TSUNAMI ARMS LLC ,14607 N SHERWOOD DR ,FOUNTAIN HILLS ,AZ ,1
98607005 ,ULTRA PRECISION FIREARMS & AMMUNITION LLC ,4004 N ROMERO RD ,TUCSON ,AZ ,53
98605356 ,"VIGILANCE RIFLES, INC ",4845 N SPRUCE ,CHINO VALLEY ,AZ ,36
99401135 ,"ACCARDO, ROBERT N JR ",416 HUMMINGBIRD LANE ,LIVERMORE ,CA ,1
96804544 ,BISHOP AMMUNITION MANUFACTURING LLC ,3221 ELKHORN AVE #27 ,NORTH HIGHLANDS ,CA ,11
97737304 ,BLACK BULLET INC ,14410 W KEARNEY BLVD ,KERMAN ,CA ,2
96801682 ,"CHRISTENSEN, CRAIG ALLEN ",710 3RD STREET ,MARYSVILLE ,CA ,121
99501030 ,COBRA TACTICAL INC ,28910 AVENUE PENN UNIT 210 ,VALENCIA ,CA ,36
97704259 ,DIRTY BIRD INDUSTRIES LLC ,2420 MOHAWK ST STE 200 ,BAKERSFIELD ,CA ,35
99502252 ,ELEMENT SURFACE TECHNOLOGY ,1983 W HOLT AVE ,POMONA ,CA ,28
97704145 ,FIREQUICK PRODUCTS INC ,1137 REDROCK INYOKERN RD ,INYOKERN ,CA ,3
93306288 ,JL BILLET LLC ,12260 CROSTHWAITE CIR ,POWAY ,CA ,26


