Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,REVOLVERS 
60603306 ,COLT'S MANUFACTURING COMPANY LLC ,545 NEW PARK AVE ,WEST HARTFORD ,CT ,223 
60635936 ,CHARCO 2000 INC ,18 BREWSTER LANE ,SHELTON ,CT ,32 
15912717 ,JACKSON BEARING E SUP INC ,PO BOX 311 201 6TH ST SW ,WINTER HAVEN ,FL ,
15840168 ,MEGGITT TRAINING SYSTEMS INC ,296 BROGDON RD ,SUWANEE ,GA ,4 
54210302 ,"JOHNSON, ROBERT DEAN ",RR #1 ,TINGLEY ,IA ,
43505665 ,BURBET IMPORTS ,PO BOX 1683 ,HIGHLAND ,IN ,
60401684 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,17009 
54310039 ,"BIXLER, CHRISTOPHER A ",213 MORGAN ST ,AUXVASSE ,MO ,3 
15611271 ,"BULLINS, ODELL WILLIAM & DENNIS, RAY ",RT 3 HWY 89 & 311 ,WALNUT COVER ,NC ,
60200735 ,"STURM, RUGER & COMPANY, INC ",529 SUNAPEE ST ,NEWPORT ,NH ,3736 
61300458 ,KIMBER MFG INC ,1120 SAW MILL RIVER RD ,YONKERS ,NY ,254 
57409332 ,SW TEXAS SECURITY LLC ,2011 E MAIN ,UVALDE ,TX ,5 
98703573 ,SILENCERCO LLC ,5511 S 6055 W ,WEST VALLEY CITY ,UT ,
98734026 ,NORTH AMERICAN ARMS INC ,2150 S 950 E ,PROVO ,UT ,232 
15416343 ,"GOODWIN, GEORGE TYLER ",MAIN & FERRY STS PO BOX 356 ,SCOTTSVILLE ,VA ,


