Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,SHOTGUN EXP
57134716 ,WILSONS GUN SHOP INC ,2452 CR 719 ,BERRYVILLE ,AR ,14
93303891 ,JV INDUSTRIES LLC ,15810 CAJON BLVD ,SAN BERNARDINO ,CA ,3
97737552 ,WEATHERBY INC ,1605 COMMERCE WAY ,PASO ROBLES ,CA ,801
15912717 ,JACKSON BEARING E SUP INC ,PO BOX 311 201 6TH ST SW ,WINTER HAVEN ,FL ,
15940806 ,KEL TEC CNC INDUSTRIES INC ,1475 COX ROAD ,COCOA ,FL ,1378
15911971 ,TACTICAL SUPERIORITY INC ,305 NORTH DRIVE SUITE D-H ,MELBOURNE ,FL ,1
54210302 ,"JOHNSON, ROBERT DEAN ",RR #1 ,TINGLEY ,IA ,
43505665 ,BURBET IMPORTS ,PO BOX 1683 ,HIGHLAND ,IN ,
60433152 ,"SAVAGE ARMS, INC ",100 SPRINGDALE RD ,WESTFIELD ,MA ,1059
60401684 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,4
16404549 ,REMINGTON ARMS COMPANY LLC ,366 STATELINE RD ,SOUTHAVEN ,MS ,13502
15611271 ,"BULLINS, ODELL WILLIAM & DENNIS, RAY ",RT 3 HWY 89 & 311 ,WALNUT COVER ,NC ,
82200698 ,HENRY RAC HOLDING CORP ,59 E 1ST ST ,BAYONNE ,NJ ,718
61602475 ,REMINGTON ARMS COMPANY LLC ,14 HOEFLER AVE ,ILION ,NY ,1
43104533 ,"GOOD, WILLIAM J ",153 DENNIS DR ,LOGAN ,0H ,341
57306287 ,LOUTHAN GUNWORKS LLC ,7900 S WESTERN RD ,STILLWATER ,0K ,4
15704502 ,AMERICAN TACTICAL INC ,231 DEMING WAY ,SUMMERVILLE ,SC ,21
16236907 ,BARRETT FIREARMS MEG INC ,5926 MILLER LANE ,MURFREESBORO ,TN ,1
16208339 ,BERETTA USA CORP ,1399 GATEWAY DR ,GALLATIN ,TN ,308
57409332 ,SW TEXAS SECURITY LLC ,2011 E MAIN ,UVALDE ,TX ,8
57434208 ,"MAVERICK ARMS, INC ",1001 INDUSTRIAL BLVD ,EAGLE PASS ,TX ,9610
98703573 ,SILENCERCO LLC ,5511 S 6055 W ,WEST VALLEY CITY ,UT ,
15416343 ,"GOODWIN, GEORGE TYLER ",MAIN & FERRY STS PO BOX 356 ,SCOTTSVILLE ,VA ,


