Table
RDS KEY. ,LICENSE NAME ,STREET ,CITY ,ST ,PISTOL 22 ,PISTOL 25 ,PISTOL 32 ,PISTOL 380 ,PISTOL 9MM ,PISTOL 50 ,PISTOL TOTAL 
16363645 ,EMCO INC ,201 IND PARKWAY ,GADSDEN ,AL ,305 ,5 ,11 ,8567 ,0 ,0 ,8888 
57136772 ,STINES MACHINE INC ,COUNTY RD 719 3 MI W ,BERRYVILLE ,AR ,0 ,0 ,0 ,0 ,0 ,143 ,143 
57134716 ,WILSONS GUN SHOP INC ,JCT HWY 412 & 103 N 2234 CR 719 ,BERRYVILLE ,AR ,11 ,0 ,O ,0 ,2 ,998 ,1011 
98637950 ,"DODD, ROBERT FLOYD ",4340 EAST CANYON DR ,CAMP VERDE ,AZ ,0 ,0 ,10 ,0 ,0 ,0 ,10 
98638387 ,PROFESSIONAL ORDNANCE INC ,1070 METRIC DR ,LAKE HAVASU CITY ,AZ ,0 ,1970 ,0 ,0 ,0 ,0 ,1970 
98633332 ,R & R SPORTING ARMS INC ,15481 N TWIN LAKES DR ,TUCSON ,AZ ,6 ,0 ,12 ,4 ,0 ,0 ,22 
98636542 ,"ROBAR COMPANIES, INC ",21438 N 7TH AVE SUITE B ,PHOENIX ,AZ ,0 ,0 ,O ,0 ,0 ,2 ,2 
98636840 ,"SMITH, JOE B ",3402 W WILSHIRE #27 ,PHOENIX ,AZ ,0 ,0 ,0 ,0 ,4 ,0 ,4 
98638161 ,SOUTHWEST METAL FINISHING LLC ,2002 W CAMPUS DR ,TEMPE ,AZ ,0 ,0 ,0 ,0 ,0 ,31268 ,31268 
98614472 ,STURM RUGER & CO INC ,200 RUGER RD ,PRESCOTT ,AZ ,111206 ,0 ,0 ,0 ,61033 ,41637 ,213876 
93334014 ,BRYCO ARMS ,380 CLINTON ST ,COSTA MESA ,CA ,10910 ,2522 ,34 ,25056 ,29732 ,0 ,68254 
93322226 ,DAVIS INDUSTRIES ,15150 SIERRA BONITA LN ,CHINO ,CA ,8591 ,337 ,4541 ,18120 ,1755 ,0 ,33344 
93340195 ,DOWNSIZER CORP ,8652 MAGNOLIA AVE #6 ,SANTEE ,CA ,O ,0 ,0 ,0 ,20 ,53 ,73 
93335296 ,ELECTRONIC MEDICAL ,1785 POMONA AVE #C ,CORONA ,CA ,0 ,0 ,0 ,0 ,421 ,0 ,421 
93340727 ,RESEARCH LABORATORY INC EXCEL INDUSTRIES INC ,4510 CARTER CT ,CHINO ,CA ,0 ,0 ,42 ,379 ,149 ,0 ,570 
93340235 ,INTERNATIONAL ANTIQUE ,33171 CAMINO ,SAN JUAN CAPISTRANO ,CA ,98 ,0 ,0 ,0 ,0 ,0 ,98 
99434360 ,"REPRODUCTIONS INC KRAUSE, MICHAEL A ",CAPISTRANO #A & B 83 21ST AVE ,SAN MATEO ,CA ,0 ,0 ,0 ,0 ,0 ,7 ,7 
93340867 ,"MUELLER, WALTER W ",14576 FONTLEE LANE ,FONTANA ,CA ,2000 ,5000 ,0 ,10000 ,1680 ,0 ,18680 
93336988 ,"MUELLER, JEFFREY W PHOENIX ARMS ",1420 ARCHIBALD AVE ,ONTARIO ,CA ,19685 ,2510 ,0 ,0 ,0 ,0 ,22195 
93340518 ,REPUBLIC ARMS INC ,15167 SIERRA BONITA LN ,CHINO ,CA ,0 ,0 ,0 ,0 ,0 ,616 ,616 
93340416 ,"STONE, IRVING O JR & STONE, IRVING O III ",73377 SULLIVAN RD ,TWENTYNINE PALMS ,CA ,0 ,0 ,0 ,0 ,0 ,3 ,3 
58437579 ,AWI LLC ,600 OAK AVE ,EATON ,CO ,1 ,0 ,0 ,0 ,0 ,0 ,1 
60633345 ,COLTS MANUFACTURING CO ,545 NEWPARK AVE ,WEST HARTFORD ,CT ,594 ,0 ,0 ,9127 ,162 ,28437 ,38320 
60604862 ,INC L W SEECAMP CO INC ,301 BREWSTER RD ,MILFORD ,CT ,0 ,0 ,1875 ,13 ,0 ,0 ,1888 
60635829 ,WILDEY F A INC ,INDUSTRIAL BLDG 45 ANGEVINE RD ,WARREN ,CT ,0 ,0 ,0 ,0 ,0 ,79 ,79 
15941170 ,HERITAGE MFG INC ,4600 NW 135TH ST ,OPA LOCKA ,FL ,0 ,0 ,0 ,0 ,1093 ,1245 ,2338 
15940806 ,KEL TEC CNC INDUSTRIES INC ,1485 COX RD ,COCOA ,FL ,0 ,0 ,9429 ,6 ,14797 ,6687 ,30919 
15965437 ,NAVEGAR INC ,12405 SW 130TH ST ,MIAMI ,FL ,2102 ,435 ,0 ,35 ,17098 ,238 ,19908 
15923596 ,TAURUS INTERNATIONAL MANUFACTURING INC ,16175 NW 49TH AVE ,MIAMI ,FL ,8151 ,2267 ,0 ,0 ,0 ,0 ,10418 
15839762 ,PRODUCTION CNC INC ,215 BRUMBELOW RD ,CARROLLTON ,GA ,0 ,0 ,2374 ,0 ,0 ,0 ,2374 


