Table
,,PISTOLS EXPORTED IN ,1999 ,,PAGE 1 OF 8 
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,PISTOLS 
98614472 ,- STURM RUGER & CO INC ,200 RUGER RD ,PRESCOTT ,AZ ,3519 
93340727 ,EXCEL INDUSTRIES INC ,4510 CARTER CT ,CHINO ,CA ,56 
93340416 ,"STONE, IRVING O JR & STONE IRVING O III ",73377 SULLIVAN RD ,TWENTYNINE PALMS ,CA ,3 
93336988 ,PHOENIX ARMS ,1420 ARCHIBALD AVE ,ONTARIO ,CA ,708 
93340518 ,REPUBLIC ARMS INC ,15167 SIERRA BONITA LN ,CHINO ,CA ,197 
93335296 ,ELECTRONIC MEDICAL RESEARCH LABORATORY INC ,1785 POMONA AVE #C ,CORONA ,CA ,12 
60635829 ,WILDEY F A INC ,45 ANGEVINE RD ,WARREN ,CT ,3 
60633345 ,COLT'S MANUFACTURING CO INC ,545 NEWPARK AVE ,WEST HARTFORD ,CT ,2355 
15965437 ,NAVEGAR INC ,12405 SW 130TH ST ,MIAMI ,FL ,32 
15923596 ,TAURUS INTERNATIONAL MANUFACTURING INC ,16175 NW 49TH AVE ,MIAMI ,FL ,1145 
33637004 ,ROCK RIVER ARMS INC ,101 NOBLE ST ,CLEVELAND ,IL ,20 
33635798 ,SPRINGFIELD INC ,420 W MAIN ST ,GENESEO ,IL ,618 
33635343 ,LES BAER CUSTOM INC ,29601 34TH AVE N ,HILLSDALE ,IL ,709 
54835657 ,"CRAIG, FREDERICK E III ",604 W 19TH ST ,HUTCHINSON ,KS ,2 
54833096 ,WICHITA ARMS INC ,923 E GILBERT ,WICHITA ,KS ,1 
60410395 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,14846 
60435456 ,"SAEILO, INC ",130 GODDARD MEMORIAL DR ,WORCESTER ,MA ,59 
60433152 ,"SAVAGE ARMS, INC ",100 SPRINGDALE RD ,WESTFIELD ,MA ,9 
85207699 ,BERETTA U S A CORPORATION ,17601 BERETTA DR ,ACCOKEEK ,MD ,1070 
60106460 ,SMITH & WESSON CORP ,19 AVIATION DR ,HOULTON ,ME ,2353 
34134590 ,"BROWN, EBEN A ",3404 PAWNEE DR ,ALEXANDRIA ,MN ,3 
15640982 ,RAMPRO CORP ,6731-3 AMSTERDAM WAY ,WILMINGTON ,NC ,1 
60234248 ,COMPETITOR CORP INC ,30 TRICNIT RD 16 ,NEW IPSWICH ,NH ,28 
60233244 ,SIG ARMS INC ,CORPORATE PARK ,EXETER ,NH ,434 
60233754 ,THOMPSON CENTER ARMS CO INC ,FARMINGTON RD ,ROCHESTER ,NH ,828 
61636016 ,NEW YORK INTERNATIONAL CORP ,119 KEMPER LN ,NORWICH ,NY ,13 
61334276 ,KIMBER MFG INC ,1 LAWTON ST ,YONKERS ,NY ,128 
43435702 ,BEEMILLER INC ,1015 SPRINGMILL RD ,MANSFIELD ,OH ,100 
57336522 ,"NOWLIN, JOHN W SR ",20622 S 4092 RD ,CLAREMORE ,OK ,459 
34633475 ,H S PRECISION INC ,1301 TURBINE DR ,RAPID CITY ,SD ,1 
34634154 ,GALENA INDUSTRIES INC ,3551 MAYER AVENUE ,STURGIS ,SD ,4 
57634159 ,BRILEY MANUFACTURING INC ,1230 LUMPKIN ,HOUSTON ,TX ,45 
57540601 ,STRAYER VOIGT INC ,3435 ROY ORR BLVD #200 ,GRAND PRARIE ,TX ,315 
57434417 ,"STI INTERNATIONAL, INC ",114 HALMAR COVE ,GEORGETOWN ,TX ,519 
98790082 ,ARMS TECHNOLOGY INC ,1115 PIONEER RD ,SALT LAKE CITY ,UT ,3778 


