Table
RDS KEY ,LICENSE NAME ,STREEI ,CITY ,ST ,SHOTGUN EXP 
97737552 ,WEATHERBY INC ,3250 B 3 EL CAMINO REAL ,ATASCADERO ,CA ,6 
60636056 ,US REPEATING ARMS COMPANY ,275 WINCHESTER AVE ,NEW HAVEN ,CT ,9950 
60600760 ,THE MARLIN FIREARMS CO ,100 KENNA DR ,NORTH HAVEN ,CT ,65 
60600773 ,O F MOSSBERG & SONS INC ,7 GRASSO AVE ,NORTH HAVEN ,CT ,14088 
60609280 ,"U S REPEATING ARMS COMPANY, INC ",344 WINCHESTER AVE ,NEW HAVEN ,CT ,1996 
15917454 ,"KNIGHT, CHARLES REED JR ",7750 9TH ST SW ,VERO BEACH ,FL ,39 
33635798 ,SPRINGFIELD INC ,420 W MAIN ST ,GENESEO ,IL ,209 
60434429 ,H & R 1871 INC NEW ENGLAND FIREARMS CO ,60 INDUSTRIAL ROWE ,GARDNER ,MA ,13713 
60436321 ,"FARRAR, GREGORY ",22 LOCKWOOD CIR ,SWANSEA ,MA ,1 
60433152 ,"SAVAGE ARMS, INC ",100 SPRINGDALE RD ,WESTFIELD ,MA ,94 
85236791 ,BENELLI USA CORPORATION ,17601 BERETTA LN ,ACCOKEEK ,MD ,561 
85207699 ,BERETTA U S A CORPORATION ,17601 BERETTA DR ,ACCOKEEK ,MD ,408 
60201484 ,STURM RUGER & CO INC ,411 SUNAPEE ST ,NEWPORT ,NH ,337 
61635833 ,ITHACA GUN PARTS & SERVICE CORPORATION ,891 ROUTE 34B ,KINGS FERRY ,NY ,4357 
61635527 ,"REMINGTON ARMS CO, INC ",14 HOEFLER AVE ,ILION ,NY ,11121 
82333855 ,TAR HUNT CUSTOM RIFLES INC ,101 DOGTOWN RD ,BLOOMSBURG ,PA ,6 
82533495 ,PENN ARMS INC ,107 PINE ST ,PUNXSUTAWNEY ,PA ,28 
34633475 H ,S PRECISION INC ,1301 TURBINE DR ,RAPID CITY ,SD ,13 
57434208 ,"MAVERICK ARMS, INC ",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK ,EAGLE PASS ,TX ,10350 


