Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,PISTOL 22 ,PISTOL 25 ,PISTOL 32 ,PISTOL 380 ,PISTOL 9MM ,PISTOL 50 ,PISTOL TOTAL 
57100275 ,"TIBBETS, VICTOR R ",933 CR 439 ,BERRYVILLE ,AR ,O ,O ,O ,O ,2 ,4 ,6 
57134716 ,WILSONS GUN SHOP INC ,2234 CR 719 ,BERRYVILLE ,AR ,5 ,O ,O ,O ,1 ,2348 ,2354 
98638393 ,GUNSITE ACADEMY INC ,2900 W GUNSITE RD ,PAULDEN ,AZ ,O ,O ,O ,O ,O ,61 ,61 
98638387 ,PROFESSIONAL ORDNANCE INC ,1070 METRIC DR ,LAKE HAVASU CITY ,AZ ,O ,1248 ,O ,O ,O ,0 ,1248 
98633332 ,R & R SPORTING ARMS INC ,15481 N TWIN LAKES DR ,TUCSON ,AZ ,3 ,2 ,O ,3 ,O ,O ,8 
98636542 ,"ROBAR COMPANIES, INC ",21438 N 7TH AVE SUITE B ,PHOENIX ,AZ ,O ,O ,O ,O ,4 ,0 ,4 
98638190 ,SPECIAL WEAPONS LLC ,"4613 E IVY ST, SUITE 102 ",MESA ,AZ ,O ,O ,O ,O ,0 ,11 ,11 
98614472 ,STURM RUGER & CO INC ,200 RUGER RD ,PRESCOTT ,AZ ,40378 ,O ,0 ,O ,47815 ,24654 ,112847 
93334014 ,BRYCO ARMS ,380 CLINTON ST ,COSTA MESA ,CA ,11116 ,O ,O ,8865 ,46893 ,0 ,66874 
93322226 ,DAVIS INDUSTRIES ,15150 SIERRA BONITA LN ,CHINO ,CA ,5626 ,68 ,3377 ,3997 ,588 ,0 ,13656 
93340235 ,INTERNATIONAL ANTIQUE REPRODUCTIONS INC ,33171 CAMINO CAPISTRANO ,SAN JUAN CAPISTRANO ,CA ,18 ,O ,O ,0 ,O ,0 ,18 
99434360 ,"KRAUSE, MICHAEL A ",83 21ST AVE ,SAN MATEO ,CA ,O ,O ,6 ,O ,O ,0 ,6 
93340544 ,MICRODYNE PLASTICS INC ,4651 E AIRPORT DR ,ONTARIO ,CA ,O ,O ,O ,O ,O ,1000 ,1000 
93340867 ,"MUELLER, WALTER W ",14576 FONTLEE LANE ,FONTANA ,CA ,0 ,0 ,0 ,500 ,O ,0 ,500 
93336988 ,"MUELLER, JEFFREY W PHOENIX ARMS ",1420 ARCHIBALD AVE ,ONTARIO ,CA ,5050 ,O ,O ,O ,O ,O ,5050 
93340518 ,REPUBLIC ARMS INC ,15167 SIERRA BONITA LN ,CHINO ,CA ,O ,0 ,0 ,O ,0 ,1326 ,1326 
60633345 ,COLT'S MANUFACTURING CO LLC ,545 NEWPARK AVE ,WEST HARTFORD ,CT ,O ,0 ,O ,2729 ,6 ,23181 ,25916 
60604862 ,L W SEECAMP CO INC ,301 BREWSTER RD INDUSTRIAL BLDG ,MILFORD ,CT ,0 ,0 ,3051 ,0 ,O ,0 ,3051 
60635829 ,WILDEY F A INC ,45 ANGEVINE RD ,WARREN ,CT ,0 ,0 ,0 ,O ,0 ,74 ,74 
15940806 ,KEL TEC CNC INDUSTRIES INC ,1475 COX ROAD ,COCOA ,FL ,O ,0 ,35181 ,O ,8271 ,2206 ,45658 
15923596 ,TAURUS INTERNATIONAL MANUFACTURING INC ,16175 NW 49TH AVE ,MIAMI ,FL ,5552 ,1562 ,O ,O ,0 ,0 ,7114 
15840177 ,MASTERPIECE ARMS INC ,116 KINGSBRIDGE DRIVE ,CARROLLTON ,GA ,O ,O ,O ,O ,55 ,210 ,265 
54235453 ,DOUBLE DEUCE INC ,24276 240TH ST ,CARROLL ,IA ,68 ,O ,O ,O ,O ,0 ,68 
33635343 ,LES BAER CUSTOM INC ,29601 34TH AVE N ,HILLSDALE ,IL ,O ,O ,O ,O ,50 ,1836 ,1886 
33733384 ,OGLESBY & OGLESBY GUNMAKERS INC ,744 W ANDREW RD ,SPRINGFIELD ,IL ,O ,O ,O ,O ,O ,1 ,1 
33637004 ,ROCK RIVER ARMS INC ,101 NOBLE ST ,CLEVELAND ,IL ,O ,O ,O ,3 ,6 ,128 ,137 
33635798 ,SPRINGFIELD INC ,420 W MAIN ST ,GENESEO ,IL ,O ,O ,O ,509 ,3199 ,23478 ,27186 
46137442 ,GEMINI CUSTOMS LLC ,2262 LOUISVILLE RD ,FRANKFORT ,KY ,O ,O ,O ,O ,O ,1 ,1 
46100555 ,RAMPRO CORP ,935 SECOND ST ,DAYTON ,KY ,4 ,1 ,8 ,O ,O ,O ,13 
57233690 ,CLARK CUSTOM GUNS INC ,336 SHOOTOUT LN ,PRINCETON ,LA ,12 ,O ,O ,O ,2 ,12 ,26 
60435456 ,"SAEILO, INC ",130 GODDARD ,WORCESTER ,MA ,O ,O ,O ,O ,4878 ,5384 ,10262 


