Table
RDS KEY ,LICENSE NAME ,STREET ,
57134716 ,WILSONS GUN SHOP INC ,2234 CR 719 ,BERRYVILLE 
98636542 ,"ROBAR COMPANIES, INC ",21438 N 7TH AVE SUITE B ,
97738092 ,ROGUE RIV RIFLEWORKS INC/JOHN RIBGY & CO ,500 LINNE RD STE D ,PASO ROBLES 
60600252 ,MARLIN FIREARMS COMPANY THE ,100 KENNA DR ,NORTH HAVEN 
60636056 ,US REPEATING ARMS COMPANY ,344 WINCHESTER AVE ,
60600773 ,OF O MOSSBERG & SONS INC ,7 GRASSO AVE ,NORTH HAVEN 
15939580 ,"BETANCOURT, JOSE A JR ",3300 SAINT JAMES AVE ,DELTONA 
33635798 ,SPRINGFIELD INC ,420 W MAIN ST ,
60433152 ,"SAVAGE ARMS, INC ",100 SPRINGDALE RD ,WESTFIELD 
60400253 ,"H & R 1871, LLC ",60 INDUSTRIAL ROWE ,
16400400 ,CUNNINGHAM STEVEN G ,169 PLANTERS GROVE ,
60200153 ,SIG ARMS INC ,18 INDUSTRIAL DR ,EXETER 
60201484 ,"STURM, RUGER & CO INC ",411 SUNAPEE ST ,
82200281 ,GRIFFIN & HOWE INC ,33 CLAREMONT RD ,
61635527 ,"REMINGTON ARMS CO, INC ",14 HOEFLER AVE ,
34633475 ,H S PRECISION INC ,1301 TURBINE DR ,RAPID CITY 
57434208 ,"MAVERICK ARMS, INC ",INDUSTRIAL BLVD MAVERICK CO DEVLPT ,
,,PARK ,
57401590 ,DAWSON PRECISION INC ,3300 CR 233 ,
98734761 ,"SHADOW VALLEY ARMS CO, LLC ",2710 SOUTH 1900 WEST ,OGDEN 


Table
CITY ,ST ,SHOTGUN EXP 
,AR ,4 
PHOENIX ,AZ ,13 
,CA ,4 
,CT ,134 
NEW HAVEN ,CT ,940 
,CT ,7602 
,FL ,
GENESEO ,IL ,427 
,MA ,117 
GARDNER ,MA ,1330 
RIDGELAND ,MS ,
,NH ,41 
NEWPORT ,NH ,47 
BERNARDSVILLE ,NJ ,5 
ILION ,NY ,12269 
,SD ,1 
EAGLE PASS ,TX ,6603 
FLORENCE ,TX ,
,UT ,


