Table
CITY ,ST ,RIFLE MFG 
BALDWIN ,WI ,
BANCROFT ,WI ,
WAUKESHA ,WI ,
ELAND ,WI ,
CHIPPEWA FALLS ,WI ,743 
BARABOO ,WI ,
MONTICELLO ,WI ,
GRANVILLE ,WV ,191 
BRADLEY ,WV ,
CODY ,WY ,
,,


Table
33900226 ,"ASKLAND, RUSSELL LEE "
33900732 ,EAST RIDGE GUN CO INC 
33901982 ,GARY'S GUNS INC 
33901266 ,"HAYWOOD, LEROY EDWARD "
33900697 ,"LAUER, STEVEN MICHAEL "
33901528 ,"RIECHMAN, CHRISTOPHER ROBERT "
33900234 ,"WINTERS, RICHARD A "
45500132 ,MELVIN FORBES ENTERPRISES LLC 
45536010 ,PRECISION WEAPONS CORP 
58300517 ,BALLARD RIFLE & CARTRIDGE CO 


