Table
CORP ,,,,,8222 118 AVE N UNIT 610 ,LARGO ,FL ,31 
INVESTMENTS INC ,,,,,6701 PARK BLVD ,PINELLAS PARK ,FL ,1 
INC ,,,,,1328 CLEMENTS WOODS LN ,JACKSONVILLE ,FL ,3 
INC ,,,,,506 NE 3RD ST ,OKEECHOBEE ,FL ,16 
INC ,,,,,1475 COX ROAD ,COCOA ,FL ,7542 
JR ,,,,,701 COLUMBIA BLVD ,TITUSVILLE ,FL ,17 
"MOORE, CARLA W ",,,,,2005-B MURCOTT DRIVE ,SAINT CLOUD ,FL ,10 
JR. ,,,,,2459 CHENEY HWY #74 ,TITUSVILLE ,FL ,50 
,,,,,1411 NW 33RD DR ,POMPANO BEACH ,FL ,27 
SERVICE INC ,,,,,25220 W NEWBERRY RD ,NEWBERRY ,FL ,3 
"& POULIOTTE, ",,BETTY ,,,F 1556 SOUTH SR53 ,MADISON ,FL ,92 
,,,,,3112-3 PALM AVE ,FORT MYERS ,FL ,5 
FIREARMS INC ,,,,,915 HARBOR LAKE DRIVE UNIT D ,SAFETY HARBOR ,FL ,118 
,,,,,6001 JOHNS RD #144 ,TAMPA ,FL ,121 
,,,,,3761 RECKER HWY ,WINTER HAVEN ,FL ,5 
,,,,,2593 CLARK ST STE 103 ,APOPKA ,FL ,228 
,,,,,6001 JOHNS RD #638 ,TAMPA ,FL ,37 
N ,,,,,172 CENTER ST ,PANACEA ,FL ,203 
,,,,,21200 HIGHTOWER ROAD ,FOUNTAIN ,FL ,2 
,,,,,719 WHITE DR ,ALFORD ,FL ,63 
CORP ,,,,,1434 HILLCREST RD ,NORCROSS ,GA ,2 
FIREARMS LLC ,,,,,3319 GORDON HWY ,GROVETOWN ,GA ,20 
,,,,,387 DOUBLE BRIDGE RD ,MOUNT AIRY ,GA ,1 
INC ,,,,,268 CADILLAC PKWY STE 104 ,DALLAS ,GA ,538 
,,,,,7340 MCGINNIS FERRY RD ,SUWANEE ,GA ,39 
"ARMS, LLC ",,,,,250 KELLER RD ,ROSSVILLE ,GA ,5 
LLC ,,,,,RT 1 BOX 35 ,NASHVILLE ,GA ,1 
INC ,,,,,116 KINGSBRIDGE DRIVE ,CARROLLTON ,GA ,31 
FOSTER JR ,,,,,8734 LAKEWOOD HWY ,MINERAL BLUFF ,GA ,11 
,,,,,55 LYLE FIELD RD ,JEFFERSON ,GA ,21 
,,,,,1486 CHERRY RD ,FRANKLIN ,GA ,16 
,,,,,24276 240TH ST ,CARROLL ,IA ,1029 
,,,,,,,,


