RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,PISTOL 22 ,PISTOL 25 ,PISTOL 32 ,PISTOL 380 ,PISTOL 9MM ,PISTOL 50 ,PISTOL TOTAL 
57100301 ,,115 COUNTY ROAD 546 ,MOUNTAIN HOME ,AR ,0 ,0 ,0 ,0 ,14 ,0 ,14 
57101324 ,,171 MADISON 1510 ,HUNTSVILLE ,AR ,0 ,0 ,0 ,0 ,0 ,44 ,44 
57100675 ,LIGHTHOUSE PRODUCTIONS INC ,542 CR 2073 ,EUREKA SPGS ,AR ,0 ,0 ,0 ,0 ,1 ,0 ,1 
57101188 ,NIGHTHAWK CUSTOM LLC ,1306 W TRIMBLE ,BERRYVILLE ,AR ,0 ,0 ,0 ,2 ,114 ,1173 ,1289 
57101940 ,RON PHILLIPS AND COMPANY LLC ,1204 CR 501 ,BERRYVILLE ,AR ,0 ,0 ,0 ,0 ,0 ,2 ,2 
57101561 ,TOP NOTCH ACCESSORIES INC ,385 MARGO LN ,RUSSELLVILLE ,AR ,0 ,0 ,0 ,0 ,5 ,0 ,5 
57134716 ,WILSONS GUN SHOP INC ,2234 CR 719 ,BERRYVILLE ,AR ,0 ,0 ,0 ,0 ,558 ,2094 ,2652 
98602058 ,BUSHMASTER FIREARMS INTERNATIONAL LLC ,1070 METRIC DR ,LAKE HAVASU CITY ,AZ ,0 ,1042 ,0 ,0 ,181 ,0 ,1223 
98601406 ,COHARIE ARMS INC ,2942 N. GREENFIELD RD #133 ,MESA ,AZ ,0 ,0 ,0 ,0 ,574 ,0 ,574 
98602042 ,,13765 WEST AUTO DR STE 115 ,GOODYEAR ,AZ ,0 ,0 ,157 ,0 ,0 ,0 ,157 
98601973 ,EXCELL MANUFACTURING INC ,2580 LANDON DR UNIT E ,BULLHEAD CITY ,AZ ,117 ,0 ,0 ,132 ,0 ,0 ,249 
98638243 ,,16014 WEST REMUDA DR ,SURPRISE ,AZ ,0 ,0 ,13 ,0 ,0 ,0 ,13 
98601601 ,M2I CUSTOM TACTICAL LTD ,1304 RED BARON RD ,PAYSON ,AZ ,0 ,0 ,0 ,0 ,7 ,8 ,15 
98633332 ,R & R SPORTING ARMS INC ,15481 N TWIN LAKES DR ,TUCSON ,AZ ,1 ,0 ,3 ,0 ,0 ,0 ,4 
98636542 ,,21438 N 7TH AVE SUITE B ,PHOENIX ,AZ ,0 ,0 ,0 ,0 ,16 ,17 ,33 
98614472 ,,200 RUGER RD ,PRESCOTT ,AZ ,59628 ,0 ,0 ,83161 ,53772 ,14500 ,211061 
98600974 ,,215 E WESTERN AVE ,AVONDALE ,AZ ,0 ,0 ,0 ,0 ,0 ,8 ,8 
98602632 ,,2326 E WASHINGTON ST ,PHOENIX ,AZ ,3 ,0 ,0 ,0 ,2 ,0 ,5 
98603237 ,ZIMMERMAN ARMS LLC ,540 SIXTH ST # F ,PRESCOTT ,AZ ,1 ,0 ,0 ,0 ,0 ,0 ,1 
97701370 ,AIRCRAFT ARMAMENTS INC ,18205 LAVERNE DR ,LOS GATOS ,CA ,2 ,0 ,0 ,0 ,1 ,0 ,3 
93300576 ,BAR-STO PRECISION MACHINE INC ,73377 SULLIVAN RD ,29 PALMS ,CA ,0 ,0 ,0 ,0 ,2 ,22 ,24 
93340727 ,EXCEL INDUSTRIES INC ,4510 CARTER CT ,CHINO ,CA ,361 ,0 ,0 ,329 ,0 ,0 ,690 
93301722 ,PEPPERBALL TECHNOLOGIES INC ,6142 NANCY RIDGE DR STE 101 ,SAN DIEGO ,CA ,0 ,0 ,0 ,0 ,0 ,396 ,396 
93336988 ,PHOENIX ARMS ,4231 BRICKELL STREET ,0NTARIO ,CA ,11439 ,3061 ,0 ,0 ,0 ,0 ,14500 
58402122 ,JOSEPH BRAZIER LTD ,3259 ELECTRA DR SO ,COLORADO SPRINGS ,CO ,0 ,0 ,0 ,0 ,0 ,4 ,4 
58402371 ,,3259 ELECTRA DR SO ,COLORADO SPRINGS ,CO ,0 ,0 ,0 ,0 ,0 ,4 ,4 
58401738 ,,6571 PFOST DRIVE ,PEYTON ,CO ,0 ,0 ,0 ,0 ,0 ,14 ,14 
58401278 ,PRECISION SMALL ARMS INC ,ASPEN AIRPORT ,ASPEN ,CO ,0 ,274 ,0 ,0 ,0 ,0 ,274 
