Table
CITY ,ST ,SHOTGUN EXP 
MIAMI ,FL ,1868 
SUWANEE ,GA ,26 
WESTFIELD ,MA ,43 
SPRINGFIELD ,MA ,7 
MINNEAPOLIS ,MN ,3 
NEWPORT ,NH ,42 
RENO ,NV ,14 
ILION ,NY ,321 
UPPER SANDUSKY ,OH ,45 
EAGLE PASS ,TX ,34082 
TUKWILA ,WA ,2 
YAKIMA ,WA ,2 
,,
,,36455 


Table
RDS KEY ,LICENSE NAME 
15947645 ,BRAZTECH INTERNATIONAL LC 
15840168 ,MEGGITT TRAINING SYSTEMS INC 
60433152 ,"SAVAGE ARMS, INC "
60401684 ,SMITH & WESSON CORP 
34100034 ,"KOSCIELSKI, MARK PETER "
60200735 ,"STURM, RUGER & COMPANY INC "
98800913 ,LEGACY SPORTS INTERNATIONAL LLC 
61600727 ,REMINGTON ARMS CO INC 14 
43402108 ,ITHACA GUN COMPANY 
57434208 ,"MAVERICK ARMS, INC "
99103260 ,HURRICANE BUTTERFLY RESEARCH CORPORATION 
99102158 ,LJUTIC LLC 


