Table
RDS KEY ,LICENSE NAME ,STREET ,,
57134716 ,WILSONS GUN SHOP INC ,2234 CR 719 ,BERRYVILLE ,
98602277 ,RISING SUN TACTICAL LLC ,6901 W UTOPIA ,,
98637461 ,"VAN HORN, DAVID A ",1302 E RAWHIDE ,GILBERT ,
58402371 ,"LIPPARD, KARL ",3259 ELECTRA DR SO ,COLORADO ,
60634862 ,CONNECTICUT SHOTGUN MANUFACTURING CO ,100 BURRITT ,,
15909126 ,AMMO DUMP INTERNATIONAL LLC ,1556 S STATE ROAD 53 ,MADISON ,
15902094 ,"MOORE, DAVID E & MOORE, CARLA W ",2005-B ,,
15907741 ,ROSA SERVIDEO INC ,230 S CYPRESS RD #H ,POMPANO ,
15911272 ,SOUTHERN WEAPONS LLC ,17120 130TH ,,
15840899 ,"CLYDE, ANDREW SCOTT ",4800 ATLANTA HWY ,BOGART ,
15801270 ,HISTORIC ARMS LLC ,1486 CHERRY ,,
15840168 ,MEGGITT TRAINING SYSTEMS INC ,296 BROGDON ,,
98200131 ,"SRM, INC. ",4375-A WEST MCMILLAN ,MERIDIAN ,
43502848 ,BLOOMFIELD ARMS & AMMO LLC ,223 W SPRING ST ,BLOOMFIELD ,
54800478 ,"ALLEE, MICHAEL DAVID ",5606 JOHNSON DR ,MISSION ,
57202952 ,T CUSTOMS LLC ,15725 CHANOVE ,,
85234687 ,AIM INC ,19200 MIDDLETOWN RD ,PARKTON ,
85207699 ,BERETTA U S A CORPORATION ,17601 BERETTA ,,
85203498 ,PASADENA PAWN & GUN LLC ,3306 MOUNTAIN ,,
60101041 ,"HUBERT, JAMES ALLEN ",18 LITHGOW ST ,WINSLOW ,
43802452 ,"DEFCOM, LLC ",3250 OLD FARM RD UNIT #4 ,COMMERCE ,
54338023 ,ALFERMANN USA INC ,1482 POTTERY RD ,WASHINGTON ,
54304879 ,"BAUER, RICHARD LAWRENCE JR ",400 SUNSET ,,
54306585 ,"DELASHMUTT, RAYMOND ",916 CR 281 ,,
98100958 ,GRIZZLY CUSTOM GUNS LLC ,325 PATTERSON RANCH LN ,COLUMBIA ,
98100366 ,LAWTON MACHINE LLC ,580 1/2 NORTH MONTANA STREET ,DILLON ,
15603066 ,APPALACHIAN GUNSMITHING INC ,8 SNAPFINGER DR ,WEAVERVILLE ,
15600567 ,"DODSON, ALEXANDER DEWEY II ",2725 DAVE SMITH RD ,MEBANE ,
15604185 ,PSS ARMS LLC ,306 MARCHMONT ,,
60201484 ,"STURM, RUGER & COMPANY, INC ",411 SUNAPEE ,,
60200897 ,THOMPSON CENTER ARMS CO INC ,400 NORTH MAIN STREET ,ROCHESTER ,
61602182 ,"MARLIN FIREAMRS COMPANY, THE ",14 HOEFLER ,,
61601854 ,"H&R 1871, LLC ",14 HOEFLER AVENUE ,ILION ,
61600727 ,REMINGTON ARMS CO INC ,14 HOEFLER ,,
43402133 ,CADIZ ENTERPRISES LLC ,90735 JEWETT ,,


Table
,CITY ,ST ,SHOTGUN MFG 
,,AR ,124 
RD ,GLENDALE ,AZ ,4 
,,AZ ,4 
,SPRINGS ,CO ,5 
STREET ,NEW BRITAIN ,CT ,515 
,,FL ,1 
MURCOTT DRIVE ,SAINT CLOUD ,FL ,21 
,BEACH ,FL ,13 
AVE N ,JUPITER ,FL ,1 
,,GA ,1 
RD ,FRANKLIN ,GA ,9 
RD ,SUWANEE ,GA ,6 
,,ID ,10 
,,IN ,1 
,,KS ,1 
AVE ,GREENWELL SPRINGS ,LA ,1 
,,MD ,35 
DR ,ACCOKEEK ,MD ,5191 
RD ,PASADENA ,MD ,1 
,,ME ,1 
,TOWNSHIP ,MI ,286 
,,MO ,6 
DR ,APPLETON CITY ,MO ,3 
,AUXVASSE ,MO ,3 
,FALLS ,MT ,8 
,,MT ,17 
,,NC ,40 
,,NC ,6 
DR ,ADVANCE ,NC ,1 
ST ,NEWPORT ,NH ,1398 
,,NH ,316 
AVE ,ILION ,NY ,492 
,,NY ,58998 
AVE ,ILION ,NY ,280843 
GERMANO RD SUITE B ,JEWETT ,OH ,1 


