Table
,STREET ,CITY ,ST ,RIFLE MFG 
CHAD ALLEN ,348 LIBERTY OIL RD ,MORRILL ,NE ,1 
RANGE AND SUPPLY INC ,6481 1/2 S 86TH CIRCLE ,RALSTON ,NE ,12 
INC ,218 E THIRD STREET ,KIMBALL ,NE ,14 
ARTHUR ,78548 HWY 2 ,MASON CITY ,NE ,1 
,58896 866 RD ,ALLEN ,NE ,14 
LLC ,907 NORTH JUNIATA AVE ,JUNIATA ,NE ,1 
AUGUST ,1306 ROAD 2 ,MC COOL JUNCTION ,NE ,2 
INC ,79 BEEDE HILL RD ,FREMONT ,NH ,25 
LLC ,18 HUBBARD HILL RD ,DERRY ,NH ,4 
LLC ,56 SUMMER STREET ,CLAREMONT ,NH ,8 
INC ,27 PISCATAQUA DR ,NEWINGTON ,NH ,5569 
CORPORATION ,421 RIVER ROAD ,CLAREMONT ,NH ,11 
HAROLD MICHAEL ,14 NEW ROAD ,LYNDEBOROUGH ,NH ,5 
,72 PEASE BLVD ,NEWINGTON ,NH ,38354 
,12 & 18 INDUSTRIAL DR ,EXETER ,NH ,82888 
"& COMPANY, INC ",411 SUNAPEE ST ,NEWPORT ,NH ,1834 
"& COMPANY, INC ",529 SUNAPEE ST ,NEWPORT ,NH ,763434 
ROBERT ,16 SOUTH WOODBOUND RD ,RINDGE ,NH ,3 
CORP ,15 DEBBIE DR ,PELHAM ,NH ,1 
INDUSTRIES LLC ,"1575 HOOKSETT ROAD, SUITE #2 ",HOOKSETT ,NH ,16 
ROBERT ,7 HORSESHOE DR ,LITCHFIELD ,NH ,6 
FIREARMS LLC ,1305 WHITE MOUNTAIN HIGHWAY ,NORTH CONWAY ,NH ,29 
,1417 DANIEL WEBSTER HWY ,WOODSTOCK ,NH ,2 
INC ,33 CLAREMONT RD ,BERNARDSVILLE ,NJ ,2 
HOLDING CORP ,59 E 1ST ST ,BAYONNE ,NJ ,304491 
INC ,105 W DEWEY AVE BUILD C UNIT 16 ,WHARTON ,NJ ,3 
LLC ,110 S 5TH ST ,PHILLIPSBURG ,NJ ,29 
,8203 GUADALUPE TRL NW UNIT A ,LOS RANCHOS ,NM ,5 
AND AMMO LLC ,221 WILMINGTON CIRCLE ,CLOVIS ,NM ,2 
ENTERPRISES LLC ,11520 SAN BERNARDINO DR NE ,ALBUQUERQUE ,NM ,12 
,4919 WEST CHURCH ST ,CARLSBAD ,NM ,1 
SQUARED FIREARMS LLC ,14317 MEL SMITH CT NE ,ALBUQUERQUE ,NM ,2 
GLENN ,200 WEST TUCKER ,HOBBS ,NM ,3 


