Table
RDS KEY ,LICENSE NAME ,SIREEI ,CITY ,ST ,MISC FA MFG 
98614472 ,"STURM, RUGER & COMPANY, INC ",200 RUGER RD ,PRESCOTT ,AZ ,2 
98602020 ,SUN DEVIL MANUFACTURING LLC ,663 W 2ND AVE STE 16 ,MESA ,AZ ,5503 
98606524 ,T-25 TACTICAL LLC ,594 NORTH NEVADA WAY ,GILBERT ,AZ ,12 
98606279 ,TRITON ARMS LLC ,2855 S 4TH AVE STE 109 ,YUMA ,AZ ,2 
98605336 ,WIDNER ENTERPRISES LLC ,1148 N SETON AVE ,GILBERT ,AZ ,21 
98637956 ,YOUNG MANUFACTURING INC ,5528 N 51ST AVE ,GLENDALE ,AZ ,21 
97701370 ,"AIRCRAFT ARMAMENTS, INC ",18205 LAVERNE DR ,LOS GATOS ,CA ,58 
96802893 ,AMERICAN TACTICAL OUTFITTERS LLC ,852 NORTHPORT DR STE 104 ,WEST SACRAMENTO ,CA ,50 
96802268 ,"ANDERSON, ROBERT AND GAIL ",103 MAIN ST ,PLACERVILLE ,CA ,5 
97702070 ,B E INC ,18430 TECHNOLOGY DR UNIT A ,MORGAN HILL ,CA ,79 
96803787 ,CASON ENGINEERING INC ,4952 WINDPLAY DR STE D ,EL DORADO HILLS ,CA ,29 
96801682 ,"CHRISTENSEN, CRAIG ALLEN ",710 3RD STREET ,MARYSVILLE ,CA ,84 
96802732 ,CORONADO ARMS INC ,450 S PORTER RD STE D ,DIXON ,CA ,129 
99501516 ,"DANCO ANODIZING, INC ",44 LA PORTE STREET ,ARCADIA ,CA ,85 
93303228 ,DYNAMIC AIR ENGINEERING INC ,620 E DYER RD ,SANTA ANA ,CA ,1 
93304751 ,"ED'S TACTICAL ARMORY, INC ",711 W ORANGETHORPE AVE ,PLACENTIA ,CA ,110 
93303073 ,EL CAJON GUN EXCHANGE INC ,427 BROADWAY ,EL CAJON ,CA ,4 
97703300 ,FULL SPECTRUM FIREARMS LLC ,4708 N MARTY ,FRESNO ,CA ,74 
97703224 ,"GOOSE MANUFACTURING, INC ",1253 BIRCHWOOD DR STE D ,SUNNYVALE ,CA ,100 
96803683 ,IMPACT MANUFACTURING GROUP LLC ,3137 SWETZER RD UNIT D ,LOOMIS ,CA ,3 
99501059 ,INDEPENDENT STUDIO SERVICES LLC ,9545 WENTWORTH ST ,SUNLAND ,CA ,1 
93304097 ,JD MACHINE TECH INC ,4170 MORENA BLVD #C ,SAN DIEGO ,CA ,13555 
93304924 ,JUGGERNAUT TACTICAL INC ,931 N PARKER ST ,ORANGE ,CA ,69 
97702943 ,"MATTHEWS, KEITH SCOTT ",13607 E SHEPHERD AVE ,CLOVIS ,CA ,46 
97703012 ,MBO ENTERPRISES INC ,5805 SILVERADO PL ,PASO ROBLES ,CA ,8 
96802866 ,"MONTES, KENNETH ",501 GIUSEPPE CT STE C&D ,ROSEVILLE ,CA ,1413 
99501437 ,MOUNT STAR INC ,"121 E WHITTIER BLVD, UNIT H ",MONTEBELLO ,CA ,211 
97701704 ,"MULLEN, JEFFREY GERALD ",5530 E LAMONA AVE #103 ,FRESNO ,CA ,49 
93302580 ,NEMESIS ARMS INC ,1090 5TH ST UNIT 110A ,CALIMESA ,CA ,43 
93303831 ,PENHALL BROTHERS INVESTMENTS LLC ,23012 DEL LAGO DR SUITE B ,LAGUNA HILLS ,CA ,20 
97703250 ,PRECISION GUNWORKS INC ,1477 SUFFOLK AVE ,THOUSAND OAKS ,CA ,40 
96801531 ,REH INDUSTRIES LLC ,710 3RD ST ,MARYSVILLE ,CA ,32 
97702248 ,ROYAL ARMS INTERNATIONAL INC ,1300 GRAVES AVE ,OXNARD ,CA ,4 
96803246 ,SACRAMENTO BLACK RIFLE INC ,6671 BLUE OAKS BLVD ,ROCKLIN ,CA ,306 
97702730 ,STORM PRECISION LLC ,3020 SHERWIN AVE STE A ,VENTURA ,CA ,561 


