Table
RDS KEY ,LICENSE NAME ,,,
57101188 ,NIGHTHAWK CUSTOM LLC ,1306 W TRIMBLE ,BERRYVILLE ,
57134716 ,WILSONS GUN SHOP INC ,,,
98602318 ,TASER INTERNATIONAL INC ,17800 N 85TH ST ,SCOTTSDALE ,
15940806 ,KEL TEC CNC INDUSTRIES INC ,1475 COX ROAD ,COCOA ,
15909576 ,IVER JOHNSON ARMS INC ,259 GUS HIPP BLVD ,ROCKLEDGE ,
15840168 ,MEGGITT TRAINING SYSTEMS INC ,296 BROGDON RD ,SUWANEE ,
60433152 ,"SAVAGE ARMS, INC ",100 SPRINGDALE RD ,WESTFIELD ,
85207699 ,BERETTA U S A CORPORATION ,17601 BERETTA DR ,ACCOKEEK ,
54310039 ,"BIXLER, CHRISTOPHER A ",,,
43401651 ,OHIO ORDNANCE WORKS INC ,305 AND 310 PARK DR ,CHARDON ,
43402108 ,ITHACA GUN COMPANY ,420 N WARPOLE ST ,UPPER ,SANDUSKY 
99302709 ,R & R RACING INC ,42670 RODGERS MOUNTAIN LOOP ,SCIO ,
82333855 ,TAR HUNT CUSTOM RIFLES INC ,101 DOGTOWN RD ,BLOOMSBURG ,
57434208 ,"MAVERICK ARMS, INC ",,,
99137453 ,"JOHNSON, VALERIE ANNE ",75B ABBOTT RD ,ELMA ,


Table
STREET ,CITY ,ST ,SHOTGUN EXP 
,,AR ,12 
2452 CR 719 ,BERRYVILLE ,AR ,18 
,,AZ ,50 
,,FL ,1154 
,,FL ,20 
,,GA ,3 
,,MA ,6123 
,,MD ,2381 
213 MORGAN ST ,AUXVASSE ,MO ,1 
,,OH ,3 
,,OH ,33 
,,OR ,6 
,,PA ,4 
INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK ,EAGLE PASS ,TX ,39958 
,,WA ,


