Table
,,,,,410 WARWICK ST ,ENUMCLAW ,WA ,6 
,,,,,,FRIDAY HARBOR ,WA ,13 
,,,,,,RAINIER ,WA ,16 
,,,,,3507 NORTHPARK DRIVE ,CENTRALIA ,WA ,6592 
,,,,,,STANWOOD ,WA ,10 
,,,,,624 OLD PACIFIC HWY SE ,OLYMPIA ,WA ,4293 
,,,,,,SUNNYSIDE ,WA ,1 
,,,,,,WENATCHEE ,WA ,10 
,,,,,,SPOKANE VALLEY ,WA ,1 
,,,,,136 MOX CHEHALIS RD ,ELMA ,WA ,49 
,,,,,2504 AUBURN WAY N ,AUBURN ,WA ,239 
,,,,,,OLYMPIA ,WA ,1 
,,,,,,OLYMPIA ,WA ,2 
LLC ,,,,,102 PUYALLUP AVENUE ,TACOMA ,WA ,1 
,,,,,,CARLTON ,WA ,5 
,,,,,,YAKIMA ,WA ,28 
,,,,,,LAKEWOOD ,WA ,20 
,,,,,,CAMAS ,WA ,2 
LLC ,,,,,4876 SOUTH 23RD STREET ,MILWAUKEE ,WI ,8 
INC ,,,,,635 CARDINAL LN ,HARTLAND ,WI ,7075 
,,,,,923 COMMERCE DR ,UNION GROVE ,WI ,1 
,,,,,,HUMBIRD ,WI ,6 
,,,,,,PEWAUKEE ,WI ,795 
,,,,,259 SOUTH PINE STREET ,FALL CREEK ,WI ,1 
,,,,,,ADAMS ,WI ,5 
,,,,,,ADAMS ,WI ,21 
,,,,,,BANCROFT ,WI ,34 
,,,,,,ST CROIX FALLS ,WI ,20 
,,,,,,WAUKESHA ,WI ,49 
INC ,,,,,2074 S ASHLAND AVE ,GREEN BAY ,WI ,175 
,,,,,8540 HWY 153 ,ELAND ,WI ,20 
,,,,,,RICE LAKE ,WI ,4870 


Table
99103919 ,"HAGEN, KENNETH ROBERT ",
99104947 ,HARDENED ARMS LLC ,515 TUCKER AVE 
99104988 ,"JERAMIAH JAMES, LLC ",12631 123RD AVE SE 
99103482 ,MEGA ARMS LLC ,
99104372 ,NORTH SOUND ARMORY LLC ,8715 271ST STREET NW SUITE 2 
99114520 ,OLYMPIC ARMS INC ,
99104931 ,"ORATE, SCOTT R ",1221 COLUMBIA AVE 
99104640 ,PARATUS-X LLC ,323 MICHAEL PL 
99138696 ,"PLOYHAR, MARK J ",518 S LONG RD 
99103294 ,R BROS RIFLES LLC ,
99102421 ,RAINIER ARMS LLC ,
99105948 ,"SPEAR TACTICAL SOLUTIONS, LLC ",1432 FARINA LOOP SE 
99105518 ,STARLOS FIREARMS LLC ,3824 HOLLYWOOD DR NE 
99102834 ,SURPLUS AMMO & ARMS ,
99104979 ,"SWEZEY, GREGORY PHILLIP & GARNET JA LEA ",108 S. FORK GOLD CREEK RD 
99105294 ,"TACTICAL SUPPLY ALPHA, LLC ",1701 GARRETSON LANE 
99105032 ,TRIPLE J INDUSTRIES LLC ,12729 PACIFIC HWY SW 
99103937 ,TRIPLETT FIREARMS COMPANY ,656 NW NORWOOD STREET 
33906181 ,"BMF TACTICAL SOLUTIONS, ",
33903743 ,BRAVO COMPANY MFG ,
33906949 ,"BUISSE, BRETT ",
33902367 ,COUNTRY GUN WORKS LLC ,N3299 E BLUFF RD 
33906519 ,CRUSADER ARMS LLC ,N27 W23591 PAUL ROAD 
33904626 ,CUSTOM SERVICES LLC ,
33903569 ,DEZ ARMS INC ,2899 11TH DR 
33905871 ,DEZ TACTICAL ARMS INC ,2899 11TH DR 
33900732 ,EAST RIDGE GUN CO INC ,6319 5TH AVE 
33906608 ,F BOMB ORDNANCE LLC ,2441 230TH AVE 
33901982 ,GARY'S GUNS INC ,W 226 N 1455 NORTH AVENUE 
33906891 ,GREEN BAY ANODIZING ,
33901266 ,"HAYWOOD, LEROY EDWARD ",
33903022 ,HENRY WISCONSIN LLC ,107 W COLEMAN 
33904960 ,JAAG LLC ,403 HEPBURN ST EAST 


