Table
TACTICAL CONCEPTS INC ,2731 S MEDINA LINE RD ,WADSWORTH ,OH ,16 
GRAPHIX LLC ,3829 HAMILTON AVE STE 200 ,CLEVELAND ,OH ,3 
ARMS LLC ,4621 SLEEPY HOLLOW ,MEDINA ,OH ,7 
ARMS LLC ,50 JACKSON ST ,PORT CLINTON ,OH ,31 
WEAPONS OF OHIO LLC ,582 N FAIRFIELD RD ,BEAVERCREEK ,OH ,61 
ARMORY LLC ,169 LEXINGTON AVE ,ELYRIA ,OH ,1 
ARMAMENT LTD ,250 PLACE ST ,LAKEVIEW ,OH ,3 
"BEACHLER, WILLIAM THOMAS ",634 HYDE SHAFFER RD ,BRISTOLVILLE ,OH ,1 
BENCHMARK PRECISION LLC ,3077 BUSHNELL CAMPBELL RD ,FOWLER ,OH ,1 
GUNWORKS LLC ,4701 US 62 ,BERLIN ,OH ,2 
FAMILY GUNS LLC ,18 FORT MONROE INDUSTRIAL PKWY ,MONROEVILLE ,OH ,2 
LLC ,1958 STATE RT 125 STE F ,AMELIA ,OH ,2 
CUSTOM SHOP LLC ,1380 BONNIE DR ,MANSFIELD ,OH ,17 
SHAWN ,10007 FRANCHESTER RD ,BURBANK ,OH ,3 
FIREARMS LLC ,10904 REIDENBACH RD ,VAN WERT ,OH ,9 
LLC ,2766 LYNDLEY CT ,HILLIARD ,OH ,2 
CUMMINGS ENTERPRISES LLC ,3711 STERLING DR ,FRANKLIN ,OH ,3 
GROUP TECHNOLOGY LLC ,19240 TOWNSHIP RD 47 ,BELLE CENTER ,OH ,5 
ARMS LLC ,1114 COLUMBUS AVE ,ASHTABULA ,OH ,2 
ARMS LLC ,7957 CELINA-MENDON RD ,CELINA ,OH ,7 
FIREARMS LLC ,11101 ADWOOD DR ,CINCINNATI ,OH ,44 
TIMOTHY KURT ,6990 ELIZABETH BETHEL RD ,TIPP CITY ,OH ,8 
PAUL A ,2500 MARKET ST ,YOUNGSTOWN ,OH ,29 
DENNIS N ,5595 FORD RD ,MADISON ,OH ,1 
HOLMESWOOD DEFENSE LLC ,5635 WOODSDALE RD ,HANOVERTON ,OH ,1 
MANUFACTURING LLC ,6785 W THIRD ST ,DAYTON ,OH ,9 
J PERFORMANCE INC ,410 E WOOD ST ,SHREVE ,OH ,25 
"BALOGH, INC ",13566 INDIAN HOLLOW RD ,GRAFTON ,OH ,13 
C SCALISE INC ,645 MANNING RD ,MOGADORE ,OH ,6 
CUSTOM STOCKS AND RIFLES LLC ,1546 LAWSON STREET ,WHEELERSBURG ,OH ,1 
JOHNDAVID ,590 WOODVUE LANE ,WINTERSVILLE ,OH ,9 
JOSEPH CURTIS ,6011 US RT 40 E ,LEWISBURG ,OH ,2 


