Table
RDS KEY ,LICENSE NAME ,STREETI ,CITY ,ST ,MISC FA MFG 
61603367 ,CPP-STEEL TREATERS INC ,100 FURNACE ST ,ORISKANY ,NY ,44645 
61603100 ,FERMER PRECISION INC ,114 JOHNSON RD ,ILION ,NY ,1569 
61602475 ,REMINGTON ARMS COMPANY LLC ,14 HOEFLER AVE ,ILION ,NY ,3325 
43404636 ,AMERICAN MUSKET'S LLC ,7250 COMMERCE DRIVE UNIT K ,MENTOR ,OH ,6 
43404791 ,ARTEMIS ARMS LLC ,50 JACKSON ST ,PORT CLINTON ,OH ,12 
43404632 ,BULA FORGE & MACHINE INC ,3001 W 121ST ST ,CLEVELAND ,OH ,126 
43404640 ,DARK TOWER LLC ,5940 CEDAR POINT RD ,OREGON ,OH ,17 
43103670 ,GUN ENVY LLC ,4110 INDIANOLA AVE ,COLUMBUS ,OH ,19 
43103909 ,KAYJAY ENTERPRISES LLC ,3023 LINDALE MT HOLLY RD ,AMELIA ,OH ,15 
43401968 ,"KMP CLASSIC ARMS, INC ",556 CALDWELL AVE ,MANSFIELD ,OH ,63 
43103555 ,PHOENIX TRINITY MANUFACTURING INC ,1883 SOUTHTOWN BLVD STE 102 ,DAYTON ,OH ,852 
43404591 ,TWISTED RIVER TACTICAL LLC ,4564 ROHRDALE AVE NW ,CANAL FULTON ,OH ,92 
57303414 ,FLEMING FIREARMS INC ,7718 E 126TH ST N ,COLLINSVILLE ,OK ,2 
57304721 ,HAILEY ORDNANCE COMPANY ,1661 EXCHANGE AVE ,OKLAHOMA CITY ,OK ,108 
57301293 ,SURGEON RIFLES LLC ,48955 MOCCASIN TRAIL RD ,PRAGUE ,OK ,672 
57305225 ,TAPE MATICS INC ,1539 INDUSTRIAL LN ,TISHOMINGO ,OK ,27 
99300780 ,ADVANCED LONGRANGE SYSTEMS LLC ,3554 EAST ANTELOPE RD ,EAGLE POINT ,OR ,45 
99303685 ,"COLFAX TACTICAL, LLC ",1611 SW FIRST ST UNIT A ,REDMOND ,OR ,78 
99304259 ,CRUSADER OPERATOR CORPORATION ,10500 SW REDCLOUD RD ,POWELL BUTTE ,OR ,41 
99303200 ,DOUBLE TAP LLC ,2075 NE HWY 20 ,BEND ,OR ,6 
99301728 ,HALO MANUFACTURING LLC ,3970 HAMPSHIRE LANE ,EUGENE ,OR ,46 
99303496 ,HH ARMAMENT LLC ,2887 INDUSTRIAL WAY UNIT D ,HUBBARD ,OR ,96 
99303636 ,"JONES, NATHAN WILLIAM & ASHLEY SAZANNE ",75398 FERN HILL RD ,RAINIER ,OR ,27 
99303399 ,RESEARCH DEVELOPMENT LABORATORIES LLC ,527 S CALAPOOIA ST UNIT 3A ,SUTHERLIN ,OR ,7 
99303260 ,"RHEINSCHMIDT MFG, LLC ",5590 SW 195TH AVE ,BEAVERTON ,OR ,13 
99304128 ,SMOS ARMS INC ,484 PLEASANT VALLEY RD ,MERLIN ,OR ,54 
99304557 ,THUNDER TECHNOLOGIES LLC ,144 SE 109TH AVE ,PORTLAND ,OR ,108 
99337182 ,TNW FIREARMS INC ,55325 TIMBER RD ,VERNONIA ,OR ,328 
99304429 ,TODD ENTERPRISES LLC ,4300 LIBERTY RD ,DALLAS ,OR ,1 
99304129 ,VIPER NORTHWEST INC ,1216 JACKSON ST SE ,ALBANY ,OR ,50 
99303509 ,VIPER TACTICAL ARMS LLC ,37367 REDWOOD HWY ,O' BRIEN ,OR ,2 
99302088 ,"YEAMANS, MATTHEW B ",480 ROGUE RIVER PKWY ,TALENT ,OR ,44 
82308185 ,ALG DEFENSE INC ,800 EAST WALNUT ST ,NORTH WALES ,PA ,24 
82300401 ,ARMAMENT SERVICES INTERNATIONAL INC (ASI) ,103 CAMARS DR ,WARMINSTER ,PA ,39 
82303723 ,BLAK FORGE ARMOURY LLC ,1803 RT 287 ,MORRIS ,PA ,6 


