Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,REVOLVERS 
98607222 ,SURGEON RIFLES LLC ,23606 N 19TH AVE STE 10 & 12 ,PHOENIX ,AZ ,2 
60633345 ,COLT'S MANUFACTURING COMPANY LLC ,545 NEW PARK AVE ,WEST HARTFORD ,CT ,25 
15920987 ,AEGIS TACTICAL LLC ,5103 LENA ROAD UNIT 113 ,BRADENTON ,FL ,1 
15840168 ,MEGGITT TRAINING SYSTEMS INC ,296 BROGDON RD ,SUWANEE ,GA ,14 
98201522 ,SEAMANS SUPREME SHOOTERS AND SURPLUS LLC ,3413 16TH ST ,LEWISTON ,ID ,
46104678 ,BALLISTIC ARMS LLC ,833 FOUNTAIN AVE ,LOUISVILLE ,KY ,6 
60401684 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,17358 
34103314 ,MAGNUM RESEARCH INC ,12602 33RD AVE SW ,PILLAGER ,MN ,92 
60200735 ,"STURM, RUGER & COMPANY INC ",529 SUNAPEE ST ,NEWPORT ,NH ,4410 
98802391 ,WILD WEST GUNS LLC ,5225 WYNN ROAD ,LAS VEGAS ,NV ,6 
43401651 ,OHIO ORDNANCE WORKS INC ,305 AND 310 PARK DR ,CHARDON ,OH ,6 
57406599 ,"STEVENS, BRYAN DAVID JR ",86 PRIVATE RD 650 ,BAY CITY ,TX ,
57601795 ,"WHITE, MELTON RAY ",7412 JOHN RALSTON RD ,HOUSTON ,TX ,1 
98734026 ,NORTH AMERICAN ARMS INC ,2150 S 950 E ,PROVO ,UT ,496 
98700995 ,"COBRA ENTERPRISES OF UTAH, INC ","1960 S MILESTONE DR, SUITE F ",SALT LAKE CITY ,UT ,247 
15408568 ,TAYLORS & COMPANY INC. ,304 LENOIR DR ,WINCHESTER ,VA ,2 


