Table
KEY ,LICENSE NAME ,STREET ,CITY ,ST ,PISTOL 22 ,PISTOL 25 ,PISTOL 32 ,PISTOL 380 ,PISTOL 9MM ,PISTOL 50 ,PISTOL TOTAL 
,INC ,BLVD ,,,,,,,,,
,WILDMAN ARMS & OUTFITTERS INC ,25502 INTERSTATE N 30 ,BRYANT ,AR ,2 ,0 ,0 ,O ,0 ,0 ,2 
,WILSONS GUN SHOP INC ,2452 CR 719 ,BERRYVILLE ,AR ,O ,O ,O ,O ,2225 ,2429 ,4654 
,AGAINST ALL ENEMIES LLC ,2152 MCCULLOCH BLVD STE B ,LAKE HAVASU CITY ,AZ ,0 ,10 ,0 ,0 ,0 ,0 ,10 
,AMERICAN SPIRIT INVESTMENTS LLC ,21625 N 14TH AVE #2 ,PHOENIX ,AZ ,5 ,0 ,O ,O ,4 ,O ,9 
,"ARIZONA ARMORY, LLC ",2114 W FILLMORE ,PHOENIX ,AZ ,O ,O ,O ,O ,1 ,0 ,1 
,"BROWN, TIMOTHY DAVID ",14201 N GIBSON TRL ,TUCSON ,AZ ,1 ,O ,O ,O ,2 ,0 ,3 
,BTE USA MANUFACTURING LLC ,2601 W LONE CACTUS DR STE E ,PHOENIX ,AZ ,O ,O ,1 ,O ,3 ,O ,4 
,CAMERONS LLC ,5302 W ELECTRA LN ,GLENDALE ,AZ ,O ,0 ,0 ,O ,6 ,4 ,10 
,CHAMPION PRECISION FIREARMS LLC ,2103 EAST CEDAR STE STE 1 ,TEMPE ,AZ ,O ,O ,O ,O ,2 ,7 ,9 
,CONQUEST LLC ,6500 EAST MITCHELL CT STE 7 ,FLORENCE ,AZ ,O ,1 ,O ,O ,0 ,O ,1 
,D & L SPORTS INC ,118 N FIRESKY #B ,CHINO VALLEY ,AZ ,0 ,0 ,0 ,O ,0 ,6 ,6 
,DOWN RANGE CUSTOMS LLC ,57 W LYNX WAY ,CHANDLER ,AZ ,2 ,O ,O ,O ,0 ,O ,2 
,EMG CUSTOMS LLC ,3549 W TWAIN DR ,ANTHEM ,AZ ,O ,O ,0 ,O ,15 ,4 ,19 
,EXCEL MANUFACTURING INC ,2560 OUTPOST DR STE 1 ,BULLHEAD CITY ,AZ ,184 ,0 ,O ,122 ,0 ,O ,306 
,EXTAR LLC ,1070 METRIC DR ,LAKE HAVASU CITY ,AZ ,O ,1085 ,O ,0 ,O ,O ,1085 
,GHOST PRODUCTS INC ,1008 S CENTER ST ,MESA ,AZ ,O ,O ,O ,O ,5 ,0 ,5 
,HUNSON INDUSTRIES LLC ,17252 E FALCON DR #4 ,FOUNTAIN HILLS ,AZ ,4 ,O ,O ,O ,O ,0 ,4 
,LAYKE INC ,3330 WEST OSBORN RD ,PHOENIX ,AZ ,3 ,0 ,1 ,O ,0 ,0 ,4 
,MAXIM FIREARMS INC ,2021 HOLLY AVE ,LAKE HAVASU CITY ,AZ ,O ,1 ,O ,0 ,O ,0 ,1 
,"MCLEARN, MATTHEW MOODY ",1304 RED BARON RD ,PAYSON ,AZ ,1 ,0 ,0 ,O ,3 ,10 ,14 
,MLS ARMS LLC ,15610 N 35TH AVE STE 6 ,PHOENIX ,AZ ,O ,O ,O ,O ,1 ,0 ,1 
,PATRIOT ORDNANCE FACTORY INC ,1492 W VICTORY LANE ,PHOENIX ,AZ ,0 ,80 ,20 ,0 ,0 ,0 ,100 
,PDWAREHOUSE LLC ,3225 NORTH ARIZONA AVE STE 1 ,CHANDLER ,AZ ,O ,O ,O ,O ,5 ,O ,5 
,PT MANUFACTURING LLC ,7730 E REDFIELD RD BLDG 1 ,SCOTTSDALE ,AZ ,0 ,0 ,0 ,0 ,0 ,1 ,1 
,PYROFLI INDUSTRIES LLC ,8625 E BARATARIA BLVD ,SIERRA VISTA ,AZ ,2 ,O ,O ,O ,0 ,O ,2 
,QUARTER CIRCLE 10 LLC ,1101 W GRANT RD SUITE 202 ,TUCSON ,AZ ,O ,O ,O ,O ,11 ,2 ,13 
,RDTS MANUFACTURING INC ,BIG SYCAMORE BLDG A 1ST FL ,CAVE CREEK ,AZ ,1 ,O ,O ,O ,9 ,0 ,10 
,ROBAR COMPANIES INC ,21438 N 7TH AVE STE E ,PHOENIX ,AZ ,O ,O ,O ,O ,1 ,O ,1 


