Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,RIFLE MFG 
98702756 ,PEARSON SPECIALTIES LLC ,1964 SOUTH 275 EAST ,CLEARFIELD ,UT ,18 
98701853 ,"PRATT, STEPHEN D & JONI ",12441 S 4380 W ,PAYSON ,UT ,45 
98703456 ,RACK AND RUNNIN' CUSTOMS LLC ,13808 SO RALPH H WAY ,HERRIMAN ,UT ,1 
98701606 ,RED ROCK PRECISION LLC ,181 N COMMERCIAL ST ,MORGAN ,UT ,126 
98703191 ,RIOT LLC ,353 WEST 200 SOUTH SUITE 101 ,SALT LAKE CITY ,UT ,3 
98702471 ,RK ENTERPRISES LLC ,49 W MAIN ST ,MT PLEASANT ,UT ,5 
98702336 ,ROWDY'S LLC ,610 NO INDUSTRIAL RD ,ST GEORGE ,UT ,2 
98703139 ,SAGE COUNTRY RIFLES LLC ,3516 WEST 5000 SOUTH ,ROY ,UT ,3 
98703379 ,SR13 LLC ,1338 WEST GLENBARR DRIVE ,SPRINGVILLE ,UT ,1 
98702386 ,STAHELI'S SHOOTING SUPPLIES LLC ,363 E 200 S ,PLEASANT GROVE ,UT ,12 
98700383 ,"STAIR, BRAD S ",3621 A SOUTH 4700 WEST ,WEST HAVEN ,UT ,5 
98703258 ,STS MANUFACTURING LLC ,673 WEST 1ST ST BLDG 4A BAY 5 ,OGDEN ,UT ,2 
98701886 ,SUB MOA FIREARMS LLC ,1669 NW HENEFER ROAD ,HENEFER ,UT ,16 
98734710 ,TDJ INC ,"550 NORTH CEMETERY ROAD, BUILDING #1 ",GUNNISON ,UT ,8992 
98702121 ,TEGRA ARMS INC ,523 S COMMERCE RD ,OREM ,UT ,1 
98703241 ,VUDOO LABS INC ,4012 SOUTH RIVER ROAD UNIT 4F ,SAINT GEORGE ,UT ,49 
98701861 ,WASATCH ARMS LLC ,286 EAST EAGLERIDGE DR ,NORTH SALT LAKE ,UT ,2 
98702489 ,WILSON PRECISION ARMS INC ,204 PLAYA DELLA ROSITA STE #6 ,WASHINGTON ,UT ,813 
15413806 ,20-X INDUSTRIES LLC ,186 DOE CREEK RD ,PEMBROKE ,VA ,1 
15410684 ,"ACCURACY X, INC ",733 MIDDLE VALLEY RD ,HARDY ,VA ,2 
15423622 ,ALEXANDER INDUSTRIES INC ,104 CENTRE CT ,RADFORD ,VA ,789 
15412412 ,APPALACHIAN GUN WORKS LLC ,4568 BLUE RIDGE BLVD ,BLUE RIDGE ,VA ,9 
15405440 ,ASHBURY INTERNATIONAL GROUP INC ,84 BUSINESS PARK CIR ,RUCKERSVILLE ,VA ,788 
15411555 ,"ASHLAND GUN INNOVATIONS, INC ",12233 WASHINGTON HWY ,ASHLAND ,VA ,29 
15413728 ,BACKGROUNDS UNLIMITED INC ,2309 LEE HWY ,MOUNT SIDNEY ,VA ,2 
15414514 ,BACKWOODS SECURITY LLC ,9201 BEAVER BRIDGE RD ,MOSELEY ,VA ,1 
15418157 ,BBC OUTDOORS INC ,320 OLD FRANKLIN TURNPIKE ,ROCKY MOUNT ,VA ,6 
15414766 ,BE READY ENTERPRISES LLC ,5244 LAD LAND DR ,FREDERICKSBURG ,VA ,12 
15412358 ,BLACK WIDOW DESIGN LLC ,2309 LEE HIGHWAY ,MOUNT SIDNEY ,VA ,2 
15410353 ,DIORIO MANUFACTURING COMPANY LLC ,32 SILVER LAKE RD ,HARRISONBURG ,VA ,17 
15416108 ,E GIUFFRE INC ,400 GREYSTONE DR ,WIRTZ ,VA ,2 
15424072 ,ECHO 3 WHISKEY ARMS LLC ,1108 COOLBROOK RD ,BEDFORD ,VA ,50 


